Created as New Dataset,PU (polyurethane) GF
cm-1,%T
3180.00,99.20
3179.00,99.20
3178.00,99.19
3177.00,99.19
3176.00,99.19
3175.00,99.19
3174.00,99.19
3173.00,99.20
3172.00,99.20
3171.00,99.20
3170.00,99.20
3169.00,99.20
3168.00,99.20
3167.00,99.20
3166.00,99.20
3165.00,99.20
3164.00,99.20
3163.00,99.21
3162.00,99.21
3161.00,99.21
3160.00,99.22
3159.00,99.22
3158.00,99.23
3157.00,99.23
3156.00,99.24
3155.00,99.25
3154.00,99.26
3153.00,99.26
3152.00,99.26
3151.00,99.26
3150.00,99.26
3149.00,99.25
3148.00,99.25
3147.00,99.25
3146.00,99.25
3145.00,99.26
3144.00,99.26
3143.00,99.27
3142.00,99.28
3141.00,99.29
3140.00,99.29
3139.00,99.30
3138.00,99.30
3137.00,99.30
3136.00,99.30
3135.00,99.30
3134.00,99.31
3133.00,99.31
3132.00,99.31
3131.00,99.31
3130.00,99.32
3129.00,99.32
3128.00,99.32
3127.00,99.32
3126.00,99.33
3125.00,99.33
3124.00,99.34
3123.00,99.34
3122.00,99.34
3121.00,99.35
3120.00,99.35
3119.00,99.35
3118.00,99.35
3117.00,99.35
3116.00,99.35
3115.00,99.34
3114.00,99.34
3113.00,99.34
3112.00,99.33
3111.00,99.33
3110.00,99.33
3109.00,99.33
3108.00,99.32
3107.00,99.32
3106.00,99.31
3105.00,99.30
3104.00,99.30
3103.00,99.29
3102.00,99.29
3101.00,99.28
3100.00,99.28
3099.00,99.27
3098.00,99.26
3097.00,99.24
3096.00,99.23
3095.00,99.22
3094.00,99.22
3093.00,99.21
3092.00,99.21
3091.00,99.20
3090.00,99.19
3089.00,99.18
3088.00,99.17
3087.00,99.16
3086.00,99.15
3085.00,99.14
3084.00,99.13
3083.00,99.12
3082.00,99.10
3081.00,99.09
3080.00,99.09
3079.00,99.08
3078.00,99.06
3077.00,99.04
3076.00,99.02
3075.00,99.00
3074.00,98.99
3073.00,98.97
3072.00,98.96
3071.00,98.96
3070.00,98.95
3069.00,98.94
3068.00,98.93
3067.00,98.92
3066.00,98.90
3065.00,98.89
3064.00,98.87
3063.00,98.85
3062.00,98.84
3061.00,98.83
3060.00,98.83
3059.00,98.82
3058.00,98.82
3057.00,98.82
3056.00,98.82
3055.00,98.82
3054.00,98.82
3053.00,98.82
3052.00,98.82
3051.00,98.82
3050.00,98.81
3049.00,98.81
3048.00,98.81
3047.00,98.82
3046.00,98.82
3045.00,98.83
3044.00,98.83
3043.00,98.84
3042.00,98.84
3041.00,98.84
3040.00,98.84
3039.00,98.84
3038.00,98.84
3037.00,98.84
3036.00,98.84
3035.00,98.85
3034.00,98.85
3033.00,98.85
3032.00,98.85
3031.00,98.84
3030.00,98.84
3029.00,98.84
3028.00,98.84
3027.00,98.84
3026.00,98.83
3025.00,98.83
3024.00,98.83
3023.00,98.82
3022.00,98.82
3021.00,98.81
3020.00,98.81
3019.00,98.80
3018.00,98.79
3017.00,98.79
3016.00,98.78
3015.00,98.76
3014.00,98.75
3013.00,98.73
3012.00,98.71
3011.00,98.68
3010.00,98.66
3009.00,98.63
3008.00,98.60
3007.00,98.57
3006.00,98.54
3005.00,98.50
3004.00,98.46
3003.00,98.43
3002.00,98.38
3001.00,98.34
3000.00,98.30
2999.00,98.26
2998.00,98.21
2997.00,98.16
2996.00,98.10
2995.00,98.04
2994.00,97.97
2993.00,97.90
2992.00,97.82
2991.00,97.73
2990.00,97.64
2989.00,97.53
2988.00,97.42
2987.00,97.30
2986.00,97.17
2985.00,97.02
2984.00,96.87
2983.00,96.70
2982.00,96.52
2981.00,96.33
2980.00,96.13
2979.00,95.92
2978.00,95.70
2977.00,95.45
2976.00,95.19
2975.00,94.91
2974.00,94.62
2973.00,94.30
2972.00,93.97
2971.00,93.62
2970.00,93.24
2969.00,92.84
2968.00,92.42
2967.00,91.96
2966.00,91.48
2965.00,90.96
2964.00,90.41
2963.00,89.82
2962.00,89.21
2961.00,88.56
2960.00,87.90
2959.00,87.24
2958.00,86.59
2957.00,85.97
2956.00,85.40
2955.00,84.89
2954.00,84.43
2953.00,84.02
2952.00,83.63
2951.00,83.23
2950.00,82.81
2949.00,82.34
2948.00,81.81
2947.00,81.24
2946.00,80.66
2945.00,80.08
2944.00,79.54
2943.00,79.05
2942.00,78.60
2941.00,78.16
2940.00,77.72
2939.00,77.25
2938.00,76.74
2937.00,76.17
2936.00,75.54
2935.00,74.86
2934.00,74.14
2933.00,73.38
2932.00,72.58
2931.00,71.77
2930.00,70.95
2929.00,70.14
2928.00,69.35
2927.00,68.58
2926.00,67.82
2925.00,67.05
2924.00,66.24
2923.00,65.38
2922.00,64.50
2921.00,63.68
2920.00,63.01
2919.00,62.62
2918.00,62.62
2917.00,63.06
2916.00,63.95
2915.00,65.19
2914.00,66.68
2913.00,68.25
2912.00,69.80
2911.00,71.24
2910.00,72.54
2909.00,73.69
2908.00,74.71
2907.00,75.62
2906.00,76.43
2905.00,77.15
2904.00,77.81
2903.00,78.41
2902.00,78.96
2901.00,79.46
2900.00,79.94
2899.00,80.39
2898.00,80.81
2897.00,81.20
2896.00,81.57
2895.00,81.92
2894.00,82.24
2893.00,82.54
2892.00,82.82
2891.00,83.08
2890.00,83.32
2889.00,83.54
2888.00,83.74
2887.00,83.91
2886.00,84.03
2885.00,84.11
2884.00,84.14
2883.00,84.11
2882.00,84.02
2881.00,83.87
2880.00,83.64
2879.00,83.35
2878.00,82.98
2877.00,82.54
2876.00,82.07
2875.00,81.56
2874.00,81.06
2873.00,80.57
2872.00,80.11
2871.00,79.68
2870.00,79.28
2869.00,78.87
2868.00,78.45
2867.00,77.99
2866.00,77.49
2865.00,76.95
2864.00,76.36
2863.00,75.73
2862.00,75.08
2861.00,74.40
2860.00,73.71
2859.00,72.99
2858.00,72.21
2857.00,71.35
2856.00,70.33
2855.00,69.12
2854.00,67.67
2853.00,66.08
2852.00,64.54
2851.00,63.42
2850.00,63.05
2849.00,63.63
2848.00,65.10
2847.00,67.17
2846.00,69.47
2845.00,71.75
2844.00,73.84
2843.00,75.74
2842.00,77.45
2841.00,79.04
2840.00,80.51
2839.00,81.88
2838.00,83.16
2837.00,84.36
2836.00,85.47
2835.00,86.50
2834.00,87.46
2833.00,88.34
2832.00,89.16
2831.00,89.93
2830.00,90.63
2829.00,91.28
2828.00,91.87
2827.00,92.39
2826.00,92.86
2825.00,93.27
2824.00,93.63
2823.00,93.95
2822.00,94.22
2821.00,94.45
2820.00,94.65
2819.00,94.81
2818.00,94.94
2817.00,95.05
2816.00,95.12
2815.00,95.18
2814.00,95.21
2813.00,95.21
2812.00,95.19
2811.00,95.15
2810.00,95.09
2809.00,95.01
2808.00,94.91
2807.00,94.79
2806.00,94.66
2805.00,94.53
2804.00,94.39
2803.00,94.26
2802.00,94.14
2801.00,94.03
2800.00,93.94
2799.00,93.88
2798.00,93.85
2797.00,93.84
2796.00,93.88
2795.00,93.95
2794.00,94.05
2793.00,94.18
2792.00,94.34
2791.00,94.52
2790.00,94.71
2789.00,94.91
2788.00,95.12
2787.00,95.33
2786.00,95.53
2785.00,95.72
2784.00,95.91
2783.00,96.08
2782.00,96.25
2781.00,96.40
2780.00,96.53
2779.00,96.66
2778.00,96.78
2777.00,96.88
2776.00,96.97
2775.00,97.06
2774.00,97.13
2773.00,97.20
2772.00,97.26
2771.00,97.31
2770.00,97.36
2769.00,97.40
2768.00,97.44
2767.00,97.48
2766.00,97.51
2765.00,97.53
2764.00,97.55
2763.00,97.57
2762.00,97.59
2761.00,97.60
2760.00,97.60
2759.00,97.61
2758.00,97.62
2757.00,97.63
2756.00,97.63
2755.00,97.63
2754.00,97.63
2753.00,97.63
2752.00,97.63
2751.00,97.62
2750.00,97.62
2749.00,97.62
2748.00,97.61
2747.00,97.61
2746.00,97.60
2745.00,97.59
2744.00,97.59
2743.00,97.58
2742.00,97.58
2741.00,97.58
2740.00,97.58
2739.00,97.58
2738.00,97.59
2737.00,97.59
2736.00,97.60
2735.00,97.62
2734.00,97.63
2733.00,97.64
2732.00,97.66
2731.00,97.68
2730.00,97.70
2729.00,97.73
2728.00,97.75
2727.00,97.78
2726.00,97.81
2725.00,97.83
2724.00,97.85
2723.00,97.88
2722.00,97.90
2721.00,97.92
2720.00,97.95
2719.00,97.97
2718.00,97.99
2717.00,98.01
2716.00,98.03
2715.00,98.05
2714.00,98.07
2713.00,98.08
2712.00,98.09
