Created as New Dataset,PC (polycarbonate) GF
cm-1,%T
3583.00,99.53
3582.00,99.52
3581.00,99.51
3580.00,99.50
3579.00,99.50
3578.00,99.49
3577.00,99.48
3576.00,99.47
3575.00,99.47
3574.00,99.46
3573.00,99.46
3572.00,99.45
3571.00,99.44
3570.00,99.43
3569.00,99.41
3568.00,99.40
3567.00,99.40
3566.00,99.40
3565.00,99.40
3564.00,99.40
3563.00,99.40
3562.00,99.40
3561.00,99.40
3560.00,99.39
3559.00,99.38
3558.00,99.38
3557.00,99.37
3556.00,99.36
3555.00,99.36
3554.00,99.36
3553.00,99.35
3552.00,99.34
3551.00,99.33
3550.00,99.31
3549.00,99.31
3548.00,99.31
3547.00,99.31
3546.00,99.31
3545.00,99.31
3544.00,99.29
3543.00,99.28
3542.00,99.26
3541.00,99.24
3540.00,99.23
3539.00,99.23
3538.00,99.23
3537.00,99.22
3536.00,99.22
3535.00,99.20
3534.00,99.19
3533.00,99.19
3532.00,99.18
3531.00,99.18
3530.00,99.18
3529.00,99.18
3528.00,99.19
3527.00,99.21
3526.00,99.23
3525.00,99.24
3524.00,99.25
3523.00,99.25
3522.00,99.25
3521.00,99.25
3520.00,99.26
3519.00,99.28
3518.00,99.29
3517.00,99.31
3516.00,99.33
3515.00,99.35
3514.00,99.36
3513.00,99.36
3512.00,99.37
3511.00,99.37
3510.00,99.38
3509.00,99.39
3508.00,99.41
3507.00,99.42
3506.00,99.43
3505.00,99.43
3504.00,99.44
3503.00,99.45
3502.00,99.45
3501.00,99.46
3500.00,99.46
3499.00,99.46
3498.00,99.47
3497.00,99.48
3496.00,99.48
3495.00,99.48
3494.00,99.48
3493.00,99.48
3492.00,99.49
3491.00,99.49
3490.00,99.50
3489.00,99.50
3488.00,99.50
3487.00,99.50
3486.00,99.50
3485.00,99.50
3484.00,99.50
3483.00,99.50
3482.00,99.50
3481.00,99.50
3480.00,99.51
3479.00,99.51
3478.00,99.51
3477.00,99.51
3476.00,99.51
3475.00,99.51
3474.00,99.52
3473.00,99.52
3472.00,99.53
3471.00,99.53
3470.00,99.54
3469.00,99.54
3468.00,99.54
3467.00,99.54
3466.00,99.54
3465.00,99.54
3464.00,99.54
3463.00,99.54
3462.00,99.54
3461.00,99.54
3460.00,99.54
3459.00,99.55
3458.00,99.55
3457.00,99.55
3456.00,99.55
3455.00,99.55
3454.00,99.55
3453.00,99.55
3452.00,99.55
3451.00,99.55
3450.00,99.56
3449.00,99.56
3448.00,99.56
3447.00,99.56
3446.00,99.56
3445.00,99.57
3444.00,99.57
3443.00,99.57
3442.00,99.57
3441.00,99.57
3440.00,99.57
3439.00,99.57
3438.00,99.57
3437.00,99.58
3436.00,99.58
3435.00,99.59
3434.00,99.59
3433.00,99.59
3432.00,99.59
3431.00,99.59
3430.00,99.59
3429.00,99.59
3428.00,99.59
3427.00,99.59
3426.00,99.59
3425.00,99.59
3424.00,99.59
3423.00,99.59
3422.00,99.59
3421.00,99.59
3420.00,99.59
3419.00,99.59
3418.00,99.59
3417.00,99.59
3416.00,99.59
3415.00,99.59
3414.00,99.60
3413.00,99.60
3412.00,99.60
3411.00,99.60
3410.00,99.59
3409.00,99.59
3408.00,99.59
3407.00,99.59
3406.00,99.59
3405.00,99.59
3404.00,99.59
3403.00,99.60
3402.00,99.60
3401.00,99.60
3400.00,99.60
3399.00,99.60
3398.00,99.59
3397.00,99.59
3396.00,99.59
3395.00,99.58
3394.00,99.58
3393.00,99.57
3392.00,99.57
3391.00,99.57
3390.00,99.57
3389.00,99.57
3388.00,99.57
3387.00,99.57
3386.00,99.57
3385.00,99.57
3384.00,99.57
3383.00,99.57
3382.00,99.57
3381.00,99.56
3380.00,99.56
3379.00,99.56
3378.00,99.56
3377.00,99.56
3376.00,99.56
3375.00,99.57
3374.00,99.57
3373.00,99.57
3372.00,99.56
3371.00,99.56
3370.00,99.56
3369.00,99.56
3368.00,99.56
3367.00,99.56
3366.00,99.56
3365.00,99.56
3364.00,99.56
3363.00,99.56
3362.00,99.56
3361.00,99.56
3360.00,99.56
3359.00,99.56
3358.00,99.56
3357.00,99.56
3356.00,99.56
3355.00,99.56
3354.00,99.57
3353.00,99.57
3352.00,99.57
3351.00,99.57
3350.00,99.57
3349.00,99.57
3348.00,99.57
3347.00,99.57
3346.00,99.57
3345.00,99.57
3344.00,99.57
3343.00,99.57
3342.00,99.57
3341.00,99.57
3340.00,99.57
3339.00,99.56
3338.00,99.56
3337.00,99.56
3336.00,99.56
3335.00,99.56
3334.00,99.56
3333.00,99.56
3332.00,99.56
3331.00,99.56
3330.00,99.56
3329.00,99.55
3328.00,99.55
3327.00,99.55
3326.00,99.55
3325.00,99.55
3324.00,99.55
3323.00,99.55
3322.00,99.54
3321.00,99.54
3320.00,99.54
3319.00,99.55
3318.00,99.55
3317.00,99.55
3316.00,99.54
3315.00,99.54
3314.00,99.54
3313.00,99.53
3312.00,99.53
3311.00,99.53
3310.00,99.53
3309.00,99.53
3308.00,99.54
3307.00,99.54
3306.00,99.53
3305.00,99.53
3304.00,99.52
3303.00,99.52
3302.00,99.52
3301.00,99.52
3300.00,99.51
3299.00,99.51
3298.00,99.51
3297.00,99.51
3296.00,99.51
3295.00,99.50
3294.00,99.50
3293.00,99.50
3292.00,99.50
3291.00,99.50
3290.00,99.50
3289.00,99.49
3288.00,99.49
3287.00,99.49
3286.00,99.49
3285.00,99.50
3284.00,99.50
3283.00,99.50
3282.00,99.50
3281.00,99.49
3280.00,99.49
3279.00,99.49
3278.00,99.49
3277.00,99.49
3276.00,99.49
3275.00,99.50
3274.00,99.50
3273.00,99.50
3272.00,99.50
3271.00,99.50
3270.00,99.50
3269.00,99.49
3268.00,99.48
3267.00,99.48
3266.00,99.48
3265.00,99.49
3264.00,99.49
3263.00,99.49
3262.00,99.49
3261.00,99.49
3260.00,99.49
3259.00,99.48
3258.00,99.48
3257.00,99.48
3256.00,99.48
3255.00,99.48
3254.00,99.48
3253.00,99.48
3252.00,99.48
3251.00,99.48
3250.00,99.48
3249.00,99.48
3248.00,99.48
3247.00,99.48
3246.00,99.48
3245.00,99.48
3244.00,99.48
3243.00,99.48
3242.00,99.49
3241.00,99.49
3240.00,99.49
3239.00,99.49
3238.00,99.48
3237.00,99.48
3236.00,99.48
3235.00,99.48
3234.00,99.48
3233.00,99.48
3232.00,99.47
3231.00,99.47
3230.00,99.47
3229.00,99.47
3228.00,99.47
3227.00,99.47
3226.00,99.47
3225.00,99.47
3224.00,99.47
3223.00,99.47
3222.00,99.47
3221.00,99.46
3220.00,99.46
3219.00,99.45
3218.00,99.45
3217.00,99.44
3216.00,99.44
3215.00,99.44
3214.00,99.44
3213.00,99.43
3212.00,99.43
3211.00,99.42
3210.00,99.41
3209.00,99.41
3208.00,99.41
3207.00,99.40
3206.00,99.40
3205.00,99.39
3204.00,99.39
3203.00,99.38
3202.00,99.38
3201.00,99.37
3200.00,99.37
3199.00,99.36
3198.00,99.36
3197.00,99.36
3196.00,99.35
3195.00,99.35
3194.00,99.35
3193.00,99.35
3192.00,99.35
3191.00,99.35
3190.00,99.35
3189.00,99.35
3188.00,99.36
3187.00,99.36
3186.00,99.36
3185.00,99.36
3184.00,99.36
3183.00,99.36
3182.00,99.36
3181.00,99.36
3180.00,99.36
3179.00,99.36
3178.00,99.36
3177.00,99.36
3176.00,99.36
3175.00,99.37
3174.00,99.37
3173.00,99.37
3172.00,99.38
3171.00,99.38
3170.00,99.38
3169.00,99.38
3168.00,99.38
3167.00,99.38
3166.00,99.38
3165.00,99.38
3164.00,99.38
3163.00,99.38
3162.00,99.38
3161.00,99.38
3160.00,99.38
3159.00,99.38
3158.00,99.37
3157.00,99.37
3156.00,99.36
3155.00,99.36
3154.00,99.36
3153.00,99.36
3152.00,99.35
3151.00,99.34
3150.00,99.33
3149.00,99.32
3148.00,99.32
3147.00,99.32
3146.00,99.31
3145.00,99.31
3144.00,99.30
3143.00,99.29
3142.00,99.28
3141.00,99.26
3140.00,99.25
3139.00,99.24
3138.00,99.23
3137.00,99.22
3136.00,99.20
3135.00,99.18
3134.00,99.16
3133.00,99.13
3132.00,99.11
3131.00,99.09
3130.00,99.06
3129.00,99.04
3128.00,99.02
3127.00,98.99
3126.00,98.96
3125.00,98.93
3124.00,98.90
3123.00,98.88
3122.00,98.86
3121.00,98.84
3120.00,98.83
3119.00,98.81
3118.00,98.80
3117.00,98.79
3116.00,98.78
3115.00,98.77
3114.00,98.77
3113.00,98.76
3112.00,98.75
3111.00,98.75
3110.00,98.74
3109.00,98.73
3108.00,98.73
3107.00,98.72
3106.00,98.72
3105.00,98.72
3104.00,98.72
3103.00,98.72
3102.00,98.72
3101.00,98.72
3100.00,98.72
3099.00,98.72
3098.00,98.71
3097.00,98.70
3096.00,98.68
3095.00,98.66
3094.00,98.64
3093.00,98.61
3092.00,98.58
3091.00,98.54
