Created as New Dataset,Nylon (6) GF
cm-1,%T
3386.00,93.58
3385.00,93.52
3384.00,93.47
3383.00,93.41
3382.00,93.36
3381.00,93.30
3380.00,93.23
3379.00,93.16
3378.00,93.09
3377.00,93.01
3376.00,92.93
3375.00,92.85
3374.00,92.77
3373.00,92.68
3372.00,92.59
3371.00,92.50
3370.00,92.40
3369.00,92.30
3368.00,92.19
3367.00,92.08
3366.00,91.96
3365.00,91.83
3364.00,91.71
3363.00,91.58
3362.00,91.44
3361.00,91.30
3360.00,91.15
3359.00,91.00
3358.00,90.83
3357.00,90.66
3356.00,90.49
3355.00,90.31
3354.00,90.12
3353.00,89.92
3352.00,89.72
3351.00,89.51
3350.00,89.30
3349.00,89.07
3348.00,88.83
3347.00,88.58
3346.00,88.32
3345.00,88.05
3344.00,87.77
3343.00,87.48
3342.00,87.18
3341.00,86.86
3340.00,86.54
3339.00,86.20
3338.00,85.84
3337.00,85.46
3336.00,85.06
3335.00,84.66
3334.00,84.24
3333.00,83.80
3332.00,83.34
3331.00,82.86
3330.00,82.37
3329.00,81.86
3328.00,81.34
3327.00,80.79
3326.00,80.23
3325.00,79.65
3324.00,79.07
3323.00,78.46
3322.00,77.85
3321.00,77.22
3320.00,76.58
3319.00,75.92
3318.00,75.25
3317.00,74.56
3316.00,73.85
3315.00,73.12
3314.00,72.37
3313.00,71.60
3312.00,70.82
3311.00,70.03
3310.00,69.24
3309.00,68.46
3308.00,67.69
3307.00,66.94
3306.00,66.24
3305.00,65.58
3304.00,64.98
3303.00,64.44
3302.00,63.99
3301.00,63.62
3300.00,63.35
3299.00,63.16
3298.00,63.06
3297.00,63.05
3296.00,63.10
3295.00,63.22
3294.00,63.40
3293.00,63.62
3292.00,63.88
3291.00,64.17
3290.00,64.48
3289.00,64.82
3288.00,65.18
3287.00,65.54
3286.00,65.92
3285.00,66.31
3284.00,66.70
3283.00,67.09
3282.00,67.48
3281.00,67.87
3280.00,68.25
3279.00,68.64
3278.00,69.03
3277.00,69.42
3276.00,69.81
3275.00,70.20
3274.00,70.59
3273.00,70.99
3272.00,71.38
3271.00,71.78
3270.00,72.18
3269.00,72.58
3268.00,72.99
3267.00,73.41
3266.00,73.83
3265.00,74.27
3264.00,74.70
3263.00,75.14
3262.00,75.57
3261.00,76.00
3260.00,76.43
3259.00,76.85
3258.00,77.28
3257.00,77.70
3256.00,78.10
3255.00,78.50
3254.00,78.89
3253.00,79.28
3252.00,79.66
3251.00,80.05
3250.00,80.43
3249.00,80.80
3248.00,81.16
3247.00,81.52
3246.00,81.86
3245.00,82.19
3244.00,82.51
3243.00,82.83
3242.00,83.15
3241.00,83.45
3240.00,83.75
3239.00,84.04
3238.00,84.33
3237.00,84.60
3236.00,84.87
3235.00,85.13
3234.00,85.37
3233.00,85.60
3232.00,85.81
3231.00,86.01
3230.00,86.21
3229.00,86.40
3228.00,86.58
3227.00,86.76
3226.00,86.92
3225.00,87.08
3224.00,87.23
3223.00,87.38
3222.00,87.51
3221.00,87.64
3220.00,87.76
3219.00,87.88
3218.00,87.99
3217.00,88.09
3216.00,88.19
3215.00,88.28
3214.00,88.37
3213.00,88.46
3212.00,88.54
3211.00,88.63
3210.00,88.71
3209.00,88.79
3208.00,88.87
3207.00,88.95
3206.00,89.03
3205.00,89.11
3204.00,89.20
3203.00,89.30
3202.00,89.39
3201.00,89.48
3200.00,89.58
3199.00,89.69
3198.00,89.80
3197.00,89.91
3196.00,90.02
3195.00,90.14
3194.00,90.26
3193.00,90.38
3192.00,90.50
3191.00,90.62
3190.00,90.75
3189.00,90.87
3188.00,90.99
3187.00,91.12
3186.00,91.25
3185.00,91.37
3184.00,91.50
3183.00,91.63
3182.00,91.75
3181.00,91.88
3180.00,92.00
3179.00,92.13
3178.00,92.26
3177.00,92.38
3176.00,92.50
3175.00,92.62
3174.00,92.74
3173.00,92.85
3172.00,92.97
3171.00,93.07
3170.00,93.18
3169.00,93.28
3168.00,93.37
3167.00,93.46
3166.00,93.55
3165.00,93.63
3164.00,93.71
3163.00,93.79
3162.00,93.86
3161.00,93.93
3160.00,93.99
3159.00,94.05
3158.00,94.11
3157.00,94.17
3156.00,94.23
3155.00,94.28
3154.00,94.33
3153.00,94.38
3152.00,94.41
3151.00,94.44
3150.00,94.47
3149.00,94.49
3148.00,94.51
3147.00,94.53
3146.00,94.54
3145.00,94.56
3144.00,94.57
3143.00,94.59
3142.00,94.60
3141.00,94.60
3140.00,94.60
3139.00,94.59
