Created as New Dataset,PE postconsumer EDA plastic
cm-1,%T
3039.00,99.19
3038.00,99.18
3037.00,99.17
3036.00,99.17
3035.00,99.16
3034.00,99.16
3033.00,99.16
3032.00,99.15
3031.00,99.15
3030.00,99.14
3029.00,99.14
3028.00,99.13
3027.00,99.13
3026.00,99.13
3025.00,99.12
3024.00,99.12
3023.00,99.12
3022.00,99.12
3021.00,99.11
3020.00,99.10
3019.00,99.10
3018.00,99.09
3017.00,99.09
3016.00,99.09
3015.00,99.09
3014.00,99.08
3013.00,99.08
3012.00,99.08
3011.00,99.08
3010.00,99.07
3009.00,99.06
3008.00,99.05
3007.00,99.04
3006.00,99.03
3005.00,99.02
3004.00,99.01
3003.00,99.00
3002.00,99.00
3001.00,98.99
3000.00,98.98
2999.00,98.97
2998.00,98.96
2997.00,98.95
2996.00,98.94
2995.00,98.94
2994.00,98.93
2993.00,98.92
2992.00,98.91
2991.00,98.89
2990.00,98.88
2989.00,98.86
2988.00,98.84
2987.00,98.83
2986.00,98.82
2985.00,98.80
2984.00,98.78
2983.00,98.75
2982.00,98.73
2981.00,98.71
2980.00,98.68
2979.00,98.66
2978.00,98.63
2977.00,98.60
2976.00,98.57
2975.00,98.54
2974.00,98.51
2973.00,98.48
2972.00,98.44
2971.00,98.40
2970.00,98.36
2969.00,98.31
2968.00,98.26
2967.00,98.22
2966.00,98.16
2965.00,98.11
2964.00,98.05
2963.00,97.98
2962.00,97.91
2961.00,97.83
2960.00,97.75
2959.00,97.66
2958.00,97.56
2957.00,97.45
2956.00,97.34
2955.00,97.22
2954.00,97.09
2953.00,96.95
2952.00,96.79
2951.00,96.62
2950.00,96.43
2949.00,96.21
2948.00,95.96
2947.00,95.68
2946.00,95.36
2945.00,95.00
2944.00,94.60
2943.00,94.15
2942.00,93.65
2941.00,93.11
2940.00,92.52
2939.00,91.88
2938.00,91.18
2937.00,90.43
2936.00,89.62
2935.00,88.75
2934.00,87.81
2933.00,86.79
2932.00,85.70
2931.00,84.52
2930.00,83.25
2929.00,81.87
2928.00,80.39
2927.00,78.77
2926.00,77.02
2925.00,75.11
2924.00,73.07
2923.00,70.92
2922.00,68.68
2921.00,66.42
2920.00,64.18
2919.00,62.07
2918.00,60.21
2917.00,58.74
2916.00,57.83
2915.00,57.56
2914.00,57.94
2913.00,58.90
2912.00,60.28
2911.00,61.92
2910.00,63.66
2909.00,65.40
2908.00,67.06
2907.00,68.58
2906.00,69.95
2905.00,71.17
2904.00,72.25
2903.00,73.21
2902.00,74.06
2901.00,74.83
2900.00,75.52
2899.00,76.17
2898.00,76.79
2897.00,77.39
2896.00,77.99
2895.00,78.58
2894.00,79.18
2893.00,79.79
2892.00,80.41
2891.00,81.04
2890.00,81.68
2889.00,82.33
2888.00,82.98
2887.00,83.63
2886.00,84.28
2885.00,84.93
2884.00,85.58
2883.00,86.23
2882.00,86.87
2881.00,87.52
2880.00,88.17
2879.00,88.82
2878.00,89.44
2877.00,90.04
2876.00,90.58
2875.00,91.07
2874.00,91.48
2873.00,91.82
2872.00,92.07
2871.00,92.25
2870.00,92.36
2869.00,92.38
2868.00,92.32
2867.00,92.18
2866.00,91.94
2865.00,91.60
2864.00,91.14
2863.00,90.54
2862.00,89.77
2861.00,88.82
2860.00,87.65
2859.00,86.22
2858.00,84.49
2857.00,82.44
2856.00,80.02
2855.00,77.23
2854.00,74.10
2853.00,70.74
2852.00,67.35
2851.00,64.25
2850.00,61.79
2849.00,60.35
2848.00,60.13
2847.00,61.12
2846.00,63.12
2845.00,65.79
2844.00,68.79
2843.00,71.83
2842.00,74.71
2841.00,77.33
2840.00,79.65
2839.00,81.65
2838.00,83.36
2837.00,84.83
2836.00,86.09
2835.00,87.18
2834.00,88.13
2833.00,88.95
2832.00,89.67
2831.00,90.31
2830.00,90.88
2829.00,91.39
2828.00,91.85
2827.00,92.27
2826.00,92.64
2825.00,92.98
2824.00,93.30
2823.00,93.58
2822.00,93.85
2821.00,94.09
2820.00,94.32
2819.00,94.53
2818.00,94.73
2817.00,94.91
2816.00,95.08
2815.00,95.23
2814.00,95.38
2813.00,95.52
2812.00,95.65
2811.00,95.78
2810.00,95.90
2809.00,96.01
2808.00,96.12
2807.00,96.22
2806.00,96.32
2805.00,96.41
2804.00,96.49
2803.00,96.57
2802.00,96.65
2801.00,96.72
2800.00,96.80
2799.00,96.87
2798.00,96.93
2797.00,97.00
2796.00,97.07
2795.00,97.13
2794.00,97.19
2793.00,97.25
2792.00,97.30
2791.00,97.36
2790.00,97.42
2789.00,97.48
2788.00,97.53
2787.00,97.59
2786.00,97.64
2785.00,97.69
2784.00,97.73
2783.00,97.78
2782.00,97.82
2781.00,97.87
2780.00,97.91
2779.00,97.95
2778.00,97.98
2777.00,98.02
2776.00,98.05
2775.00,98.08
2774.00,98.11
2773.00,98.13
2772.00,98.16
2771.00,98.18
2770.00,98.19
2769.00,98.22
2768.00,98.24
2767.00,98.26
2766.00,98.29
2765.00,98.31
2764.00,98.32
2763.00,98.34
2762.00,98.35
2761.00,98.37
2760.00,98.38
2759.00,98.39
2758.00,98.41
2757.00,98.42
2756.00,98.43
2755.00,98.44
2754.00,98.46
2753.00,98.47
2752.00,98.47
2751.00,98.48
2750.00,98.48
2749.00,98.48
2748.00,98.49
2747.00,98.49
2746.00,98.49
2745.00,98.50
2744.00,98.50
2743.00,98.50
2742.00,98.50
2741.00,98.51
2740.00,98.51
2739.00,98.52
2738.00,98.52
2737.00,98.53
2736.00,98.54
2735.00,98.55
2734.00,98.56
2733.00,98.57
2732.00,98.58
2731.00,98.59
2730.00,98.60
2729.00,98.61
2728.00,98.62
2727.00,98.63
2726.00,98.64
2725.00,98.65
2724.00,98.65
2723.00,98.66
2722.00,98.66
2721.00,98.67
2720.00,98.68
2719.00,98.68
2718.00,98.69
2717.00,98.70
2716.00,98.71
2715.00,98.71
2714.00,98.72
2713.00,98.73
2712.00,98.74
2711.00,98.74
2710.00,98.75
2709.00,98.75
2708.00,98.75
2707.00,98.76
2706.00,98.76
2705.00,98.77
2704.00,98.78
2703.00,98.78
2702.00,98.79
2701.00,98.80
2700.00,98.80
2699.00,98.81
2698.00,98.81
2697.00,98.82
2696.00,98.82
2695.00,98.82
2694.00,98.82
2693.00,98.82
2692.00,98.82
2691.00,98.82
2690.00,98.82
2689.00,98.82
2688.00,98.81
2687.00,98.81
2686.00,98.81
2685.00,98.81
2684.00,98.80
2683.00,98.80
2682.00,98.80
2681.00,98.79
2680.00,98.79
2679.00,98.78
2678.00,98.78
2677.00,98.77
2676.00,98.76
2675.00,98.76
2674.00,98.75
2673.00,98.75
2672.00,98.74
2671.00,98.73
2670.00,98.72
2669.00,98.71
2668.00,98.69
2667.00,98.68
2666.00,98.67
2665.00,98.66
2664.00,98.65
2663.00,98.64
2662.00,98.63
2661.00,98.62
2660.00,98.61
2659.00,98.61
2658.00,98.61
2657.00,98.60
2656.00,98.60
2655.00,98.60
2654.00,98.60
2653.00,98.60
2652.00,98.60
2651.00,98.60
2650.00,98.60
2649.00,98.60
2648.00,98.59
2647.00,98.59
2646.00,98.58
2645.00,98.58
2644.00,98.57
2643.00,98.57
2642.00,98.56
2641.00,98.56
2640.00,98.55
2639.00,98.55
2638.00,98.54
2637.00,98.54
2636.00,98.53
2635.00,98.53
2634.00,98.54
2633.00,98.54
2632.00,98.55
2631.00,98.57
2630.00,98.58
2629.00,98.59
2628.00,98.61
2627.00,98.62
2626.00,98.63
2625.00,98.65
2624.00,98.66
2623.00,98.67
2622.00,98.68
2621.00,98.70
2620.00,98.71
2619.00,98.72
2618.00,98.73
2617.00,98.74
2616.00,98.75
2615.00,98.76
2614.00,98.77
2613.00,98.79
2612.00,98.79
2611.00,98.80
2610.00,98.81
2609.00,98.82
2608.00,98.83
2607.00,98.83
2606.00,98.84
2605.00,98.85
2604.00,98.85
2603.00,98.86
2602.00,98.87
2601.00,98.87
2600.00,98.88
2599.00,98.89
2598.00,98.90
2597.00,98.90
2596.00,98.91
2595.00,98.92
2594.00,98.92
2593.00,98.93
2592.00,98.94
2591.00,98.95
2590.00,98.96
2589.00,98.97
2588.00,98.97
2587.00,98.98
2586.00,98.98
2585.00,98.99
2584.00,98.99
2583.00,98.99
2582.00,98.99
2581.00,99.00
2580.00,99.00
2579.00,99.01
2578.00,99.02
2577.00,99.03
2576.00,99.03
2575.00,99.03
2574.00,99.04
2573.00,99.04
2572.00,99.04
2571.00,99.05
2570.00,99.06
2569.00,99.06
2568.00,99.06
2567.00,99.06
2566.00,99.06
2565.00,99.06
2564.00,99.06
2563.00,99.07
2562.00,99.08
2561.00,99.08
2560.00,99.09
2559.00,99.10
2558.00,99.10
2557.00,99.09
2556.00,99.09
2555.00,99.09
2554.00,99.09
2553.00,99.09
2552.00,99.10
2551.00,99.10
2550.00,99.11
2549.00,99.11
2548.00,99.11
2547.00,99.12
2546.00,99.12
2545.00,99.13
2544.00,99.13
2543.00,99.14
2542.00,99.15
2541.00,99.16
2540.00,99.16
2539.00,99.17
2538.00,99.17
2537.00,99.17
2536.00,99.17
2535.00,99.17
