Created as New Dataset,PLA (polylactic acid) GF
cm-1,%T
3449.00,100.00
3448.00,100.00
3447.00,100.00
3446.00,100.00
3445.00,100.00
3444.00,100.00
3443.00,100.00
3442.00,100.00
3441.00,100.00
3440.00,100.00
3439.00,100.00
3438.00,100.00
3437.00,100.00
3436.00,100.00
3435.00,100.00
3434.00,100.00
3433.00,100.01
3432.00,100.01
3431.00,100.01
3430.00,100.01
3429.00,100.01
3428.00,100.01
3427.00,100.01
3426.00,100.01
3425.00,100.00
3424.00,100.00
3423.00,100.00
3422.00,100.01
3421.00,100.01
3420.00,100.01
3419.00,100.01
3418.00,100.01
3417.00,100.01
3416.00,100.01
3415.00,100.01
3414.00,100.00
3413.00,100.00
3412.00,100.00
3411.00,100.01
3410.00,100.01
3409.00,100.01
3408.00,100.01
3407.00,100.01
3406.00,100.01
3405.00,100.00
3404.00,100.00
3403.00,100.00
3402.00,100.01
3401.00,100.01
3400.00,100.01
3399.00,100.02
3398.00,100.01
3397.00,100.01
3396.00,100.01
3395.00,100.01
3394.00,100.01
3393.00,100.01
3392.00,100.01
3391.00,100.01
3390.00,100.01
3389.00,100.01
3388.00,100.01
3387.00,100.00
3386.00,100.00
3385.00,100.00
3384.00,100.00
3383.00,100.00
3382.00,100.00
3381.00,100.00
3380.00,99.99
3379.00,99.99
3378.00,99.99
3377.00,99.99
3376.00,99.99
3375.00,99.99
3374.00,99.99
3373.00,100.00
3372.00,100.00
3371.00,100.00
3370.00,100.00
3369.00,100.00
3368.00,99.99
3367.00,99.99
3366.00,99.99
3365.00,100.00
3364.00,100.00
3363.00,100.00
3362.00,100.00
3361.00,99.99
3360.00,99.99
3359.00,99.99
3358.00,99.99
3357.00,99.99
3356.00,99.99
3355.00,99.98
3354.00,99.98
3353.00,99.98
3352.00,99.98
3351.00,99.98
3350.00,99.97
3349.00,99.97
3348.00,99.97
3347.00,99.97
3346.00,99.97
3345.00,99.97
3344.00,99.97
3343.00,99.97
3342.00,99.96
3341.00,99.96
3340.00,99.96
3339.00,99.96
3338.00,99.95
3337.00,99.95
3336.00,99.94
3335.00,99.94
3334.00,99.94
3333.00,99.94
3332.00,99.93
3331.00,99.93
3330.00,99.93
3329.00,99.92
3328.00,99.92
3327.00,99.91
3326.00,99.90
3325.00,99.89
3324.00,99.88
3323.00,99.86
3322.00,99.85
3321.00,99.83
3320.00,99.82
3319.00,99.81
3318.00,99.79
3317.00,99.77
3316.00,99.75
3315.00,99.72
3314.00,99.70
3313.00,99.67
3312.00,99.63
3311.00,99.60
3310.00,99.56
3309.00,99.52
3308.00,99.47
3307.00,99.43
3306.00,99.38
3305.00,99.34
3304.00,99.30
3303.00,99.27
3302.00,99.24
3301.00,99.21
3300.00,99.19
3299.00,99.18
3298.00,99.18
3297.00,99.18
3296.00,99.18
3295.00,99.19
3294.00,99.21
3293.00,99.22
3292.00,99.25
3291.00,99.28
3290.00,99.32
3289.00,99.35
3288.00,99.39
3287.00,99.42
3286.00,99.45
3285.00,99.48
3284.00,99.51
3283.00,99.54
3282.00,99.57
3281.00,99.60
3280.00,99.62
3279.00,99.64
3278.00,99.66
3277.00,99.68
3276.00,99.70
3275.00,99.72
3274.00,99.73
3273.00,99.75
3272.00,99.77
3271.00,99.79
3270.00,99.80
3269.00,99.81
3268.00,99.82
3267.00,99.82
3266.00,99.83
3265.00,99.84
3264.00,99.85
3263.00,99.86
3262.00,99.87
3261.00,99.88
3260.00,99.88
3259.00,99.89
3258.00,99.89
3257.00,99.90
3256.00,99.90
3255.00,99.91
3254.00,99.91
3253.00,99.92
3252.00,99.92
3251.00,99.92
3250.00,99.93
3249.00,99.93
3248.00,99.93
3247.00,99.93
3246.00,99.93
3245.00,99.93
3244.00,99.94
3243.00,99.94
3242.00,99.95
3241.00,99.95
3240.00,99.94
3239.00,99.94
3238.00,99.94
3237.00,99.94
3236.00,99.95
3235.00,99.95
3234.00,99.95
3233.00,99.95
3232.00,99.95
3231.00,99.95
3230.00,99.94
3229.00,99.94
3228.00,99.94
3227.00,99.94
3226.00,99.94
3225.00,99.94
3224.00,99.95
3223.00,99.95
3222.00,99.95
3221.00,99.95
3220.00,99.95
3219.00,99.95
3218.00,99.95
3217.00,99.95
3216.00,99.95
3215.00,99.95
3214.00,99.95
3213.00,99.95
3212.00,99.95
3211.00,99.95
3210.00,99.96
3209.00,99.96
3208.00,99.96
3207.00,99.96
3206.00,99.96
3205.00,99.96
3204.00,99.96
3203.00,99.97
3202.00,99.97
3201.00,99.97
3200.00,99.97
3199.00,99.96
3198.00,99.96
3197.00,99.97
