Created as New Dataset,SAN (30% acrylonitrile)
cm-1,%T
3160.00,98.29
3159.00,98.30
3158.00,98.30
3157.00,98.30
3156.00,98.30
3155.00,98.30
3154.00,98.31
3153.00,98.31
3152.00,98.31
3151.00,98.30
3150.00,98.30
3149.00,98.30
3148.00,98.30
3147.00,98.30
3146.00,98.30
3145.00,98.30
3144.00,98.30
3143.00,98.30
3142.00,98.30
3141.00,98.31
3140.00,98.31
3139.00,98.31
3138.00,98.30
3137.00,98.30
3136.00,98.30
3135.00,98.31
3134.00,98.31
3133.00,98.30
3132.00,98.30
3131.00,98.29
3130.00,98.29
3129.00,98.29
3128.00,98.29
3127.00,98.29
3126.00,98.28
3125.00,98.28
3124.00,98.28
3123.00,98.27
3122.00,98.27
3121.00,98.26
3120.00,98.24
3119.00,98.23
3118.00,98.21
3117.00,98.20
3116.00,98.17
3115.00,98.15
3114.00,98.12
3113.00,98.09
3112.00,98.06
3111.00,98.02
3110.00,97.99
3109.00,97.97
3108.00,97.94
3107.00,97.93
3106.00,97.92
3105.00,97.92
3104.00,97.92
3103.00,97.93
3102.00,97.94
3101.00,97.94
3100.00,97.94
3099.00,97.93
3098.00,97.91
3097.00,97.89
3096.00,97.85
3095.00,97.80
3094.00,97.75
3093.00,97.69
3092.00,97.61
3091.00,97.53
3090.00,97.45
3089.00,97.36
3088.00,97.29
3087.00,97.23
3086.00,97.19
3085.00,97.17
3084.00,97.18
3083.00,97.20
3082.00,97.24
3081.00,97.28
3080.00,97.33
3079.00,97.36
3078.00,97.39
3077.00,97.40
3076.00,97.39
3075.00,97.38
3074.00,97.34
3073.00,97.30
3072.00,97.24
3071.00,97.18
3070.00,97.10
3069.00,97.01
3068.00,96.92
3067.00,96.83
3066.00,96.74
3065.00,96.66
3064.00,96.60
3063.00,96.56
3062.00,96.54
3061.00,96.55
3060.00,96.57
3059.00,96.62
3058.00,96.68
3057.00,96.75
3056.00,96.82
3055.00,96.90
3054.00,96.98
3053.00,97.05
3052.00,97.11
3051.00,97.16
3050.00,97.20
3049.00,97.23
3048.00,97.24
3047.00,97.24
3046.00,97.22
3045.00,97.19
3044.00,97.16
3043.00,97.10
3042.00,97.04
3041.00,96.96
3040.00,96.86
3039.00,96.74
3038.00,96.61
3037.00,96.46
3036.00,96.29
3035.00,96.11
3034.00,95.92
3033.00,95.73
3032.00,95.54
3031.00,95.38
3030.00,95.25
3029.00,95.17
3028.00,95.15
3027.00,95.18
3026.00,95.28
3025.00,95.42
3024.00,95.61
3023.00,95.82
3022.00,96.05
3021.00,96.28
3020.00,96.49
3019.00,96.69
3018.00,96.86
3017.00,97.00
3016.00,97.10
3015.00,97.18
3014.00,97.23
3013.00,97.26
3012.00,97.27
3011.00,97.26
3010.00,97.23
3009.00,97.20
3008.00,97.16
3007.00,97.13
3006.00,97.11
3005.00,97.11
3004.00,97.12
3003.00,97.16
3002.00,97.21
3001.00,97.28
3000.00,97.35
2999.00,97.43
2998.00,97.50
2997.00,97.57
2996.00,97.62
2995.00,97.67
2994.00,97.70
2993.00,97.73
2992.00,97.75
2991.00,97.76
2990.00,97.77
2989.00,97.78
2988.00,97.78
2987.00,97.77
2986.00,97.76
2985.00,97.75
2984.00,97.74
2983.00,97.72
2982.00,97.70
2981.00,97.68
2980.00,97.66
2979.00,97.65
2978.00,97.63
2977.00,97.61
2976.00,97.59
2975.00,97.56
2974.00,97.53
2973.00,97.50
2972.00,97.46
2971.00,97.42
2970.00,97.37
2969.00,97.32
2968.00,97.26
2967.00,97.20
2966.00,97.14
2965.00,97.07
2964.00,96.99
2963.00,96.91
2962.00,96.83
2961.00,96.74
2960.00,96.65
2959.00,96.55
2958.00,96.45
2957.00,96.34
2956.00,96.23
2955.00,96.12
2954.00,96.00
2953.00,95.89
2952.00,95.77
2951.00,95.65
2950.00,95.54
2949.00,95.43
2948.00,95.32
2947.00,95.21
2946.00,95.10
2945.00,95.00
2944.00,94.89
2943.00,94.79
2942.00,94.69
2941.00,94.59
2940.00,94.50
2939.00,94.41
2938.00,94.33
2937.00,94.25
2936.00,94.17
2935.00,94.09
2934.00,94.02
2933.00,93.95
2932.00,93.89
2931.00,93.83
2930.00,93.78
2929.00,93.73
2928.00,93.69
2927.00,93.66
2926.00,93.64
2925.00,93.63
2924.00,93.63
2923.00,93.65
2922.00,93.69
2921.00,93.74
2920.00,93.81
2919.00,93.89
2918.00,93.98
2917.00,94.08
2916.00,94.19
2915.00,94.30
2914.00,94.42
2913.00,94.53
2912.00,94.64
2911.00,94.76
2910.00,94.87
2909.00,94.97
2908.00,95.07
2907.00,95.17
2906.00,95.26
2905.00,95.35
2904.00,95.43
2903.00,95.51
2902.00,95.58
2901.00,95.64
2900.00,95.70
2899.00,95.75
2898.00,95.79
2897.00,95.83
2896.00,95.87
2895.00,95.91
2894.00,95.94
2893.00,95.98
2892.00,96.01
2891.00,96.05
2890.00,96.08
2889.00,96.12
2888.00,96.16
2887.00,96.20
2886.00,96.24
2885.00,96.29
2884.00,96.32
2883.00,96.36
2882.00,96.40
2881.00,96.44
2880.00,96.47
2879.00,96.51
2878.00,96.53
2877.00,96.56
2876.00,96.57
2875.00,96.58
2874.00,96.59
2873.00,96.58
2872.00,96.57
2871.00,96.56
2870.00,96.54
2869.00,96.52
2868.00,96.49
2867.00,96.46
2866.00,96.43
2865.00,96.40
2864.00,96.37
2863.00,96.33
2862.00,96.31
2861.00,96.28
2860.00,96.26
2859.00,96.24
2858.00,96.24
2857.00,96.24
2856.00,96.25
2855.00,96.27
2854.00,96.29
2853.00,96.33
2852.00,96.38
2851.00,96.44
2850.00,96.52
2849.00,96.60
2848.00,96.68
2847.00,96.78
2846.00,96.87
2845.00,96.96
2844.00,97.04
2843.00,97.13
2842.00,97.20
2841.00,97.28
2840.00,97.34
2839.00,97.40
2838.00,97.45
2837.00,97.49
2836.00,97.53
2835.00,97.56
2834.00,97.59
2833.00,97.62
2832.00,97.64
2831.00,97.66
2830.00,97.68
2829.00,97.69
2828.00,97.70
2827.00,97.71
2826.00,97.72
2825.00,97.73
2824.00,97.74
2823.00,97.75
2822.00,97.75
2821.00,97.76
2820.00,97.76
2819.00,97.77
2818.00,97.77
2817.00,97.78
2816.00,97.78
2815.00,97.78
2814.00,97.79
2813.00,97.79
2812.00,97.80
2811.00,97.80
2810.00,97.81
2809.00,97.82
2808.00,97.82
2807.00,97.83
2806.00,97.83
2805.00,97.83
2804.00,97.84
2803.00,97.84
2802.00,97.85
2801.00,97.85
2800.00,97.85
2799.00,97.86
2798.00,97.87
2797.00,97.87
2796.00,97.87
2795.00,97.88
2794.00,97.88
2793.00,97.88
2792.00,97.88
2791.00,97.88
2790.00,97.88
2789.00,97.89
2788.00,97.89
2787.00,97.89
2786.00,97.90
2785.00,97.90
2784.00,97.90
2783.00,97.90
2782.00,97.91
2781.00,97.91
2780.00,97.92
2779.00,97.92
2778.00,97.93
2777.00,97.93
2776.00,97.94
2775.00,97.94
2774.00,97.95
2773.00,97.95
2772.00,97.95
2771.00,97.95
2770.00,97.95
2769.00,97.96
2768.00,97.96
2767.00,97.97
2766.00,97.97
2765.00,97.97
2764.00,97.97
2763.00,97.97
2762.00,97.97
2761.00,97.97
2760.00,97.97
2759.00,97.98
2758.00,97.98
