Created as New Dataset,PET Biaxial Film GF
cm-1,%T
3433.00,96.19
3432.00,96.14
3431.00,96.12
3430.00,96.13
3429.00,96.17
3428.00,96.22
3427.00,96.28
3426.00,96.35
3425.00,96.42
3424.00,96.50
3423.00,96.58
3422.00,96.66
3421.00,96.72
3420.00,96.78
3419.00,96.83
3418.00,96.88
3417.00,96.93
3416.00,96.99
3415.00,97.04
3414.00,97.08
3413.00,97.12
3412.00,97.15
3411.00,97.18
3410.00,97.20
3409.00,97.23
3408.00,97.25
3407.00,97.27
3406.00,97.29
3405.00,97.32
3404.00,97.35
3403.00,97.38
3402.00,97.41
3401.00,97.42
3400.00,97.43
3399.00,97.43
3398.00,97.43
3397.00,97.44
3396.00,97.45
3395.00,97.46
3394.00,97.48
3393.00,97.49
3392.00,97.50
3391.00,97.50
3390.00,97.50
3389.00,97.49
3388.00,97.49
3387.00,97.49
3386.00,97.49
3385.00,97.50
3384.00,97.51
3383.00,97.52
3382.00,97.53
3381.00,97.53
3380.00,97.54
3379.00,97.54
3378.00,97.55
3377.00,97.55
3376.00,97.55
3375.00,97.55
3374.00,97.56
3373.00,97.56
3372.00,97.57
3371.00,97.59
3370.00,97.60
3369.00,97.61
3368.00,97.60
3367.00,97.59
3366.00,97.58
3365.00,97.57
3364.00,97.56
3363.00,97.56
3362.00,97.57
3361.00,97.57
3360.00,97.57
3359.00,97.56
3358.00,97.56
3357.00,97.56
3356.00,97.56
3355.00,97.56
3354.00,97.56
3353.00,97.57
3352.00,97.57
3351.00,97.56
3350.00,97.55
3349.00,97.53
3348.00,97.53
3347.00,97.52
3346.00,97.53
3345.00,97.53
3344.00,97.52
3343.00,97.52
3342.00,97.52
3341.00,97.52
3340.00,97.52
3339.00,97.52
3338.00,97.52
3337.00,97.51
3336.00,97.50
3335.00,97.50
3334.00,97.50
3333.00,97.50
3332.00,97.50
3331.00,97.51
3330.00,97.52
3329.00,97.53
3328.00,97.55
3327.00,97.56
3326.00,97.56
3325.00,97.56
3324.00,97.56
3323.00,97.56
3322.00,97.57
3321.00,97.57
3320.00,97.58
3319.00,97.58
3318.00,97.58
3317.00,97.58
3316.00,97.57
3315.00,97.57
3314.00,97.58
3313.00,97.58
3312.00,97.58
3311.00,97.58
3310.00,97.59
3309.00,97.59
3308.00,97.60
3307.00,97.59
3306.00,97.59
3305.00,97.58
3304.00,97.57
3303.00,97.57
3302.00,97.56
3301.00,97.56
3300.00,97.55
3299.00,97.55
3298.00,97.56
3297.00,97.56
3296.00,97.57
3295.00,97.58
3294.00,97.58
3293.00,97.58
3292.00,97.58
3291.00,97.58
3290.00,97.59
3289.00,97.59
3288.00,97.60
3287.00,97.61
3286.00,97.61
3285.00,97.62
3284.00,97.62
3283.00,97.61
3282.00,97.61
3281.00,97.61
3280.00,97.61
3279.00,97.61
3278.00,97.62
3277.00,97.62
3276.00,97.63
3275.00,97.63
3274.00,97.64
3273.00,97.64
3272.00,97.64
3271.00,97.64
3270.00,97.64
3269.00,97.63
3268.00,97.63
3267.00,97.63
3266.00,97.63
3265.00,97.63
3264.00,97.63
3263.00,97.63
3262.00,97.63
3261.00,97.63
3260.00,97.62
3259.00,97.62
3258.00,97.63
3257.00,97.63
3256.00,97.63
3255.00,97.63
3254.00,97.63
3253.00,97.63
3252.00,97.63
3251.00,97.63
3250.00,97.63
3249.00,97.63
3248.00,97.63
3247.00,97.63
3246.00,97.63
3245.00,97.62
3244.00,97.62
3243.00,97.62
3242.00,97.62
3241.00,97.61
3240.00,97.61
3239.00,97.61
3238.00,97.61
3237.00,97.61
3236.00,97.61
3235.00,97.62
3234.00,97.62
3233.00,97.61
3232.00,97.61
3231.00,97.61
3230.00,97.61
3229.00,97.61
3228.00,97.61
3227.00,97.61
3226.00,97.62
3225.00,97.62
3224.00,97.62
3223.00,97.63
3222.00,97.63
3221.00,97.63
3220.00,97.63
3219.00,97.64
3218.00,97.64
3217.00,97.64
3216.00,97.64
3215.00,97.65
3214.00,97.65
3213.00,97.65
3212.00,97.65
3211.00,97.65
3210.00,97.65
3209.00,97.66
3208.00,97.66
3207.00,97.66
3206.00,97.67
3205.00,97.66
3204.00,97.66
3203.00,97.66
3202.00,97.65
3201.00,97.65
3200.00,97.65
3199.00,97.65
3198.00,97.65
3197.00,97.64
3196.00,97.64
3195.00,97.64
3194.00,97.63
3193.00,97.63
3192.00,97.63
3191.00,97.63
3190.00,97.64
3189.00,97.64
3188.00,97.64
3187.00,97.64
3186.00,97.64
3185.00,97.64
3184.00,97.64
3183.00,97.64
3182.00,97.64
3181.00,97.64
3180.00,97.64
3179.00,97.64
3178.00,97.64
3177.00,97.64
3176.00,97.64
3175.00,97.64
3174.00,97.64
3173.00,97.64
3172.00,97.64
3171.00,97.64
3170.00,97.64
3169.00,97.64
3168.00,97.64
3167.00,97.64
3166.00,97.64
3165.00,97.64
3164.00,97.63
3163.00,97.63
3162.00,97.62
3161.00,97.62
3160.00,97.61
3159.00,97.60
3158.00,97.60
3157.00,97.60
3156.00,97.60
3155.00,97.60
3154.00,97.61
3153.00,97.61
3152.00,97.61
3151.00,97.60
3150.00,97.60
3149.00,97.59
3148.00,97.58
3147.00,97.58
3146.00,97.57
3145.00,97.56
3144.00,97.56
3143.00,97.55
3142.00,97.55
3141.00,97.54
3140.00,97.53
3139.00,97.52
3138.00,97.51
3137.00,97.50
3136.00,97.49
3135.00,97.48
3134.00,97.47
3133.00,97.46
3132.00,97.45
3131.00,97.44
3130.00,97.42
3129.00,97.41
3128.00,97.41
3127.00,97.41
3126.00,97.41
3125.00,97.41
3124.00,97.42
3123.00,97.42
3122.00,97.42
3121.00,97.42
3120.00,97.42
3119.00,97.42
3118.00,97.41
3117.00,97.39
3116.00,97.38
3115.00,97.36
3114.00,97.34
3113.00,97.32
3112.00,97.29
3111.00,97.27
3110.00,97.24
3109.00,97.21
3108.00,97.18
3107.00,97.16
3106.00,97.13
3105.00,97.11
3104.00,97.09
3103.00,97.09
3102.00,97.09
3101.00,97.10
3100.00,97.12
3099.00,97.15
3098.00,97.17
3097.00,97.19
3096.00,97.21
3095.00,97.22
3094.00,97.23
3093.00,97.23
3092.00,97.22
3091.00,97.21
3090.00,97.19
3089.00,97.17
3088.00,97.15
3087.00,97.12
3086.00,97.09
3085.00,97.06
3084.00,97.03
3083.00,97.01
3082.00,96.99
3081.00,96.98
3080.00,96.98
3079.00,96.98
3078.00,96.98
3077.00,96.98
3076.00,96.98
3075.00,96.97
3074.00,96.96
3073.00,96.95
3072.00,96.94
3071.00,96.93
3070.00,96.92
3069.00,96.92
3068.00,96.91
3067.00,96.91
3066.00,96.92
3065.00,96.92
3064.00,96.93
3063.00,96.92
3062.00,96.92
3061.00,96.90
3060.00,96.87
3059.00,96.83
3058.00,96.79
3057.00,96.75
3056.00,96.73
3055.00,96.73
3054.00,96.74
3053.00,96.77
3052.00,96.82
3051.00,96.88
3050.00,96.94
3049.00,97.01
3048.00,97.07
3047.00,97.13
3046.00,97.19
3045.00,97.23
3044.00,97.27
3043.00,97.30
3042.00,97.33
3041.00,97.34
3040.00,97.35
3039.00,97.36
3038.00,97.36
3037.00,97.37
3036.00,97.36
3035.00,97.36
3034.00,97.35
3033.00,97.34
3032.00,97.32
3031.00,97.30
3030.00,97.28
3029.00,97.25
3028.00,97.22
3027.00,97.19
3026.00,97.14
3025.00,97.09
3024.00,97.03
3023.00,96.96
3022.00,96.88
3021.00,96.78
3020.00,96.67
3019.00,96.56
3018.00,96.44
3017.00,96.34
3016.00,96.25
3015.00,96.20
3014.00,96.16
3013.00,96.15
3012.00,96.15
3011.00,96.15
3010.00,96.15
3009.00,96.16
3008.00,96.16
3007.00,96.16
3006.00,96.15
3005.00,96.14
3004.00,96.13
3003.00,96.12
3002.00,96.10
3001.00,96.09
3000.00,96.07
2999.00,96.05
2998.00,96.03
2997.00,96.01
2996.00,95.98
2995.00,95.95
2994.00,95.92
2993.00,95.87
2992.00,95.83
2991.00,95.77
2990.00,95.71
2989.00,95.64
2988.00,95.56
2987.00,95.47
2986.00,95.37
2985.00,95.27
2984.00,95.15
2983.00,95.02
2982.00,94.87
2981.00,94.71
2980.00,94.53
2979.00,94.33
2978.00,94.10
2977.00,93.86
2976.00,93.60
2975.00,93.33
2974.00,93.08
2973.00,92.85
2972.00,92.68
2971.00,92.57
2970.00,92.53
2969.00,92.56
2968.00,92.65
2967.00,92.76
2966.00,92.89
2965.00,93.02
2964.00,93.14
2963.00,93.25
2962.00,93.35
2961.00,93.45
2960.00,93.55
2959.00,93.65
2958.00,93.75
2957.00,93.85
2956.00,93.96
2955.00,94.08
2954.00,94.20
2953.00,94.33
2952.00,94.46
2951.00,94.60
2950.00,94.73
2949.00,94.87
2948.00,95.01
2947.00,95.13
2946.00,95.26
2945.00,95.37
2944.00,95.47
2943.00,95.57
2942.00,95.65
2941.00,95.72
2940.00,95.79
2939.00,95.84
2938.00,95.89
2937.00,95.92
2936.00,95.95
2935.00,95.97
2934.00,95.99
2933.00,95.99
2932.00,95.98
2931.00,95.97
2930.00,95.96
2929.00,95.93
2928.00,95.91
2927.00,95.88
2926.00,95.85
2925.00,95.81
2924.00,95.77
2923.00,95.73
2922.00,95.68
2921.00,95.63
2920.00,95.57
2919.00,95.51
2918.00,95.45
2917.00,95.39
2916.00,95.33
2915.00,95.26
2914.00,95.17
2913.00,95.07
2912.00,94.97
2911.00,94.86
2910.00,94.77
2909.00,94.70
2908.00,94.68
2907.00,94.71
2906.00,94.79
2905.00,94.91
2904.00,95.06
2903.00,95.20
2902.00,95.34
2901.00,95.47
2900.00,95.57
2899.00,95.65
2898.00,95.71
2897.00,95.77
2896.00,95.81
2895.00,95.84
2894.00,95.86
2893.00,95.87
2892.00,95.88
2891.00,95.89
2890.00,95.91
2889.00,95.92
2888.00,95.94
2887.00,95.95
2886.00,95.98
2885.00,96.00
2884.00,96.03
2883.00,96.06
2882.00,96.09
2881.00,96.12
2880.00,96.14
2879.00,96.17
2878.00,96.19
2877.00,96.21
2876.00,96.22
2875.00,96.24
2874.00,96.26
2873.00,96.27
2872.00,96.29
2871.00,96.30
2870.00,96.32
2869.00,96.33
2868.00,96.35
2867.00,96.36
2866.00,96.37
2865.00,96.38
2864.00,96.39
2863.00,96.40
2862.00,96.40
2861.00,96.40
2860.00,96.40
2859.00,96.40
2858.00,96.41
2857.00,96.41
2856.00,96.40
2855.00,96.40
2854.00,96.40
2853.00,96.40
2852.00,96.41
2851.00,96.43
2850.00,96.48
2849.00,96.55
2848.00,96.62
2847.00,96.71
2846.00,96.79
2845.00,96.87
2844.00,96.94
2843.00,97.00
2842.00,97.05
2841.00,97.09
2840.00,97.13
2839.00,97.16
2838.00,97.19
2837.00,97.22
2836.00,97.24
2835.00,97.26
2834.00,97.28
2833.00,97.30
2832.00,97.32
2831.00,97.33
2830.00,97.35
2829.00,97.37
2828.00,97.38
2827.00,97.39
2826.00,97.41
2825.00,97.42
2824.00,97.43
2823.00,97.43
2822.00,97.44
2821.00,97.44
2820.00,97.44
2819.00,97.44
2818.00,97.44
2817.00,97.43
2816.00,97.43
2815.00,97.43
2814.00,97.43
2813.00,97.43
2812.00,97.43
2811.00,97.44
2810.00,97.44
2809.00,97.44
2808.00,97.43
2807.00,97.43
2806.00,97.44
2805.00,97.44
2804.00,97.45
2803.00,97.46
2802.00,97.47
2801.00,97.48
2800.00,97.49
2799.00,97.50
2798.00,97.52
2797.00,97.53
2796.00,97.54
2795.00,97.55
2794.00,97.56
2793.00,97.58
2792.00,97.59
2791.00,97.60
2790.00,97.61
2789.00,97.62
2788.00,97.63
2787.00,97.64
2786.00,97.64
2785.00,97.65
2784.00,97.65
2783.00,97.66
2782.00,97.67
2781.00,97.68
2780.00,97.68
2779.00,97.69
2778.00,97.69
2777.00,97.70
2776.00,97.71
2775.00,97.72
2774.00,97.73
2773.00,97.73
2772.00,97.74
2771.00,97.74
2770.00,97.74
2769.00,97.75
2768.00,97.75
2767.00,97.75
2766.00,97.76
2765.00,97.76
2764.00,97.76
2763.00,97.76
2762.00,97.77
2761.00,97.76
2760.00,97.76
2759.00,97.76
2758.00,97.76
2757.00,97.76
2756.00,97.76
2755.00,97.76
2754.00,97.77
2753.00,97.77
2752.00,97.76
2751.00,97.76
2750.00,97.76
2749.00,97.76
2748.00,97.76
2747.00,97.76
2746.00,97.76
2745.00,97.76
2744.00,97.76
2743.00,97.77
2742.00,97.78
2741.00,97.78
2740.00,97.79
2739.00,97.80
2738.00,97.81
2737.00,97.82
2736.00,97.83
2735.00,97.83
2734.00,97.84
2733.00,97.85
2732.00,97.86
2731.00,97.87
2730.00,97.88
2729.00,97.88
2728.00,97.89
2727.00,97.90
2726.00,97.91
2725.00,97.91
2724.00,97.92
2723.00,97.92
2722.00,97.93
2721.00,97.93
2720.00,97.94
2719.00,97.94
2718.00,97.94
2717.00,97.94
2716.00,97.95
2715.00,97.95
2714.00,97.96
2713.00,97.96
2712.00,97.97
2711.00,97.97
2710.00,97.97
2709.00,97.98
2708.00,97.98
2707.00,97.98
2706.00,97.99
2705.00,97.99
2704.00,98.00
2703.00,98.00
2702.00,98.01
2701.00,98.02
2700.00,98.02
2699.00,98.03
2698.00,98.03
2697.00,98.03
2696.00,98.03
2695.00,98.03
2694.00,98.03
2693.00,98.03
2692.00,98.04
2691.00,98.04
2690.00,98.04
2689.00,98.04
2688.00,98.04
2687.00,98.05
2686.00,98.05
2685.00,98.05
2684.00,98.04
2683.00,98.04
2682.00,98.04
2681.00,98.05
2680.00,98.05
2679.00,98.05
2678.00,98.06
2677.00,98.06
2676.00,98.07
2675.00,98.07
2674.00,98.07
2673.00,98.07
2672.00,98.07
2671.00,98.07
2670.00,98.07
2669.00,98.08
2668.00,98.08
2667.00,98.08
2666.00,98.08
2665.00,98.08
2664.00,98.07
2663.00,98.06
2662.00,98.05
2661.00,98.04
2660.00,98.03
2659.00,98.03
2658.00,98.02
2657.00,98.02
2656.00,98.01
2655.00,98.01
2654.00,98.01
2653.00,98.01
2652.00,98.00
2651.00,98.00
2650.00,97.99
2649.00,97.99
2648.00,97.98
2647.00,97.98
2646.00,97.97
2645.00,97.96
2644.00,97.96
2643.00,97.95
2642.00,97.94
2641.00,97.94
2640.00,97.93
2639.00,97.92
2638.00,97.91
2637.00,97.90
2636.00,97.89
2635.00,97.89
2634.00,97.88
2633.00,97.87
2632.00,97.86
2631.00,97.86
2630.00,97.86
2629.00,97.86
2628.00,97.86
2627.00,97.87
2626.00,97.87
2625.00,97.87
2624.00,97.87
2623.00,97.87
2622.00,97.87
2621.00,97.88
2620.00,97.88
2619.00,97.88
2618.00,97.88
2617.00,97.88
2616.00,97.88
2615.00,97.87
2614.00,97.87
2613.00,97.87
2612.00,97.87
2611.00,97.87
2610.00,97.87
2609.00,97.87
2608.00,97.87
2607.00,97.87
2606.00,97.86
2605.00,97.86
2604.00,97.86
2603.00,97.86
2602.00,97.85
2601.00,97.85
2600.00,97.84
2599.00,97.83
2598.00,97.82
2597.00,97.81
2596.00,97.80
2595.00,97.79
2594.00,97.79
2593.00,97.78
2592.00,97.76
2591.00,97.76
2590.00,97.75
2589.00,97.75
2588.00,97.74
2587.00,97.74
2586.00,97.73
2585.00,97.73
2584.00,97.72
2583.00,97.72
2582.00,97.73
2581.00,97.73
2580.00,97.73
2579.00,97.74
2578.00,97.74
2577.00,97.74
2576.00,97.74
2575.00,97.74
2574.00,97.75
2573.00,97.75
2572.00,97.75
2571.00,97.75
2570.00,97.75
2569.00,97.75
2568.00,97.74
2567.00,97.74
2566.00,97.74
2565.00,97.74
2564.00,97.74
2563.00,97.74
