Created as New Dataset,PMMA Scientific
cm-1,%T
3533.00,99.13
3532.00,99.14
3531.00,99.15
3530.00,99.15
3529.00,99.16
3528.00,99.16
3527.00,99.16
3526.00,99.16
3525.00,99.16
3524.00,99.16
3523.00,99.16
3522.00,99.16
3521.00,99.16
3520.00,99.17
3519.00,99.17
3518.00,99.17
3517.00,99.17
3516.00,99.18
3515.00,99.18
3514.00,99.18
3513.00,99.18
3512.00,99.18
3511.00,99.18
3510.00,99.18
3509.00,99.19
3508.00,99.19
3507.00,99.19
3506.00,99.19
3505.00,99.19
3504.00,99.19
3503.00,99.19
3502.00,99.19
3501.00,99.19
3500.00,99.19
3499.00,99.19
3498.00,99.20
3497.00,99.20
3496.00,99.20
3495.00,99.20
3494.00,99.20
3493.00,99.19
3492.00,99.19
3491.00,99.19
3490.00,99.19
3489.00,99.19
3488.00,99.19
3487.00,99.18
3486.00,99.18
3485.00,99.18
3484.00,99.19
3483.00,99.19
3482.00,99.19
3481.00,99.19
3480.00,99.19
3479.00,99.18
3478.00,99.18
3477.00,99.17
3476.00,99.17
3475.00,99.17
3474.00,99.17
3473.00,99.17
3472.00,99.18
3471.00,99.18
3470.00,99.18
3469.00,99.18
3468.00,99.18
3467.00,99.17
3466.00,99.16
3465.00,99.15
3464.00,99.14
3463.00,99.14
3462.00,99.14
3461.00,99.14
3460.00,99.13
3459.00,99.13
3458.00,99.12
3457.00,99.12
3456.00,99.11
3455.00,99.11
3454.00,99.11
3453.00,99.10
3452.00,99.10
3451.00,99.09
3450.00,99.09
3449.00,99.08
3448.00,99.08
3447.00,99.08
3446.00,99.08
3445.00,99.07
3444.00,99.07
3443.00,99.07
3442.00,99.07
3441.00,99.07
3440.00,99.08
3439.00,99.08
3438.00,99.09
3437.00,99.10
3436.00,99.10
3435.00,99.10
3434.00,99.10
3433.00,99.10
3432.00,99.11
3431.00,99.11
3430.00,99.11
3429.00,99.11
3428.00,99.12
3427.00,99.12
3426.00,99.12
3425.00,99.12
3424.00,99.13
3423.00,99.13
3422.00,99.14
3421.00,99.14
3420.00,99.15
3419.00,99.15
3418.00,99.16
3417.00,99.17
3416.00,99.17
3415.00,99.18
3414.00,99.19
3413.00,99.19
3412.00,99.19
3411.00,99.20
3410.00,99.20
3409.00,99.20
3408.00,99.21
3407.00,99.21
3406.00,99.21
3405.00,99.22
3404.00,99.22
3403.00,99.23
3402.00,99.23
3401.00,99.23
3400.00,99.23
3399.00,99.23
3398.00,99.22
3397.00,99.22
3396.00,99.22
3395.00,99.22
3394.00,99.23
3393.00,99.23
3392.00,99.23
3391.00,99.23
3390.00,99.23
3389.00,99.22
3388.00,99.22
3387.00,99.22
3386.00,99.22
3385.00,99.22
3384.00,99.22
3383.00,99.22
3382.00,99.22
3381.00,99.22
3380.00,99.22
3379.00,99.22
3378.00,99.22
3377.00,99.21
3376.00,99.21
3375.00,99.21
3374.00,99.22
3373.00,99.22
3372.00,99.22
3371.00,99.22
3370.00,99.23
3369.00,99.23
3368.00,99.23
3367.00,99.23
3366.00,99.23
3365.00,99.22
3364.00,99.22
3363.00,99.21
3362.00,99.21
3361.00,99.21
3360.00,99.21
3359.00,99.21
3358.00,99.21
3357.00,99.21
3356.00,99.21
3355.00,99.21
3354.00,99.21
3353.00,99.21
3352.00,99.20
3351.00,99.20
3350.00,99.20
3349.00,99.19
3348.00,99.19
3347.00,99.19
3346.00,99.19
3345.00,99.19
3344.00,99.19
3343.00,99.19
3342.00,99.19
3341.00,99.19
3340.00,99.19
3339.00,99.19
3338.00,99.18
3337.00,99.18
3336.00,99.18
3335.00,99.18
3334.00,99.18
3333.00,99.18
3332.00,99.18
3331.00,99.18
3330.00,99.18
3329.00,99.18
3328.00,99.18
3327.00,99.17
3326.00,99.17
3325.00,99.17
3324.00,99.17
3323.00,99.17
3322.00,99.17
3321.00,99.17
3320.00,99.17
3319.00,99.17
3318.00,99.17
3317.00,99.17
3316.00,99.16
3315.00,99.16
3314.00,99.16
