Created as New Dataset,PP 250 kDa Sigma
cm-1,%T
3099.00,99.00
3098.00,99.00
3097.00,99.00
3096.00,99.00
3095.00,99.00
3094.00,99.00
3093.00,99.00
3092.00,99.00
3091.00,99.00
3090.00,99.00
3089.00,99.00
3088.00,99.00
3087.00,99.00
3086.00,99.00
3085.00,99.00
3084.00,99.01
3083.00,99.00
3082.00,99.00
3081.00,99.00
3080.00,99.01
3079.00,99.01
3078.00,99.01
3077.00,99.01
3076.00,99.00
3075.00,99.00
3074.00,99.00
3073.00,99.00
3072.00,99.00
3071.00,99.00
3070.00,99.00
3069.00,99.00
3068.00,99.00
3067.00,99.00
3066.00,99.00
3065.00,99.00
3064.00,99.00
3063.00,99.00
3062.00,99.00
3061.00,98.99
3060.00,98.99
3059.00,99.00
3058.00,99.00
3057.00,99.00
3056.00,98.99
3055.00,98.99
3054.00,98.99
3053.00,99.00
3052.00,99.00
3051.00,99.00
3050.00,99.00
3049.00,99.00
3048.00,99.00
3047.00,99.00
3046.00,99.00
3045.00,99.00
3044.00,99.00
3043.00,99.00
3042.00,99.00
3041.00,99.00
3040.00,99.00
3039.00,99.00
3038.00,99.00
3037.00,99.00
3036.00,99.00
3035.00,99.00
3034.00,99.00
3033.00,99.00
3032.00,98.99
3031.00,98.99
3030.00,98.98
3029.00,98.98
3028.00,98.98
3027.00,98.98
3026.00,98.98
3025.00,98.98
3024.00,98.97
3023.00,98.97
3022.00,98.96
3021.00,98.96
3020.00,98.95
3019.00,98.94
3018.00,98.93
3017.00,98.93
3016.00,98.92
3015.00,98.92
3014.00,98.91
3013.00,98.91
3012.00,98.90
3011.00,98.89
3010.00,98.88
3009.00,98.87
3008.00,98.86
3007.00,98.84
3006.00,98.83
3005.00,98.81
3004.00,98.80
3003.00,98.78
3002.00,98.76
3001.00,98.74
3000.00,98.72
2999.00,98.69
2998.00,98.66
2997.00,98.63
2996.00,98.60
2995.00,98.56
2994.00,98.52
2993.00,98.47
2992.00,98.42
2991.00,98.36
