Created as New Dataset,PE (high density) granule 5mm GF
cm-1,%T
3163.00,99.28
3162.00,99.28
3161.00,99.28
3160.00,99.28
3159.00,99.28
3158.00,99.28
3157.00,99.28
3156.00,99.27
3155.00,99.27
3154.00,99.27
3153.00,99.27
3152.00,99.28
3151.00,99.28
3150.00,99.28
3149.00,99.28
3148.00,99.28
3147.00,99.28
3146.00,99.28
3145.00,99.28
3144.00,99.28
3143.00,99.28
3142.00,99.28
3141.00,99.28
3140.00,99.28
3139.00,99.28
3138.00,99.28
3137.00,99.28
3136.00,99.28
3135.00,99.28
3134.00,99.28
3133.00,99.28
3132.00,99.28
3131.00,99.27
3130.00,99.27
3129.00,99.27
3128.00,99.28
3127.00,99.27
3126.00,99.27
3125.00,99.27
3124.00,99.27
3123.00,99.26
3122.00,99.26
3121.00,99.26
3120.00,99.26
3119.00,99.26
3118.00,99.26
3117.00,99.25
3116.00,99.25
3115.00,99.24
3114.00,99.24
3113.00,99.24
3112.00,99.24
3111.00,99.23
3110.00,99.23
3109.00,99.22
3108.00,99.22
3107.00,99.21
3106.00,99.21
3105.00,99.20
3104.00,99.19
3103.00,99.18
3102.00,99.18
3101.00,99.17
3100.00,99.17
3099.00,99.16
3098.00,99.15
3097.00,99.14
3096.00,99.13
3095.00,99.12
3094.00,99.11
3093.00,99.10
3092.00,99.10
3091.00,99.09
3090.00,99.08
3089.00,99.08
3088.00,99.08
3087.00,99.07
3086.00,99.06
3085.00,99.06
3084.00,99.06
3083.00,99.05
3082.00,99.05
3081.00,99.05
3080.00,99.05
3079.00,99.05
3078.00,99.04
3077.00,99.04
3076.00,99.04
3075.00,99.04
3074.00,99.04
3073.00,99.04
3072.00,99.03
3071.00,99.03
3070.00,99.03
3069.00,99.02
3068.00,99.02
3067.00,99.02
3066.00,99.02
3065.00,99.02
3064.00,99.02
3063.00,99.01
3062.00,99.01
3061.00,99.01
3060.00,99.00
3059.00,99.00
3058.00,98.99
3057.00,98.99
3056.00,98.99
3055.00,98.98
3054.00,98.97
3053.00,98.97
3052.00,98.96
3051.00,98.95
3050.00,98.95
3049.00,98.95
3048.00,98.94
3047.00,98.93
3046.00,98.92
3045.00,98.91
3044.00,98.90
3043.00,98.90
3042.00,98.89
3041.00,98.88
3040.00,98.88
3039.00,98.87
3038.00,98.87
3037.00,98.86
3036.00,98.85
3035.00,98.85
3034.00,98.84
3033.00,98.84
3032.00,98.83
3031.00,98.83
3030.00,98.82
3029.00,98.82
3028.00,98.82
3027.00,98.81
3026.00,98.81
3025.00,98.81
3024.00,98.81
3023.00,98.81
3022.00,98.81
