Created as New Dataset,PMMA (GF)
cm-1,%T
2919.00,90.76
2918.00,90.86
2917.00,91.03
2916.00,91.27
2915.00,91.58
2914.00,91.92
2913.00,92.27
2912.00,92.61
2911.00,92.91
2910.00,93.18
2909.00,93.42
2908.00,93.63
2907.00,93.81
2906.00,93.99
2905.00,94.16
2904.00,94.31
2903.00,94.46
2902.00,94.60
2901.00,94.73
2900.00,94.86
2899.00,94.98
2898.00,95.09
2897.00,95.19
2896.00,95.29
2895.00,95.37
2894.00,95.45
2893.00,95.53
2892.00,95.60
2891.00,95.67
2890.00,95.75
2889.00,95.82
2888.00,95.91
2887.00,95.99
2886.00,96.08
2885.00,96.17
2884.00,96.26
2883.00,96.36
2882.00,96.46
2881.00,96.56
2880.00,96.65
2879.00,96.74
2878.00,96.83
2877.00,96.91
2876.00,97.00
2875.00,97.08
2874.00,97.16
2873.00,97.25
2872.00,97.33
2871.00,97.41
2870.00,97.48
2869.00,97.54
2868.00,97.60
2867.00,97.63
2866.00,97.66
2865.00,97.67
2864.00,97.68
2863.00,97.67
2862.00,97.65
2861.00,97.62
2860.00,97.58
2859.00,97.51
2858.00,97.43
2857.00,97.32
2856.00,97.19
2855.00,97.02
2854.00,96.82
2853.00,96.61
2852.00,96.39
2851.00,96.22
2850.00,96.11
2849.00,96.11
2848.00,96.19
2847.00,96.32
2846.00,96.47
2845.00,96.62
2844.00,96.76
2843.00,96.88
2842.00,96.99
2841.00,97.11
2840.00,97.23
2839.00,97.36
2838.00,97.49
2837.00,97.63
2836.00,97.76
2835.00,97.90
2834.00,98.02
2833.00,98.14
2832.00,98.25
2831.00,98.35
2830.00,98.44
2829.00,98.52
2828.00,98.60
2827.00,98.67
2826.00,98.73
2825.00,98.79
2824.00,98.84
2823.00,98.89
2822.00,98.93
2821.00,98.98
2820.00,99.02
2819.00,99.06
2818.00,99.09
2817.00,99.13
2816.00,99.16
2815.00,99.19
2814.00,99.21
2813.00,99.24
2812.00,99.26
2811.00,99.28
2810.00,99.30
2809.00,99.32
2808.00,99.34
2807.00,99.35
2806.00,99.37
2805.00,99.38
2804.00,99.39
2803.00,99.40
2802.00,99.41
2801.00,99.42
2800.00,99.43
2799.00,99.44
2798.00,99.45
2797.00,99.45
2796.00,99.46
2795.00,99.46
2794.00,99.47
2793.00,99.47
2792.00,99.48
2791.00,99.48
2790.00,99.48
2789.00,99.49
2788.00,99.49
2787.00,99.49
2786.00,99.49
2785.00,99.49
2784.00,99.49
2783.00,99.49
2782.00,99.49
2781.00,99.49
2780.00,99.49
2779.00,99.50
2778.00,99.50
2777.00,99.51
2776.00,99.51
2775.00,99.52
2774.00,99.52
2773.00,99.52
2772.00,99.52
2771.00,99.52
2770.00,99.52
2769.00,99.53
2768.00,99.53
2767.00,99.53
2766.00,99.53
2765.00,99.54
2764.00,99.54
2763.00,99.55
2762.00,99.56
2761.00,99.56
2760.00,99.57
2759.00,99.57
2758.00,99.57
2757.00,99.58
2756.00,99.58
2755.00,99.58
2754.00,99.58
2753.00,99.59
2752.00,99.59
2751.00,99.59
2750.00,99.60
2749.00,99.60
2748.00,99.60
2747.00,99.60
2746.00,99.60
2745.00,99.60
2744.00,99.61
2743.00,99.61
2742.00,99.61
2741.00,99.62
2740.00,99.62
2739.00,99.63
2738.00,99.63
2737.00,99.64
2736.00,99.64
