Created as New Dataset,PS 280kDa Sigma
cm-1,%T
3353.00,96.62
3352.00,96.62
3351.00,96.62
3350.00,96.61
3349.00,96.61
3348.00,96.61
3347.00,96.61
3346.00,96.61
3345.00,96.61
3344.00,96.61
3343.00,96.61
3342.00,96.61
3341.00,96.61
3340.00,96.61
3339.00,96.61
3338.00,96.61
3337.00,96.61
3336.00,96.61
3335.00,96.61
3334.00,96.61
3333.00,96.61
3332.00,96.61
3331.00,96.60
3330.00,96.60
3329.00,96.59
3328.00,96.59
3327.00,96.59
3326.00,96.60
3325.00,96.60
3324.00,96.60
3323.00,96.60
3322.00,96.60
3321.00,96.60
3320.00,96.60
3319.00,96.60
3318.00,96.60
3317.00,96.60
3316.00,96.60
3315.00,96.59
3314.00,96.59
3313.00,96.59
3312.00,96.59
3311.00,96.59
3310.00,96.59
3309.00,96.59
3308.00,96.60
3307.00,96.60
3306.00,96.60
3305.00,96.60
3304.00,96.59
3303.00,96.59
3302.00,96.59
3301.00,96.59
3300.00,96.59
3299.00,96.59
3298.00,96.59
3297.00,96.59
3296.00,96.59
3295.00,96.58
3294.00,96.58
3293.00,96.59
3292.00,96.59
3291.00,96.59
3290.00,96.59
3289.00,96.59
3288.00,96.59
3287.00,96.59
3286.00,96.59
3285.00,96.58
3284.00,96.58
3283.00,96.58
3282.00,96.58
3281.00,96.58
3280.00,96.58
3279.00,96.58
3278.00,96.58
3277.00,96.58
3276.00,96.58
3275.00,96.58
3274.00,96.57
3273.00,96.57
3272.00,96.58
3271.00,96.58
3270.00,96.58
3269.00,96.58
3268.00,96.57
3267.00,96.57
3266.00,96.57
3265.00,96.57
3264.00,96.57
3263.00,96.57
3262.00,96.57
3261.00,96.57
3260.00,96.57
3259.00,96.57
3258.00,96.58
3257.00,96.58
3256.00,96.58
3255.00,96.57
3254.00,96.57
3253.00,96.57
3252.00,96.56
3251.00,96.56
3250.00,96.57
3249.00,96.57
3248.00,96.57
3247.00,96.57
3246.00,96.57
3245.00,96.57
3244.00,96.57
3243.00,96.57
3242.00,96.57
3241.00,96.57
3240.00,96.57
3239.00,96.57
3238.00,96.57
3237.00,96.57
3236.00,96.58
3235.00,96.58
3234.00,96.58
3233.00,96.58
3232.00,96.58
3231.00,96.57
3230.00,96.57
3229.00,96.57
3228.00,96.57
3227.00,96.58
3226.00,96.58
3225.00,96.58
3224.00,96.58
3223.00,96.58
3222.00,96.57
3221.00,96.57
3220.00,96.58
3219.00,96.58
3218.00,96.58
3217.00,96.57
3216.00,96.56
3215.00,96.56
3214.00,96.55
3213.00,96.55
3212.00,96.56
3211.00,96.56
3210.00,96.56
3209.00,96.55
3208.00,96.56
3207.00,96.56
3206.00,96.56
3205.00,96.56
3204.00,96.55
3203.00,96.55
3202.00,96.55
3201.00,96.55
3200.00,96.55
3199.00,96.54
3198.00,96.54
3197.00,96.54
3196.00,96.54
3195.00,96.55
3194.00,96.55
3193.00,96.55
3192.00,96.55
3191.00,96.56
3190.00,96.55
3189.00,96.55
3188.00,96.55
3187.00,96.56
3186.00,96.56
3185.00,96.56
3184.00,96.57
3183.00,96.57
3182.00,96.56
3181.00,96.56
