Created as New Dataset,PP 12kDa Sigma
cm-1,%T
3494.00,99.08
3493.00,99.08
3492.00,99.09
3491.00,99.09
3490.00,99.08
3489.00,99.08
3488.00,99.08
3487.00,99.08
3486.00,99.07
3485.00,99.07
3484.00,99.07
3483.00,99.07
3482.00,99.07
3481.00,99.07
3480.00,99.08
3479.00,99.08
3478.00,99.08
3477.00,99.08
3476.00,99.07
3475.00,99.07
3474.00,99.07
3473.00,99.07
3472.00,99.07
3471.00,99.07
3470.00,99.07
3469.00,99.07
3468.00,99.07
3467.00,99.07
3466.00,99.08
3465.00,99.08
3464.00,99.08
3463.00,99.08
3462.00,99.07
3461.00,99.07
3460.00,99.07
3459.00,99.06
3458.00,99.06
3457.00,99.06
3456.00,99.06
3455.00,99.06
3454.00,99.07
3453.00,99.07
3452.00,99.07
3451.00,99.07
3450.00,99.07
3449.00,99.07
3448.00,99.07
3447.00,99.06
3446.00,99.06
3445.00,99.06
3444.00,99.06
3443.00,99.06
3442.00,99.06
3441.00,99.05
3440.00,99.05
3439.00,99.05
3438.00,99.05
3437.00,99.05
3436.00,99.05
3435.00,99.05
3434.00,99.05
3433.00,99.04
3432.00,99.04
3431.00,99.04
3430.00,99.04
3429.00,99.04
3428.00,99.04
3427.00,99.04
3426.00,99.04
3425.00,99.04
3424.00,99.04
3423.00,99.04
3422.00,99.04
3421.00,99.04
3420.00,99.04
3419.00,99.04
3418.00,99.03
3417.00,99.03
3416.00,99.03
3415.00,99.03
3414.00,99.03
3413.00,99.03
3412.00,99.03
3411.00,99.03
3410.00,99.03
3409.00,99.04
3408.00,99.04
3407.00,99.05
3406.00,99.05
3405.00,99.05
3404.00,99.05
3403.00,99.05
3402.00,99.05
3401.00,99.05
3400.00,99.04
3399.00,99.04
3398.00,99.04
3397.00,99.04
3396.00,99.04
3395.00,99.04
3394.00,99.04
3393.00,99.04
3392.00,99.04
3391.00,99.04
3390.00,99.04
3389.00,99.04
3388.00,99.04
3387.00,99.04
3386.00,99.04
3385.00,99.04
3384.00,99.04
3383.00,99.04
3382.00,99.04
3381.00,99.04
3380.00,99.04
3379.00,99.03
3378.00,99.03
3377.00,99.03
3376.00,99.03
3375.00,99.03
3374.00,99.03
3373.00,99.03
3372.00,99.04
3371.00,99.04
3370.00,99.04
3369.00,99.04
3368.00,99.03
3367.00,99.03
3366.00,99.02
3365.00,99.02
3364.00,99.02
3363.00,99.02
3362.00,99.02
3361.00,99.02
3360.00,99.02
3359.00,99.01
3358.00,99.01
3357.00,99.01
3356.00,99.02
3355.00,99.02
3354.00,99.02
3353.00,99.02
3352.00,99.02
3351.00,99.02
3350.00,99.02
3349.00,99.03
3348.00,99.03
3347.00,99.02
3346.00,99.02
3345.00,99.02
3344.00,99.02
3343.00,99.02
3342.00,99.02
3341.00,99.03
3340.00,99.03
3339.00,99.03
3338.00,99.03
3337.00,99.03
3336.00,99.03
3335.00,99.03
3334.00,99.04
3333.00,99.04
3332.00,99.04
3331.00,99.04
3330.00,99.04
3329.00,99.04
3328.00,99.04
3327.00,99.04
3326.00,99.04
3325.00,99.04
3324.00,99.04
3323.00,99.05
3322.00,99.05
3321.00,99.05
3320.00,99.05
3319.00,99.05
3318.00,99.05
3317.00,99.05
3316.00,99.05
3315.00,99.05
3314.00,99.05
3313.00,99.05
3312.00,99.05
3311.00,99.05
3310.00,99.04
3309.00,99.04
3308.00,99.04
3307.00,99.04
3306.00,99.04
3305.00,99.04
3304.00,99.04
3303.00,99.04
3302.00,99.04
3301.00,99.03
3300.00,99.03
3299.00,99.03
3298.00,99.03
3297.00,99.03
3296.00,99.03
3295.00,99.03
3294.00,99.03
3293.00,99.03
3292.00,99.03
3291.00,99.03
3290.00,99.03
3289.00,99.03
3288.00,99.03
3287.00,99.03
3286.00,99.03
3285.00,99.03
3284.00,99.03
3283.00,99.03
3282.00,99.03
3281.00,99.03
3280.00,99.03
3279.00,99.03
3278.00,99.03
3277.00,99.03
3276.00,99.03
3275.00,99.03
3274.00,99.03
3273.00,99.03
3272.00,99.03
3271.00,99.03
3270.00,99.03
3269.00,99.04
3268.00,99.04
3267.00,99.05
3266.00,99.05
3265.00,99.05
3264.00,99.04
3263.00,99.04
3262.00,99.04
3261.00,99.04
3260.00,99.04
3259.00,99.04
3258.00,99.04
3257.00,99.04
3256.00,99.04
3255.00,99.04
3254.00,99.04
3253.00,99.04
3252.00,99.04
3251.00,99.04
3250.00,99.04
3249.00,99.04
3248.00,99.04
3247.00,99.04
3246.00,99.04
3245.00,99.03
3244.00,99.03
3243.00,99.03
3242.00,99.03
3241.00,99.03
3240.00,99.03
3239.00,99.03
3238.00,99.02
3237.00,99.02
3236.00,99.01
3235.00,99.01
3234.00,99.00
3233.00,99.00
3232.00,99.00
3231.00,98.99
3230.00,98.99
3229.00,98.99
3228.00,98.98
3227.00,98.98
3226.00,98.97
3225.00,98.97
3224.00,98.96
3223.00,98.96
3222.00,98.96
3221.00,98.96
3220.00,98.95
3219.00,98.95
3218.00,98.94
3217.00,98.94
3216.00,98.93
3215.00,98.93
3214.00,98.93
3213.00,98.92
3212.00,98.92
3211.00,98.91
3210.00,98.91
