Created as New Dataset,EVOH (32 mol% ethylene) Sigma
cm-1,%T
3445.00,94.99
3444.00,94.96
3443.00,94.93
3442.00,94.90
3441.00,94.86
3440.00,94.83
3439.00,94.79
3438.00,94.75
3437.00,94.71
3436.00,94.68
3435.00,94.64
3434.00,94.61
3433.00,94.57
3432.00,94.53
3431.00,94.49
3430.00,94.46
3429.00,94.42
3428.00,94.39
3427.00,94.35
3426.00,94.32
3425.00,94.28
3424.00,94.25
3423.00,94.22
3422.00,94.18
3421.00,94.15
3420.00,94.11
3419.00,94.07
3418.00,94.03
3417.00,94.00
3416.00,93.97
3415.00,93.93
3414.00,93.90
3413.00,93.87
3412.00,93.84
3411.00,93.81
3410.00,93.77
3409.00,93.74
3408.00,93.70
3407.00,93.66
3406.00,93.63
3405.00,93.59
3404.00,93.56
3403.00,93.52
3402.00,93.49
3401.00,93.45
3400.00,93.42
3399.00,93.39
3398.00,93.36
3397.00,93.33
3396.00,93.30
3395.00,93.27
3394.00,93.24
3393.00,93.21
3392.00,93.18
3391.00,93.15
3390.00,93.12
3389.00,93.10
3388.00,93.07
3387.00,93.04
3386.00,93.01
3385.00,92.98
3384.00,92.95
3383.00,92.93
3382.00,92.90
3381.00,92.87
3380.00,92.85
3379.00,92.82
3378.00,92.80
3377.00,92.77
3376.00,92.74
3375.00,92.72
3374.00,92.69
3373.00,92.67
3372.00,92.64
3371.00,92.62
3370.00,92.59
3369.00,92.56
3368.00,92.53
3367.00,92.51
3366.00,92.49
3365.00,92.47
3364.00,92.45
3363.00,92.42
3362.00,92.40
3361.00,92.38
3360.00,92.35
3359.00,92.33
3358.00,92.31
3357.00,92.29
3356.00,92.27
3355.00,92.25
3354.00,92.23
3353.00,92.20
3352.00,92.18
3351.00,92.16
3350.00,92.14
3349.00,92.12
3348.00,92.11
3347.00,92.09
3346.00,92.07
3345.00,92.05
3344.00,92.03
3343.00,92.01
3342.00,91.99
3341.00,91.97
3340.00,91.95
3339.00,91.93
3338.00,91.91
3337.00,91.89
3336.00,91.87
3335.00,91.84
3334.00,91.82
3333.00,91.80
3332.00,91.78
3331.00,91.77
3330.00,91.74
3329.00,91.72
3328.00,91.70
3327.00,91.68
3326.00,91.65
