Created as New Dataset,PP film GF
cm-1,%T
3718.00,99.81
3717.00,99.80
3716.00,99.80
3715.00,99.80
3714.00,99.81
3713.00,99.82
3712.00,99.82
3711.00,99.82
3710.00,99.82
3709.00,99.82
3708.00,99.82
3707.00,99.82
3706.00,99.82
3705.00,99.82
3704.00,99.82
3703.00,99.82
3702.00,99.82
3701.00,99.82
3700.00,99.82
3699.00,99.83
3698.00,99.83
3697.00,99.83
3696.00,99.83
3695.00,99.82
3694.00,99.81
3693.00,99.81
3692.00,99.80
3691.00,99.80
3690.00,99.80
3689.00,99.81
3688.00,99.81
3687.00,99.82
3686.00,99.82
3685.00,99.82
3684.00,99.82
3683.00,99.82
3682.00,99.81
3681.00,99.81
3680.00,99.80
3679.00,99.80
3678.00,99.80
3677.00,99.81
3676.00,99.81
3675.00,99.81
3674.00,99.81
3673.00,99.81
3672.00,99.82
3671.00,99.82
3670.00,99.83
3669.00,99.84
3668.00,99.84
3667.00,99.84
3666.00,99.84
3665.00,99.84
3664.00,99.84
3663.00,99.84
3662.00,99.83
3661.00,99.83
3660.00,99.83
3659.00,99.83
3658.00,99.83
3657.00,99.84
3656.00,99.83
3655.00,99.83
3654.00,99.82
3653.00,99.82
3652.00,99.82
3651.00,99.81
3650.00,99.81
3649.00,99.82
3648.00,99.82
3647.00,99.83
3646.00,99.83
3645.00,99.84
3644.00,99.84
3643.00,99.83
3642.00,99.83
3641.00,99.83
3640.00,99.83
3639.00,99.83
3638.00,99.83
3637.00,99.83
3636.00,99.84
3635.00,99.84
3634.00,99.83
3633.00,99.83
3632.00,99.82
3631.00,99.83
3630.00,99.84
3629.00,99.84
3628.00,99.84
3627.00,99.84
3626.00,99.84
3625.00,99.84
3624.00,99.83
3623.00,99.83
3622.00,99.83
3621.00,99.83
3620.00,99.83
3619.00,99.83
3618.00,99.83
3617.00,99.82
3616.00,99.82
3615.00,99.82
3614.00,99.82
3613.00,99.82
3612.00,99.82
3611.00,99.83
3610.00,99.83
3609.00,99.84
3608.00,99.84
3607.00,99.84
3606.00,99.84
3605.00,99.84
3604.00,99.84
3603.00,99.84
3602.00,99.84
3601.00,99.84
3600.00,99.84
3599.00,99.84
3598.00,99.83
3597.00,99.83
3596.00,99.83
3595.00,99.83
3594.00,99.83
3593.00,99.83
3592.00,99.83
3591.00,99.83
3590.00,99.83
3589.00,99.83
3588.00,99.83
3587.00,99.83
3586.00,99.83
3585.00,99.83
3584.00,99.83
3583.00,99.83
3582.00,99.83
3581.00,99.82
3580.00,99.82
3579.00,99.82
3578.00,99.81
3577.00,99.81
3576.00,99.81
3575.00,99.81
3574.00,99.82
3573.00,99.82
3572.00,99.81
3571.00,99.81
3570.00,99.81
3569.00,99.80
3568.00,99.80
3567.00,99.80
3566.00,99.81
3565.00,99.81
3564.00,99.81
3563.00,99.81
3562.00,99.81
3561.00,99.81
3560.00,99.82
3559.00,99.82
3558.00,99.82
3557.00,99.81
3556.00,99.81
3555.00,99.80
3554.00,99.79
3553.00,99.79
3552.00,99.79
3551.00,99.79
3550.00,99.79
3549.00,99.79
3548.00,99.79
3547.00,99.79
3546.00,99.79
3545.00,99.79
3544.00,99.79
3543.00,99.79
3542.00,99.79
3541.00,99.79
3540.00,99.79
3539.00,99.78
3538.00,99.78
3537.00,99.78
3536.00,99.78
3535.00,99.78
3534.00,99.78
3533.00,99.78
3532.00,99.78
3531.00,99.78
3530.00,99.78
3529.00,99.78
3528.00,99.78
3527.00,99.78
3526.00,99.78
3525.00,99.78
