Created as New Dataset,PE pellet 124kDa Alfa Aesar
cm-1,%T
3360.00,99.61
3359.00,99.62
3358.00,99.62
3357.00,99.62
3356.00,99.63
3355.00,99.63
3354.00,99.63
3353.00,99.63
3352.00,99.63
3351.00,99.62
3350.00,99.62
3349.00,99.62
3348.00,99.62
3347.00,99.62
3346.00,99.62
3345.00,99.62
3344.00,99.63
3343.00,99.63
3342.00,99.63
3341.00,99.63
3340.00,99.62
3339.00,99.62
3338.00,99.63
3337.00,99.63
3336.00,99.63
3335.00,99.63
3334.00,99.63
3333.00,99.63
3332.00,99.63
3331.00,99.63
3330.00,99.63
3329.00,99.64
3328.00,99.64
3327.00,99.64
3326.00,99.64
3325.00,99.64
3324.00,99.63
3323.00,99.63
3322.00,99.63
3321.00,99.63
3320.00,99.63
3319.00,99.63
3318.00,99.63
3317.00,99.63
3316.00,99.63
3315.00,99.64
3314.00,99.64
3313.00,99.64
3312.00,99.64
3311.00,99.64
3310.00,99.64
3309.00,99.64
3308.00,99.64
3307.00,99.64
3306.00,99.64
3305.00,99.64
3304.00,99.64
3303.00,99.64
3302.00,99.64
3301.00,99.64
3300.00,99.64
3299.00,99.64
3298.00,99.64
3297.00,99.64
3296.00,99.64
3295.00,99.64
3294.00,99.64
3293.00,99.64
3292.00,99.64
3291.00,99.65
3290.00,99.65
3289.00,99.64
3288.00,99.64
3287.00,99.64
3286.00,99.64
3285.00,99.64
3284.00,99.64
3283.00,99.64
3282.00,99.64
3281.00,99.64
3280.00,99.64
3279.00,99.64
3278.00,99.64
3277.00,99.64
3276.00,99.64
3275.00,99.64
3274.00,99.64
3273.00,99.64
3272.00,99.64
3271.00,99.64
3270.00,99.64
3269.00,99.64
3268.00,99.64
3267.00,99.64
3266.00,99.64
3265.00,99.64
3264.00,99.64
3263.00,99.64
3262.00,99.64
3261.00,99.64
3260.00,99.64
3259.00,99.64
3258.00,99.64
3257.00,99.64
3256.00,99.64
3255.00,99.64
3254.00,99.64
3253.00,99.65
3252.00,99.65
3251.00,99.65
3250.00,99.65
3249.00,99.65
3248.00,99.65
3247.00,99.65
3246.00,99.65
3245.00,99.64
3244.00,99.64
3243.00,99.64
3242.00,99.64
3241.00,99.64
3240.00,99.64
3239.00,99.64
3238.00,99.64
3237.00,99.64
3236.00,99.64
3235.00,99.64
3234.00,99.64
3233.00,99.64
3232.00,99.64
3231.00,99.65
3230.00,99.65
3229.00,99.65
3228.00,99.65
3227.00,99.65
3226.00,99.65
3225.00,99.65
3224.00,99.65
3223.00,99.65
3222.00,99.65
3221.00,99.65
3220.00,99.65
3219.00,99.65
3218.00,99.66
3217.00,99.66
3216.00,99.66
3215.00,99.65
3214.00,99.65
3213.00,99.65
3212.00,99.65
3211.00,99.65
3210.00,99.65
3209.00,99.65
3208.00,99.65
3207.00,99.65
3206.00,99.65
3205.00,99.65
3204.00,99.65
3203.00,99.65
3202.00,99.65
3201.00,99.66
3200.00,99.65
3199.00,99.65
3198.00,99.65
3197.00,99.65
3196.00,99.65
3195.00,99.65
3194.00,99.65
3193.00,99.64
3192.00,99.64
3191.00,99.64
3190.00,99.64
3189.00,99.64
3188.00,99.65
3187.00,99.65
3186.00,99.65
3185.00,99.65
3184.00,99.65
3183.00,99.65
3182.00,99.65
3181.00,99.65
3180.00,99.65
3179.00,99.64
3178.00,99.64
3177.00,99.64
3176.00,99.64
3175.00,99.64
3174.00,99.64
3173.00,99.64
3172.00,99.64
3171.00,99.64
3170.00,99.64
3169.00,99.64
3168.00,99.64
3167.00,99.65
3166.00,99.65
3165.00,99.65
3164.00,99.64
3163.00,99.64
3162.00,99.64
3161.00,99.64
3160.00,99.64
3159.00,99.65
3158.00,99.65
3157.00,99.65
3156.00,99.66
3155.00,99.66
3154.00,99.66
3153.00,99.66
3152.00,99.66
3151.00,99.66
3150.00,99.66
3149.00,99.66
3148.00,99.66
3147.00,99.66
3146.00,99.66
3145.00,99.66
3144.00,99.66
3143.00,99.66
3142.00,99.66
3141.00,99.66
3140.00,99.66
3139.00,99.66
3138.00,99.66
3137.00,99.66
3136.00,99.66
3135.00,99.66
3134.00,99.66
3133.00,99.66
3132.00,99.66
3131.00,99.65
3130.00,99.65
3129.00,99.65
3128.00,99.65
3127.00,99.65
3126.00,99.65
3125.00,99.65
3124.00,99.65
3123.00,99.64
3122.00,99.64
3121.00,99.64
3120.00,99.64
3119.00,99.63
3118.00,99.63
3117.00,99.63
3116.00,99.63
3115.00,99.62
3114.00,99.62
3113.00,99.62
3112.00,99.61
3111.00,99.60
3110.00,99.60
3109.00,99.59
3108.00,99.58
3107.00,99.58
3106.00,99.57
3105.00,99.56
3104.00,99.55
3103.00,99.54
3102.00,99.53
3101.00,99.52
3100.00,99.50
3099.00,99.49
3098.00,99.48
3097.00,99.46
3096.00,99.45
3095.00,99.44
3094.00,99.42
3093.00,99.41
3092.00,99.40
3091.00,99.39
3090.00,99.37
3089.00,99.36
3088.00,99.35
3087.00,99.34
3086.00,99.34
3085.00,99.33
3084.00,99.32
3083.00,99.32
3082.00,99.31
3081.00,99.31
3080.00,99.30
3079.00,99.30
3078.00,99.29
3077.00,99.28
3076.00,99.27
3075.00,99.26
3074.00,99.26
3073.00,99.26
3072.00,99.26
3071.00,99.26
3070.00,99.26
3069.00,99.26
3068.00,99.26
3067.00,99.25
3066.00,99.25
3065.00,99.24
3064.00,99.24
3063.00,99.23
3062.00,99.22
3061.00,99.21
3060.00,99.21
3059.00,99.20
3058.00,99.20
3057.00,99.19
3056.00,99.19
3055.00,99.18
3054.00,99.17
3053.00,99.16
3052.00,99.16
3051.00,99.15
3050.00,99.14
3049.00,99.13
3048.00,99.13
3047.00,99.12
3046.00,99.11
3045.00,99.09
3044.00,99.08
3043.00,99.07
3042.00,99.06
3041.00,99.04
3040.00,99.03
3039.00,99.01
3038.00,99.00
3037.00,98.99
3036.00,98.98
3035.00,98.97
3034.00,98.96
3033.00,98.95
3032.00,98.95
3031.00,98.94
3030.00,98.93
3029.00,98.93
3028.00,98.92
3027.00,98.91
3026.00,98.91
3025.00,98.90
3024.00,98.89
3023.00,98.89
3022.00,98.88
3021.00,98.88
