Created as New Dataset,Sample 001 By Administrator Date Wednesday, May 03 2023
cm-1,A
3271.00,0.0000
3270.00,-0.0000
3269.00,-0.0000
3268.00,-0.0000
3267.00,-0.0000
3266.00,0.0000
3265.00,0.0001
3264.00,0.0001
3263.00,0.0001
3262.00,0.0001
3261.00,0.0001
3260.00,0.0001
3259.00,0.0002
3258.00,0.0001
3257.00,0.0001
3256.00,0.0001
3255.00,0.0001
3254.00,0.0001
3253.00,0.0001
3252.00,0.0001
3251.00,0.0001
3250.00,0.0001
3249.00,0.0001
3248.00,0.0001
3247.00,0.0001
3246.00,0.0002
3245.00,0.0002
3244.00,0.0002
3243.00,0.0002
3242.00,0.0002
3241.00,0.0002
3240.00,0.0002
3239.00,0.0002
3238.00,0.0002
3237.00,0.0002
3236.00,0.0002
3235.00,0.0002
3234.00,0.0002
3233.00,0.0002
3232.00,0.0001
3231.00,0.0001
3230.00,0.0000
3229.00,0.0000
3228.00,0.0001
3227.00,0.0001
3226.00,0.0001
3225.00,0.0001
3224.00,0.0001
3223.00,0.0001
3222.00,0.0001
3221.00,0.0001
3220.00,0.0001
3219.00,0.0001
3218.00,0.0001
3217.00,0.0001
3216.00,0.0001
3215.00,0.0001
3214.00,0.0001
3213.00,0.0001
3212.00,0.0001
3211.00,0.0001
3210.00,0.0001
3209.00,0.0000
3208.00,0.0000
3207.00,0.0000
3206.00,0.0000
3205.00,0.0000
3204.00,-0.0000
3203.00,-0.0000
3202.00,-0.0000
3201.00,-0.0000
3200.00,-0.0000
3199.00,-0.0000
3198.00,-0.0001
3197.00,-0.0001
3196.00,-0.0001
3195.00,-0.0001
3194.00,-0.0001
3193.00,-0.0000
3192.00,-0.0000
3191.00,-0.0000
3190.00,-0.0001
3189.00,-0.0001
3188.00,-0.0001
3187.00,-0.0001
3186.00,-0.0001
3185.00,-0.0001
3184.00,-0.0001
3183.00,-0.0001
3182.00,-0.0001
3181.00,-0.0001
3180.00,-0.0001
3179.00,-0.0001
3178.00,-0.0001
3177.00,-0.0001
3176.00,-0.0002
3175.00,-0.0002
3174.00,-0.0002
3173.00,-0.0002
3172.00,-0.0002
3171.00,-0.0002
3170.00,-0.0003
3169.00,-0.0003
3168.00,-0.0003
3167.00,-0.0003
3166.00,-0.0002
3165.00,-0.0002
3164.00,-0.0002
3163.00,-0.0002
3162.00,-0.0002
3161.00,-0.0003
3160.00,-0.0003
3159.00,-0.0003
3158.00,-0.0003
3157.00,-0.0003
3156.00,-0.0003
3155.00,-0.0003
3154.00,-0.0003
3153.00,-0.0003
3152.00,-0.0004
3151.00,-0.0004
3150.00,-0.0004
3149.00,-0.0003
3148.00,-0.0003
3147.00,-0.0003
3146.00,-0.0004
3145.00,-0.0004
3144.00,-0.0004
3143.00,-0.0005
3142.00,-0.0005
3141.00,-0.0005
3140.00,-0.0005
3139.00,-0.0004
3138.00,-0.0004
3137.00,-0.0004
3136.00,-0.0004
3135.00,-0.0004
3134.00,-0.0004
3133.00,-0.0003
3132.00,-0.0004
3131.00,-0.0004
3130.00,-0.0004
3129.00,-0.0004
3128.00,-0.0004
3127.00,-0.0004
3126.00,-0.0004
3125.00,-0.0004
3124.00,-0.0004
3123.00,-0.0004
3122.00,-0.0003
3121.00,-0.0004
3120.00,-0.0004
3119.00,-0.0004
3118.00,-0.0004
3117.00,-0.0004
3116.00,-0.0003
3115.00,-0.0003
3114.00,-0.0002
3113.00,-0.0002
3112.00,-0.0002
3111.00,-0.0001
3110.00,-0.0001
3109.00,0.0000
3108.00,0.0001
3107.00,0.0001
3106.00,0.0002
3105.00,0.0002
3104.00,0.0003
3103.00,0.0003
3102.00,0.0003
3101.00,0.0003
3100.00,0.0002
3099.00,0.0002
3098.00,0.0002
3097.00,0.0002
3096.00,0.0002
3095.00,0.0003
3094.00,0.0003
3093.00,0.0004
3092.00,0.0005
3091.00,0.0006
3090.00,0.0008
3089.00,0.0010
3088.00,0.0012
3087.00,0.0015
3086.00,0.0017
3085.00,0.0019
3084.00,0.0020
3083.00,0.0021
3082.00,0.0022
3081.00,0.0021
3080.00,0.0020
3079.00,0.0019
3078.00,0.0017
3077.00,0.0016
3076.00,0.0015
3075.00,0.0014
3074.00,0.0014
3073.00,0.0014
3072.00,0.0014
3071.00,0.0014
3070.00,0.0015
3069.00,0.0017
3068.00,0.0019
3067.00,0.0021
3066.00,0.0023
3065.00,0.0026
3064.00,0.0028
3063.00,0.0030
3062.00,0.0032
3061.00,0.0034
3060.00,0.0035
3059.00,0.0034
3058.00,0.0033
3057.00,0.0032
3056.00,0.0029
