Created as New Dataset,Nylon (6,6) GF
cm-1,%T
3452.00,95.53
3451.00,95.52
3450.00,95.50
3449.00,95.49
3448.00,95.49
3447.00,95.48
3446.00,95.47
3445.00,95.46
3444.00,95.44
3443.00,95.43
3442.00,95.43
3441.00,95.42
3440.00,95.41
3439.00,95.40
3438.00,95.39
3437.00,95.37
3436.00,95.36
3435.00,95.35
3434.00,95.34
3433.00,95.33
3432.00,95.32
3431.00,95.30
3430.00,95.29
3429.00,95.27
3428.00,95.26
3427.00,95.24
3426.00,95.22
3425.00,95.20
3424.00,95.19
3423.00,95.17
3422.00,95.16
3421.00,95.15
3420.00,95.13
3419.00,95.11
3418.00,95.09
3417.00,95.08
3416.00,95.05
3415.00,95.03
3414.00,95.01
3413.00,94.99
3412.00,94.97
3411.00,94.95
3410.00,94.92
3409.00,94.90
3408.00,94.87
3407.00,94.85
3406.00,94.83
3405.00,94.80
3404.00,94.78
3403.00,94.75
3402.00,94.72
3401.00,94.69
3400.00,94.66
3399.00,94.62
3398.00,94.59
3397.00,94.56
3396.00,94.53
3395.00,94.50
3394.00,94.46
3393.00,94.42
3392.00,94.39
3391.00,94.35
3390.00,94.31
3389.00,94.27
3388.00,94.22
3387.00,94.18
3386.00,94.14
3385.00,94.09
3384.00,94.05
3383.00,94.01
3382.00,93.96
3381.00,93.91
3380.00,93.86
3379.00,93.80
3378.00,93.75
3377.00,93.70
3376.00,93.64
3375.00,93.59
3374.00,93.53
3373.00,93.47
3372.00,93.41
3371.00,93.35
3370.00,93.28
3369.00,93.21
3368.00,93.14
3367.00,93.06
3366.00,92.98
3365.00,92.90
3364.00,92.82
3363.00,92.73
3362.00,92.64
3361.00,92.54
3360.00,92.44
3359.00,92.34
3358.00,92.24
3357.00,92.12
3356.00,92.00
3355.00,91.88
3354.00,91.76
3353.00,91.63
3352.00,91.49
3351.00,91.34
3350.00,91.19
3349.00,91.03
3348.00,90.86
3347.00,90.68
3346.00,90.49
3345.00,90.30
3344.00,90.09
3343.00,89.88
3342.00,89.66
3341.00,89.42
3340.00,89.18
3339.00,88.92
3338.00,88.65
3337.00,88.37
3336.00,88.07
3335.00,87.76
3334.00,87.43
3333.00,87.09
3332.00,86.73
3331.00,86.36
3330.00,85.97
3329.00,85.56
3328.00,85.12
3327.00,84.66
3326.00,84.18
3325.00,83.68
3324.00,83.15
3323.00,82.59
3322.00,82.00
3321.00,81.39
3320.00,80.75
3319.00,80.08
3318.00,79.39
3317.00,78.67
3316.00,77.92
3315.00,77.14
3314.00,76.35
3313.00,75.53
3312.00,74.71
3311.00,73.88
3310.00,73.05
3309.00,72.23
3308.00,71.44
3307.00,70.67
3306.00,69.95
3305.00,69.27
3304.00,68.65
3303.00,68.10
3302.00,67.63
3301.00,67.24
3300.00,66.94
3299.00,66.73
3298.00,66.62
3297.00,66.59
3296.00,66.65
3295.00,66.80
3294.00,67.03
3293.00,67.33
3292.00,67.69
3291.00,68.10
3290.00,68.56
3289.00,69.05
3288.00,69.56
3287.00,70.10
3286.00,70.64
3285.00,71.19
3284.00,71.74
3283.00,72.28
3282.00,72.80
3281.00,73.31
3280.00,73.81
3279.00,74.28
3278.00,74.74
3277.00,75.18
3276.00,75.61
3275.00,76.02
3274.00,76.42
3273.00,76.79
3272.00,77.16
3271.00,77.51
3270.00,77.84
3269.00,78.18
3268.00,78.51
3267.00,78.84
3266.00,79.17
3265.00,79.51
3264.00,79.85
3263.00,80.19
3262.00,80.53
3261.00,80.87
3260.00,81.21
3259.00,81.56
3258.00,81.90
3257.00,82.23
3256.00,82.55
3255.00,82.86
3254.00,83.15
3253.00,83.44
3252.00,83.73
3251.00,84.01
3250.00,84.30
3249.00,84.57
3248.00,84.84
3247.00,85.10
3246.00,85.35
3245.00,85.59
3244.00,85.82
3243.00,86.05
3242.00,86.28
3241.00,86.50
3240.00,86.71
3239.00,86.93
3238.00,87.14
3237.00,87.35
3236.00,87.55
3235.00,87.75
3234.00,87.93
3233.00,88.09
3232.00,88.25
3231.00,88.40
3230.00,88.55
3229.00,88.69
3228.00,88.82
3227.00,88.95
3226.00,89.07
3225.00,89.19
3224.00,89.30
3223.00,89.41
3222.00,89.51
3221.00,89.60
3220.00,89.69
3219.00,89.77
3218.00,89.84
3217.00,89.92
3216.00,89.98
3215.00,90.04
3214.00,90.10
3213.00,90.15
3212.00,90.20
3211.00,90.25
3210.00,90.30
3209.00,90.34
3208.00,90.38
3207.00,90.43
3206.00,90.47
3205.00,90.51
3204.00,90.55
3203.00,90.59
3202.00,90.63
3201.00,90.67
3200.00,90.72
3199.00,90.77
3198.00,90.82
3197.00,90.87
3196.00,90.93
3195.00,90.99
3194.00,91.05
3193.00,91.11
3192.00,91.18
3191.00,91.25
3190.00,91.31
3189.00,91.38
3188.00,91.44
3187.00,91.52
3186.00,91.59
3185.00,91.66
3184.00,91.74
3183.00,91.81
3182.00,91.89
3181.00,91.96
3180.00,92.04
3179.00,92.12
3178.00,92.20
3177.00,92.28
3176.00,92.37
3175.00,92.45
3174.00,92.54
3173.00,92.63
3172.00,92.72
3171.00,92.80
3170.00,92.89
3169.00,92.97
3168.00,93.06
3167.00,93.14
3166.00,93.22
3165.00,93.30
3164.00,93.38
3163.00,93.44
3162.00,93.51
3161.00,93.57
3160.00,93.63
3159.00,93.68
3158.00,93.74
3157.00,93.79
3156.00,93.84
3155.00,93.89
3154.00,93.93
3153.00,93.97
3152.00,94.01
3151.00,94.04
3150.00,94.07
3149.00,94.10
3148.00,94.12
3147.00,94.14
3146.00,94.16
3145.00,94.18
3144.00,94.20
3143.00,94.23
3142.00,94.25
3141.00,94.27
3140.00,94.28
3139.00,94.29
3138.00,94.29
3137.00,94.29
3136.00,94.29
3135.00,94.29
3134.00,94.29
3133.00,94.28
3132.00,94.28
3131.00,94.27
3130.00,94.26
3129.00,94.25
3128.00,94.23
3127.00,94.21
3126.00,94.19
3125.00,94.17
3124.00,94.15
3123.00,94.13
3122.00,94.11
3121.00,94.08
3120.00,94.05
3119.00,94.01
3118.00,93.96
3117.00,93.91
3116.00,93.85
3115.00,93.79
3114.00,93.72
3113.00,93.66
3112.00,93.59
3111.00,93.53
3110.00,93.46
3109.00,93.39
3108.00,93.31
3107.00,93.22
3106.00,93.14
3105.00,93.06
3104.00,92.98
3103.00,92.90
3102.00,92.82
3101.00,92.74
3100.00,92.65
3099.00,92.56
3098.00,92.47
3097.00,92.39
3096.00,92.31
3095.00,92.23
3094.00,92.17
3093.00,92.10
3092.00,92.04
3091.00,91.99
3090.00,91.93
3089.00,91.88
3088.00,91.83
3087.00,91.79
3086.00,91.76
3085.00,91.73
3084.00,91.71
3083.00,91.69
3082.00,91.68
3081.00,91.67
3080.00,91.66
3079.00,91.66
3078.00,91.65
3077.00,91.64
3076.00,91.63
3075.00,91.63
3074.00,91.63
3073.00,91.64
3072.00,91.65
3071.00,91.67
3070.00,91.69
3069.00,91.71
3068.00,91.72
3067.00,91.74
3066.00,91.75
3065.00,91.76
3064.00,91.78
3063.00,91.81
3062.00,91.84
3061.00,91.90
3060.00,91.96
3059.00,92.04
3058.00,92.13
3057.00,92.23
3056.00,92.34
3055.00,92.45
3054.00,92.58
3053.00,92.71
3052.00,92.85
3051.00,93.00
3050.00,93.14
3049.00,93.29
3048.00,93.44
3047.00,93.60
3046.00,93.75
3045.00,93.89
3044.00,94.03
3043.00,94.16
3042.00,94.28
3041.00,94.38
3040.00,94.49
3039.00,94.58
3038.00,94.68
3037.00,94.77
3036.00,94.86
3035.00,94.93
3034.00,95.00
3033.00,95.07
3032.00,95.12
3031.00,95.18
3030.00,95.23
3029.00,95.28
3028.00,95.32
3027.00,95.36
3026.00,95.40
3025.00,95.44
3024.00,95.47
3023.00,95.50
3022.00,95.53
3021.00,95.56
3020.00,95.59
3019.00,95.62
3018.00,95.64
3017.00,95.66
3016.00,95.68
3015.00,95.70
3014.00,95.72
3013.00,95.74
3012.00,95.75
3011.00,95.75
3010.00,95.76
3009.00,95.76
3008.00,95.76
3007.00,95.77
3006.00,95.77
3005.00,95.77
3004.00,95.77
3003.00,95.76
3002.00,95.76
3001.00,95.75
3000.00,95.74
2999.00,95.73
2998.00,95.71
2997.00,95.68
2996.00,95.66
2995.00,95.63
2994.00,95.59
2993.00,95.55
2992.00,95.49
2991.00,95.44
2990.00,95.37
2989.00,95.30
2988.00,95.21
2987.00,95.13
2986.00,95.03
2985.00,94.92
2984.00,94.80
2983.00,94.67
2982.00,94.53
2981.00,94.38
2980.00,94.21
2979.00,94.03
2978.00,93.84
2977.00,93.63
2976.00,93.41
2975.00,93.17
2974.00,92.91
2973.00,92.63
2972.00,92.33
2971.00,92.02
2970.00,91.70
2969.00,91.36
2968.00,91.02
2967.00,90.66
2966.00,90.30
2965.00,89.94
2964.00,89.58
2963.00,89.23
2962.00,88.86
2961.00,88.49
2960.00,88.09
2959.00,87.67
2958.00,87.21
2957.00,86.70
2956.00,86.14
2955.00,85.52
2954.00,84.83
2953.00,84.07
2952.00,83.24
2951.00,82.34
2950.00,81.39
2949.00,80.40
2948.00,79.41
2947.00,78.46
2946.00,77.60
2945.00,76.84
2944.00,76.18
2943.00,75.59
2942.00,75.02
2941.00,74.45
2940.00,73.86
2939.00,73.26
2938.00,72.68
2937.00,72.15
2936.00,71.70
2935.00,71.35
2934.00,71.12
2933.00,71.02
2932.00,71.05
2931.00,71.21
2930.00,71.46
2929.00,71.80
2928.00,72.18
2927.00,72.58
2926.00,72.99
2925.00,73.41
2924.00,73.82
2923.00,74.24
2922.00,74.66
2921.00,75.09
2920.00,75.53
2919.00,75.99
2918.00,76.47
2917.00,76.98
2916.00,77.52
2915.00,78.09
2914.00,78.66
2913.00,79.22
2912.00,79.75
2911.00,80.25
2910.00,80.71
2909.00,81.14
2908.00,81.56
2907.00,81.98
2906.00,82.40
2905.00,82.83
2904.00,83.26
2903.00,83.70
2902.00,84.13
2901.00,84.56
2900.00,84.98
2899.00,85.38
2898.00,85.77
2897.00,86.13
2896.00,86.47
2895.00,86.77
2894.00,87.05
2893.00,87.28
2892.00,87.47
2891.00,87.62
2890.00,87.71
2889.00,87.75
2888.00,87.72
2887.00,87.62
2886.00,87.45
2885.00,87.20
2884.00,86.88
2883.00,86.49
2882.00,86.05
2881.00,85.56
2880.00,85.06
2879.00,84.56
2878.00,84.08
2877.00,83.65
2876.00,83.28
2875.00,82.97
2874.00,82.73
2873.00,82.53
2872.00,82.37
2871.00,82.23
2870.00,82.09
2869.00,81.92
2868.00,81.72
2867.00,81.46
2866.00,81.14
2865.00,80.77
2864.00,80.37
2863.00,79.96
2862.00,79.58
2861.00,79.27
2860.00,79.07
2859.00,78.98
2858.00,79.02
2857.00,79.20
2856.00,79.51
2855.00,79.95
2854.00,80.50
2853.00,81.13
2852.00,81.84
2851.00,82.62
2850.00,83.48
2849.00,84.41
2848.00,85.39
2847.00,86.37
2846.00,87.32
2845.00,88.18
2844.00,88.96
2843.00,89.64
2842.00,90.22
2841.00,90.72
2840.00,91.15
2839.00,91.52
2838.00,91.83
2837.00,92.09
2836.00,92.31
2835.00,92.50
2834.00,92.66
2833.00,92.80
2832.00,92.92
2831.00,93.03
2830.00,93.12
2829.00,93.21
2828.00,93.29
2827.00,93.36
2826.00,93.44
2825.00,93.51
2824.00,93.59
2823.00,93.67
2822.00,93.76
2821.00,93.84
2820.00,93.92
2819.00,94.00
2818.00,94.08
2817.00,94.15
2816.00,94.23
2815.00,94.30
2814.00,94.37
2813.00,94.44
2812.00,94.50
2811.00,94.56
2810.00,94.61
2809.00,94.67
2808.00,94.72
2807.00,94.77
2806.00,94.82
2805.00,94.87
2804.00,94.91
2803.00,94.95
2802.00,95.00
2801.00,95.04
2800.00,95.08
2799.00,95.12
2798.00,95.17
2797.00,95.21
2796.00,95.25
2795.00,95.29
2794.00,95.33
2793.00,95.37
2792.00,95.41
2791.00,95.44
2790.00,95.47
2789.00,95.50
2788.00,95.53
2787.00,95.56
2786.00,95.58
2785.00,95.61
2784.00,95.63
2783.00,95.65
2782.00,95.67
2781.00,95.68
2780.00,95.70
2779.00,95.72
2778.00,95.74
2777.00,95.76
2776.00,95.77
2775.00,95.78
2774.00,95.79
2773.00,95.80
2772.00,95.82
2771.00,95.83
2770.00,95.85
2769.00,95.86
2768.00,95.88
2767.00,95.89
2766.00,95.90
2765.00,95.92
2764.00,95.93
2763.00,95.94
2762.00,95.95
2761.00,95.96
2760.00,95.97
2759.00,95.98
2758.00,95.99
2757.00,96.00
2756.00,96.01
2755.00,96.02
2754.00,96.03
2753.00,96.04
2752.00,96.05
