Created as New Dataset,PE Low Density GF
cm-1,%T
3411.00,99.18
3410.00,99.17
3409.00,99.17
3408.00,99.17
3407.00,99.17
3406.00,99.17
3405.00,99.16
3404.00,99.16
3403.00,99.16
3402.00,99.17
3401.00,99.17
3400.00,99.17
3399.00,99.17
3398.00,99.16
3397.00,99.16
3396.00,99.15
3395.00,99.15
3394.00,99.15
3393.00,99.15
3392.00,99.15
3391.00,99.16
3390.00,99.16
3389.00,99.16
3388.00,99.16
3387.00,99.16
3386.00,99.16
3385.00,99.15
3384.00,99.15
3383.00,99.14
3382.00,99.14
3381.00,99.14
3380.00,99.14
3379.00,99.14
3378.00,99.14
3377.00,99.14
3376.00,99.14
3375.00,99.14
3374.00,99.13
3373.00,99.13
3372.00,99.13
3371.00,99.13
3370.00,99.13
3369.00,99.13
3368.00,99.12
3367.00,99.12
3366.00,99.12
3365.00,99.12
3364.00,99.12
3363.00,99.12
3362.00,99.11
3361.00,99.11
3360.00,99.11
3359.00,99.11
3358.00,99.11
3357.00,99.11
3356.00,99.11
3355.00,99.10
3354.00,99.10
3353.00,99.10
3352.00,99.10
3351.00,99.10
3350.00,99.10
3349.00,99.10
3348.00,99.10
3347.00,99.10
3346.00,99.11
3345.00,99.11
3344.00,99.11
3343.00,99.12
3342.00,99.12
3341.00,99.12
3340.00,99.11
3339.00,99.11
3338.00,99.12
3337.00,99.12
3336.00,99.13
3335.00,99.13
3334.00,99.13
3333.00,99.13
3332.00,99.13
3331.00,99.13
3330.00,99.13
3329.00,99.14
3328.00,99.14
3327.00,99.15
3326.00,99.15
3325.00,99.15
3324.00,99.15
3323.00,99.15
3322.00,99.15
3321.00,99.16
3320.00,99.16
3319.00,99.16
3318.00,99.16
3317.00,99.16
3316.00,99.17
3315.00,99.17
3314.00,99.18
3313.00,99.18
3312.00,99.18
3311.00,99.18
3310.00,99.18
3309.00,99.18
3308.00,99.18
3307.00,99.18
3306.00,99.18
3305.00,99.18
3304.00,99.18
3303.00,99.19
3302.00,99.19
3301.00,99.19
3300.00,99.19
3299.00,99.19
3298.00,99.20
3297.00,99.20
3296.00,99.21
3295.00,99.21
3294.00,99.21
3293.00,99.21
3292.00,99.21
3291.00,99.21
3290.00,99.21
3289.00,99.21
3288.00,99.21
3287.00,99.21
3286.00,99.21
3285.00,99.21
3284.00,99.21
3283.00,99.21
3282.00,99.21
3281.00,99.21
3280.00,99.21
3279.00,99.22
3278.00,99.22
3277.00,99.23
3276.00,99.23
3275.00,99.24
3274.00,99.24
3273.00,99.24
3272.00,99.24
3271.00,99.24
3270.00,99.25
3269.00,99.25
3268.00,99.25
3267.00,99.25
3266.00,99.26
3265.00,99.26
3264.00,99.26
3263.00,99.26
3262.00,99.26
3261.00,99.27
3260.00,99.27
3259.00,99.27
3258.00,99.27
3257.00,99.27
3256.00,99.27
3255.00,99.27
3254.00,99.27
3253.00,99.28
3252.00,99.28
3251.00,99.28
3250.00,99.28
3249.00,99.29
3248.00,99.29
3247.00,99.29
3246.00,99.29
3245.00,99.29
3244.00,99.29
3243.00,99.28
3242.00,99.28
3241.00,99.29
3240.00,99.29
3239.00,99.30
3238.00,99.30
3237.00,99.30
3236.00,99.30
3235.00,99.30
3234.00,99.30
3233.00,99.30
3232.00,99.30
3231.00,99.30
3230.00,99.29
3229.00,99.29
3228.00,99.29
3227.00,99.29
3226.00,99.29
3225.00,99.29
3224.00,99.29
3223.00,99.30
3222.00,99.30
3221.00,99.30
3220.00,99.29
3219.00,99.29
3218.00,99.29
3217.00,99.28
3216.00,99.28
3215.00,99.28
3214.00,99.29
3213.00,99.29
3212.00,99.29
3211.00,99.29
3210.00,99.29
3209.00,99.28
3208.00,99.28
3207.00,99.29
3206.00,99.29
3205.00,99.29
3204.00,99.29
3203.00,99.29
3202.00,99.29
3201.00,99.30
3200.00,99.30
3199.00,99.31
3198.00,99.31
3197.00,99.31
3196.00,99.31
3195.00,99.31
3194.00,99.31
3193.00,99.32
3192.00,99.32
3191.00,99.33
3190.00,99.33
3189.00,99.33
3188.00,99.33
3187.00,99.33
3186.00,99.33
3185.00,99.33
3184.00,99.34
3183.00,99.34
3182.00,99.35
3181.00,99.35
3180.00,99.36
3179.00,99.36
3178.00,99.37
3177.00,99.37
3176.00,99.38
3175.00,99.38
3174.00,99.38
3173.00,99.39
3172.00,99.39
3171.00,99.39
3170.00,99.39
3169.00,99.40
3168.00,99.40
3167.00,99.41
3166.00,99.41
3165.00,99.42
3164.00,99.42
3163.00,99.42
3162.00,99.42
3161.00,99.43
3160.00,99.43
3159.00,99.43
3158.00,99.43
3157.00,99.43
3156.00,99.44
3155.00,99.44
3154.00,99.44
3153.00,99.45
3152.00,99.45
3151.00,99.45
3150.00,99.45
3149.00,99.45
3148.00,99.45
3147.00,99.46
3146.00,99.46
3145.00,99.46
3144.00,99.46
3143.00,99.47
3142.00,99.47
3141.00,99.47
3140.00,99.46
3139.00,99.46
3138.00,99.46
3137.00,99.47
3136.00,99.47
3135.00,99.47
3134.00,99.48
3133.00,99.48
3132.00,99.48
3131.00,99.48
3130.00,99.48
3129.00,99.49
3128.00,99.49
3127.00,99.49
3126.00,99.49
3125.00,99.49
3124.00,99.48
3123.00,99.48
3122.00,99.47
3121.00,99.47
3120.00,99.47
3119.00,99.47
3118.00,99.47
3117.00,99.47
3116.00,99.47
3115.00,99.47
3114.00,99.47
3113.00,99.46
3112.00,99.46
3111.00,99.46
3110.00,99.45
3109.00,99.45
3108.00,99.45
3107.00,99.44
3106.00,99.44
3105.00,99.44
3104.00,99.43
3103.00,99.43
3102.00,99.42
3101.00,99.41
3100.00,99.40
3099.00,99.39
3098.00,99.38
3097.00,99.37
3096.00,99.36
3095.00,99.36
3094.00,99.35
3093.00,99.34
3092.00,99.34
3091.00,99.33
3090.00,99.32
3089.00,99.31
3088.00,99.31
3087.00,99.30
3086.00,99.30
3085.00,99.30
3084.00,99.29
3083.00,99.29
3082.00,99.28
3081.00,99.28
3080.00,99.27
3079.00,99.27
3078.00,99.27
3077.00,99.27
3076.00,99.26
3075.00,99.26
3074.00,99.25
3073.00,99.24
3072.00,99.24
3071.00,99.24
3070.00,99.24
3069.00,99.23
3068.00,99.23
3067.00,99.22
3066.00,99.22
3065.00,99.21
3064.00,99.20
3063.00,99.20
3062.00,99.20
3061.00,99.19
3060.00,99.19
3059.00,99.19
3058.00,99.18
3057.00,99.17
3056.00,99.16
3055.00,99.15
3054.00,99.15
3053.00,99.14
3052.00,99.13
3051.00,99.13
3050.00,99.12
3049.00,99.12
3048.00,99.11
3047.00,99.10
3046.00,99.09
3045.00,99.07
3044.00,99.06
3043.00,99.05
3042.00,99.04
3041.00,99.03
3040.00,99.02
3039.00,99.01
3038.00,99.00
3037.00,98.99
3036.00,98.98
3035.00,98.97
3034.00,98.96
3033.00,98.95
3032.00,98.94
3031.00,98.93
3030.00,98.92
3029.00,98.91
3028.00,98.89
3027.00,98.88
3026.00,98.87
3025.00,98.87
3024.00,98.86
3023.00,98.86
3022.00,98.85
3021.00,98.84
3020.00,98.83
3019.00,98.82
3018.00,98.81
3017.00,98.80
3016.00,98.79
3015.00,98.77
3014.00,98.76
3013.00,98.75
3012.00,98.74
3011.00,98.72
3010.00,98.71
3009.00,98.69
3008.00,98.67
3007.00,98.65
3006.00,98.63
3005.00,98.61
3004.00,98.59
3003.00,98.57
3002.00,98.55
3001.00,98.53
3000.00,98.51
2999.00,98.48
2998.00,98.46
2997.00,98.43
2996.00,98.40
2995.00,98.37
2994.00,98.33
2993.00,98.29
2992.00,98.25
2991.00,98.20
2990.00,98.16
2989.00,98.11
2988.00,98.06
2987.00,98.00
2986.00,97.93
2985.00,97.86
2984.00,97.79
2983.00,97.71
2982.00,97.62
