Created as New Dataset,PE powder 1.8kDa Alfa Aesar
cm-1,%T
3548.00,99.83
3547.00,99.83
3546.00,99.83
3545.00,99.82
3544.00,99.82
3543.00,99.81
3542.00,99.81
3541.00,99.81
3540.00,99.80
3539.00,99.80
3538.00,99.80
3537.00,99.81
3536.00,99.81
3535.00,99.81
3534.00,99.81
3533.00,99.80
3532.00,99.80
3531.00,99.80
3530.00,99.80
3529.00,99.80
3528.00,99.79
3527.00,99.78
3526.00,99.77
3525.00,99.77
3524.00,99.77
3523.00,99.77
3522.00,99.77
3521.00,99.77
3520.00,99.77
3519.00,99.77
3518.00,99.77
3517.00,99.76
3516.00,99.76
3515.00,99.75
3514.00,99.75
3513.00,99.75
3512.00,99.75
3511.00,99.75
3510.00,99.74
3509.00,99.74
3508.00,99.73
3507.00,99.73
3506.00,99.72
3505.00,99.72
3504.00,99.72
3503.00,99.72
3502.00,99.72
3501.00,99.72
3500.00,99.72
3499.00,99.72
3498.00,99.72
3497.00,99.72
3496.00,99.71
3495.00,99.71
3494.00,99.71
3493.00,99.71
3492.00,99.71
3491.00,99.71
3490.00,99.71
3489.00,99.71
3488.00,99.71
3487.00,99.71
3486.00,99.71
3485.00,99.71
3484.00,99.71
3483.00,99.70
3482.00,99.70
3481.00,99.70
3480.00,99.70
3479.00,99.70
3478.00,99.70
3477.00,99.70
3476.00,99.69
3475.00,99.69
3474.00,99.69
3473.00,99.69
3472.00,99.68
3471.00,99.69
3470.00,99.69
3469.00,99.69
3468.00,99.69
3467.00,99.68
3466.00,99.68
3465.00,99.68
3464.00,99.68
3463.00,99.68
3462.00,99.68
3461.00,99.68
3460.00,99.68
3459.00,99.68
3458.00,99.68
3457.00,99.68
3456.00,99.67
3455.00,99.67
3454.00,99.67
3453.00,99.67
3452.00,99.67
3451.00,99.67
3450.00,99.66
3449.00,99.66
3448.00,99.65
3447.00,99.65
3446.00,99.64
3445.00,99.64
3444.00,99.64
3443.00,99.65
3442.00,99.65
3441.00,99.65
3440.00,99.65
3439.00,99.65
3438.00,99.65
3437.00,99.65
3436.00,99.65
3435.00,99.64
3434.00,99.64
3433.00,99.64
3432.00,99.63
3431.00,99.63
3430.00,99.63
3429.00,99.63
3428.00,99.64
3427.00,99.64
3426.00,99.64
3425.00,99.64
3424.00,99.63
3423.00,99.63
3422.00,99.63
3421.00,99.63
3420.00,99.63
3419.00,99.63
3418.00,99.63
3417.00,99.62
3416.00,99.62
3415.00,99.61
3414.00,99.61
3413.00,99.61
3412.00,99.61
3411.00,99.61
3410.00,99.61
3409.00,99.60
3408.00,99.60
3407.00,99.60
3406.00,99.60
3405.00,99.60
3404.00,99.60
3403.00,99.60
3402.00,99.60
3401.00,99.60
3400.00,99.60
3399.00,99.59
3398.00,99.59
3397.00,99.59
3396.00,99.59
3395.00,99.59
3394.00,99.58
3393.00,99.58
3392.00,99.58
3391.00,99.58
3390.00,99.58
3389.00,99.58
3388.00,99.58
3387.00,99.58
3386.00,99.58
3385.00,99.58
3384.00,99.58
3383.00,99.57
3382.00,99.57
3381.00,99.57
3380.00,99.57
3379.00,99.57
3378.00,99.57
3377.00,99.57
3376.00,99.57
3375.00,99.57
3374.00,99.57
3373.00,99.56
3372.00,99.56
3371.00,99.56
3370.00,99.56
3369.00,99.56
3368.00,99.55
3367.00,99.55
3366.00,99.55
3365.00,99.55
3364.00,99.55
3363.00,99.56
3362.00,99.56
3361.00,99.56
3360.00,99.56
3359.00,99.56
3358.00,99.56
3357.00,99.56
3356.00,99.56
3355.00,99.56
3354.00,99.57
3353.00,99.57
3352.00,99.58
3351.00,99.58
3350.00,99.58
3349.00,99.58
3348.00,99.58
3347.00,99.58
3346.00,99.58
3345.00,99.59
3344.00,99.59
3343.00,99.59
3342.00,99.58
3341.00,99.58
3340.00,99.58
3339.00,99.58
3338.00,99.58
3337.00,99.59
3336.00,99.59
3335.00,99.59
3334.00,99.59
3333.00,99.59
3332.00,99.59
3331.00,99.59
3330.00,99.60
3329.00,99.60
3328.00,99.60
3327.00,99.60
3326.00,99.60
3325.00,99.60
3324.00,99.61
3323.00,99.61
3322.00,99.62
3321.00,99.62
3320.00,99.62
3319.00,99.62
3318.00,99.62
3317.00,99.63
3316.00,99.63
3315.00,99.63
3314.00,99.63
3313.00,99.63
3312.00,99.64
3311.00,99.64
3310.00,99.65
3309.00,99.65
3308.00,99.65
3307.00,99.64
3306.00,99.64
3305.00,99.64
3304.00,99.65
3303.00,99.65
3302.00,99.65
3301.00,99.65
3300.00,99.66
3299.00,99.66
3298.00,99.66
3297.00,99.67
3296.00,99.67
3295.00,99.67
3294.00,99.67
3293.00,99.68
3292.00,99.68
3291.00,99.69
3290.00,99.69
3289.00,99.69
3288.00,99.69
3287.00,99.69
3286.00,99.69
3285.00,99.69
3284.00,99.69
3283.00,99.70
3282.00,99.70
3281.00,99.70
3280.00,99.70
3279.00,99.70
3278.00,99.70
3277.00,99.70
3276.00,99.70
3275.00,99.70
3274.00,99.70
3273.00,99.71
3272.00,99.71
3271.00,99.72
3270.00,99.72
3269.00,99.72
3268.00,99.73
3267.00,99.73
3266.00,99.73
3265.00,99.72
3264.00,99.72
3263.00,99.72
3262.00,99.73
3261.00,99.73
3260.00,99.73
3259.00,99.74
3258.00,99.74
3257.00,99.74
3256.00,99.74
3255.00,99.75
3254.00,99.75
3253.00,99.75
3252.00,99.75
3251.00,99.75
3250.00,99.75
3249.00,99.75
3248.00,99.75
3247.00,99.75
3246.00,99.75
3245.00,99.76
3244.00,99.76
3243.00,99.76
3242.00,99.76
3241.00,99.76
3240.00,99.76
3239.00,99.77
3238.00,99.77
3237.00,99.78
3236.00,99.78
3235.00,99.77
3234.00,99.77
3233.00,99.77
3232.00,99.77
3231.00,99.77
3230.00,99.77
3229.00,99.78
3228.00,99.78
3227.00,99.78
3226.00,99.78
3225.00,99.78
3224.00,99.78
3223.00,99.78
3222.00,99.78
3221.00,99.78
3220.00,99.78
3219.00,99.78
3218.00,99.78
3217.00,99.78
3216.00,99.78
3215.00,99.78
3214.00,99.78
3213.00,99.78
3212.00,99.78
3211.00,99.78
3210.00,99.78
3209.00,99.78
3208.00,99.78
3207.00,99.78
3206.00,99.78
3205.00,99.78
3204.00,99.78
3203.00,99.79
3202.00,99.79
3201.00,99.79
3200.00,99.79
3199.00,99.79
3198.00,99.79
3197.00,99.79
3196.00,99.79
3195.00,99.79
3194.00,99.79
3193.00,99.79
3192.00,99.79
3191.00,99.79
3190.00,99.78
3189.00,99.78
3188.00,99.78
3187.00,99.79
3186.00,99.79
3185.00,99.79
3184.00,99.79
3183.00,99.79
3182.00,99.79
3181.00,99.79
3180.00,99.79
3179.00,99.79
3178.00,99.79
3177.00,99.79
3176.00,99.79
3175.00,99.79
3174.00,99.79
3173.00,99.78
3172.00,99.79
3171.00,99.79
3170.00,99.79
3169.00,99.79
3168.00,99.79
3167.00,99.79
3166.00,99.79
3165.00,99.79
3164.00,99.79
3163.00,99.79
3162.00,99.79
3161.00,99.79
3160.00,99.78
3159.00,99.78
3158.00,99.78
3157.00,99.78
3156.00,99.79
3155.00,99.79
3154.00,99.79
3153.00,99.79
3152.00,99.79
3151.00,99.79
3150.00,99.79
3149.00,99.79
3148.00,99.79
3147.00,99.79
3146.00,99.78
3145.00,99.78
3144.00,99.78
3143.00,99.78
3142.00,99.78
3141.00,99.78
3140.00,99.78
3139.00,99.78
3138.00,99.78
3137.00,99.77
3136.00,99.77
3135.00,99.77
3134.00,99.77
3133.00,99.77
3132.00,99.77
3131.00,99.77
3130.00,99.76
3129.00,99.76
3128.00,99.76
3127.00,99.75
3126.00,99.75
3125.00,99.75
3124.00,99.75
3123.00,99.75
3122.00,99.75
3121.00,99.74
3120.00,99.74
3119.00,99.73
3118.00,99.73
3117.00,99.73
3116.00,99.72
3115.00,99.72
3114.00,99.71
3113.00,99.71
3112.00,99.70
3111.00,99.70
3110.00,99.69
3109.00,99.69
3108.00,99.68
3107.00,99.68
3106.00,99.67
3105.00,99.66
3104.00,99.65
3103.00,99.64
3102.00,99.63
3101.00,99.62
3100.00,99.61
3099.00,99.61
3098.00,99.60
3097.00,99.59
3096.00,99.58
3095.00,99.57
3094.00,99.56
3093.00,99.55
3092.00,99.54
3091.00,99.53
3090.00,99.52
3089.00,99.51
3088.00,99.50
3087.00,99.49
3086.00,99.49
3085.00,99.48
3084.00,99.47
3083.00,99.47
3082.00,99.47
3081.00,99.46
3080.00,99.45
3079.00,99.45
3078.00,99.44
3077.00,99.44
3076.00,99.43
3075.00,99.43
3074.00,99.42
3073.00,99.42
3072.00,99.42
3071.00,99.41
3070.00,99.41
3069.00,99.41
3068.00,99.40
3067.00,99.40
3066.00,99.39
3065.00,99.38
3064.00,99.37
3063.00,99.36
3062.00,99.35
3061.00,99.34
3060.00,99.34
3059.00,99.33
3058.00,99.33
3057.00,99.32
3056.00,99.31
3055.00,99.30
3054.00,99.29
3053.00,99.28
3052.00,99.27
3051.00,99.27
3050.00,99.26
3049.00,99.25
3048.00,99.23
3047.00,99.22
3046.00,99.20
3045.00,99.19
3044.00,99.18
3043.00,99.16
3042.00,99.15
3041.00,99.13
3040.00,99.12
3039.00,99.11
3038.00,99.11
3037.00,99.10
3036.00,99.09
3035.00,99.08
3034.00,99.07
3033.00,99.05
3032.00,99.04
3031.00,99.03
3030.00,99.02
3029.00,99.01
3028.00,99.00
3027.00,98.99
3026.00,98.99
3025.00,98.98
3024.00,98.97
3023.00,98.96
3022.00,98.95
3021.00,98.94
3020.00,98.92
3019.00,98.91
3018.00,98.90
3017.00,98.89
3016.00,98.88
3015.00,98.87
3014.00,98.85
3013.00,98.84
3012.00,98.82
3011.00,98.80
3010.00,98.78
3009.00,98.76
3008.00,98.74
3007.00,98.73
3006.00,98.70
3005.00,98.68
3004.00,98.65
3003.00,98.62
3002.00,98.59
3001.00,98.56
3000.00,98.53
2999.00,98.50
2998.00,98.46
2997.00,98.42
2996.00,98.38
2995.00,98.33
2994.00,98.28
2993.00,98.23
2992.00,98.17
2991.00,98.11
2990.00,98.04
2989.00,97.97
2988.00,97.89
2987.00,97.80
2986.00,97.70
2985.00,97.60
2984.00,97.48
2983.00,97.36
2982.00,97.23
2981.00,97.09
2980.00,96.94
2979.00,96.79
2978.00,96.62
2977.00,96.43
2976.00,96.24
2975.00,96.04
2974.00,95.82
2973.00,95.59
2972.00,95.35
2971.00,95.09
2970.00,94.82
2969.00,94.55
2968.00,94.27
2967.00,93.99
2966.00,93.70
2965.00,93.42
2964.00,93.14
2963.00,92.88
2962.00,92.63
2961.00,92.39
2960.00,92.18
2959.00,91.98
2958.00,91.81
2957.00,91.66
2956.00,91.54
2955.00,91.43
2954.00,91.34
2953.00,91.26
2952.00,91.17
2951.00,91.05
2950.00,90.88
2949.00,90.65
2948.00,90.32
2947.00,89.89
2946.00,89.36
2945.00,88.72
2944.00,87.98
2943.00,87.13
2942.00,86.18
2941.00,85.14
2940.00,84.01
2939.00,82.79
2938.00,81.47
2937.00,80.06
2936.00,78.55
2935.00,76.94
2934.00,75.22
2933.00,73.40
2932.00,71.47
2931.00,69.42
2930.00,67.24
2929.00,64.93
2928.00,62.47
2927.00,59.82
2926.00,56.98
2925.00,53.93
2924.00,50.68
2923.00,47.27
2922.00,43.76
2921.00,40.27
2920.00,36.96
2919.00,34.02
2918.00,31.67
2917.00,30.14
2916.00,29.60
2915.00,30.10
2914.00,31.56
2913.00,33.80
2912.00,36.57
2911.00,39.59
2910.00,42.63
2909.00,45.54
2908.00,48.22
2907.00,50.63
2906.00,52.77
2905.00,54.65
2904.00,56.32
2903.00,57.80
2902.00,59.12
2901.00,60.34
2900.00,61.47
2899.00,62.53
2898.00,63.56
2897.00,64.57
2896.00,65.56
2895.00,66.56
2894.00,67.57
2893.00,68.58
2892.00,69.62
2891.00,70.66
2890.00,71.71
2889.00,72.77
2888.00,73.82
2887.00,74.86
2886.00,75.89
2885.00,76.90
2884.00,77.88
2883.00,78.83
2882.00,79.75
2881.00,80.63
2880.00,81.46
2879.00,82.23
2878.00,82.92
2877.00,83.52
2876.00,84.01
2875.00,84.41
2874.00,84.71
2873.00,84.93
2872.00,85.08
2871.00,85.17
2870.00,85.20
2869.00,85.14
2868.00,84.98
2867.00,84.68
2866.00,84.21
2865.00,83.54
2864.00,82.66
2863.00,81.54
2862.00,80.16
2861.00,78.49
2860.00,76.51
2859.00,74.17
2858.00,71.42
2857.00,68.18
2856.00,64.39
2855.00,59.99
2854.00,54.98
2853.00,49.53
2852.00,44.01
2851.00,39.05
2850.00,35.41
2849.00,33.78
2848.00,34.49
2847.00,37.35
2846.00,41.81
2845.00,47.15
2844.00,52.71
2843.00,58.04
2842.00,62.88
2841.00,67.13
2840.00,70.79
2839.00,73.90
2838.00,76.54
2837.00,78.78
2836.00,80.69
2835.00,82.33
2834.00,83.74
2833.00,84.97
2832.00,86.04
2831.00,86.98
2830.00,87.81
2829.00,88.56
2828.00,89.23
2827.00,89.83
2826.00,90.38
2825.00,90.88
2824.00,91.33
2823.00,91.75
2822.00,92.13
2821.00,92.48
2820.00,92.80
2819.00,93.10
2818.00,93.38
2817.00,93.64
2816.00,93.89
2815.00,94.11
2814.00,94.32
2813.00,94.52
2812.00,94.71
2811.00,94.88
2810.00,95.05
2809.00,95.21
2808.00,95.36
2807.00,95.50
2806.00,95.64
2805.00,95.76
2804.00,95.89
2803.00,96.01
2802.00,96.12
2801.00,96.23
2800.00,96.34
2799.00,96.44
2798.00,96.54
2797.00,96.63
2796.00,96.73
2795.00,96.82
2794.00,96.91
2793.00,97.00
2792.00,97.08
2791.00,97.16
2790.00,97.25
2789.00,97.32
2788.00,97.40
2787.00,97.47
2786.00,97.55
2785.00,97.61
2784.00,97.68
2783.00,97.74
2782.00,97.80
2781.00,97.86
2780.00,97.91
2779.00,97.96
2778.00,98.00
2777.00,98.05
2776.00,98.09
2775.00,98.13
2774.00,98.17
2773.00,98.21
2772.00,98.24
2771.00,98.27
2770.00,98.30
2769.00,98.33
2768.00,98.35
2767.00,98.38
2766.00,98.40
2765.00,98.42
2764.00,98.44
2763.00,98.46
2762.00,98.48
2761.00,98.50
2760.00,98.51
2759.00,98.53
2758.00,98.54
2757.00,98.56
2756.00,98.57
2755.00,98.58
2754.00,98.59
2753.00,98.60
2752.00,98.61
2751.00,98.61
2750.00,98.61
2749.00,98.61
2748.00,98.62
2747.00,98.62
2746.00,98.61
2745.00,98.61
2744.00,98.61
2743.00,98.61
2742.00,98.61
2741.00,98.61
2740.00,98.62
2739.00,98.62
2738.00,98.63
2737.00,98.63
2736.00,98.64
2735.00,98.65
2734.00,98.65
2733.00,98.66
2732.00,98.67
2731.00,98.67
2730.00,98.68
2729.00,98.70
2728.00,98.71
2727.00,98.72
2726.00,98.73
2725.00,98.74
2724.00,98.75
2723.00,98.76
2722.00,98.78
2721.00,98.79
2720.00,98.81
2719.00,98.82
2718.00,98.83
2717.00,98.85
2716.00,98.85
2715.00,98.86
2714.00,98.87
2713.00,98.88
2712.00,98.89
2711.00,98.90
2710.00,98.91
2709.00,98.91
2708.00,98.92
2707.00,98.92
2706.00,98.93
2705.00,98.95
2704.00,98.96
2703.00,98.97
2702.00,98.98
2701.00,98.98
2700.00,98.99
2699.00,98.99
2698.00,98.99
2697.00,99.00
2696.00,99.00
2695.00,99.00
2694.00,99.00
2693.00,99.00
2692.00,98.99
2691.00,98.99
2690.00,98.99
2689.00,98.99
2688.00,98.98
2687.00,98.98
2686.00,98.98
2685.00,98.98
2684.00,98.97
2683.00,98.96
2682.00,98.96
2681.00,98.95
2680.00,98.94
2679.00,98.93
2678.00,98.92
2677.00,98.91
2676.00,98.90
2675.00,98.89
2674.00,98.88
2673.00,98.87
2672.00,98.86
2671.00,98.85
2670.00,98.83
2669.00,98.82
2668.00,98.81
2667.00,98.80
2666.00,98.79
2665.00,98.78
2664.00,98.77
2663.00,98.75
2662.00,98.74
2661.00,98.74
2660.00,98.73
2659.00,98.72
2658.00,98.72
2657.00,98.71
2656.00,98.71
2655.00,98.71
2654.00,98.71
2653.00,98.71
2652.00,98.71
2651.00,98.71
2650.00,98.71
2649.00,98.71
2648.00,98.70
2647.00,98.70
2646.00,98.70
2645.00,98.69
2644.00,98.68
2643.00,98.67
2642.00,98.66
2641.00,98.66
2640.00,98.65
2639.00,98.65
2638.00,98.64
2637.00,98.64
2636.00,98.64
2635.00,98.64
2634.00,98.64
2633.00,98.65
2632.00,98.67
2631.00,98.69
2630.00,98.71
2629.00,98.73
2628.00,98.75
2627.00,98.77
2626.00,98.79
2625.00,98.81
2624.00,98.83
2623.00,98.84
2622.00,98.86
2621.00,98.88
2620.00,98.89
2619.00,98.91
2618.00,98.93
2617.00,98.95
2616.00,98.96
2615.00,98.98
2614.00,98.99
2613.00,99.01
2612.00,99.02
2611.00,99.04
2610.00,99.05
2609.00,99.06
2608.00,99.07
2607.00,99.08
2606.00,99.10
2605.00,99.11
2604.00,99.12
2603.00,99.13
2602.00,99.14
2601.00,99.14
2600.00,99.15
2599.00,99.15
2598.00,99.16
2597.00,99.17
2596.00,99.18
2595.00,99.19
2594.00,99.20
2593.00,99.21
2592.00,99.22
2591.00,99.23
2590.00,99.25
2589.00,99.26
2588.00,99.27
2587.00,99.28
2586.00,99.28
2585.00,99.29
2584.00,99.30
2583.00,99.31
2582.00,99.32
2581.00,99.33
2580.00,99.34
2579.00,99.35
2578.00,99.36
2577.00,99.36
2576.00,99.37
2575.00,99.37
2574.00,99.38
2573.00,99.39
2572.00,99.40
2571.00,99.41
2570.00,99.41
2569.00,99.41
2568.00,99.42
2567.00,99.42
2566.00,99.43
2565.00,99.43
2564.00,99.44
2563.00,99.45
2562.00,99.45
2561.00,99.46
2560.00,99.47
2559.00,99.47
2558.00,99.47
2557.00,99.47
2556.00,99.48
2555.00,99.48
2554.00,99.48
2553.00,99.49
2552.00,99.49
2551.00,99.49
2550.00,99.50
2549.00,99.51
2548.00,99.52
2547.00,99.53
2546.00,99.53
2545.00,99.54
2544.00,99.55
2543.00,99.56
2542.00,99.57
2541.00,99.58
2540.00,99.59
2539.00,99.59
2538.00,99.59
2537.00,99.59
2536.00,99.59
2535.00,99.59
2534.00,99.59
2533.00,99.58
2532.00,99.58
2531.00,99.58
2530.00,99.58
2529.00,99.58
2528.00,99.58
2527.00,99.58
2526.00,99.58
2525.00,99.59
2524.00,99.61
2523.00,99.62
2522.00,99.63
2521.00,99.63
2520.00,99.64
2519.00,99.64
2518.00,99.65
2517.00,99.66
2516.00,99.67
2515.00,99.67
2514.00,99.67
2513.00,99.67
2512.00,99.66
2511.00,99.66
2510.00,99.66
2509.00,99.67
2508.00,99.68
2507.00,99.69
2506.00,99.69
2505.00,99.69
2504.00,99.69
2503.00,99.69
2502.00,99.69
2501.00,99.70
2500.00,99.70
2499.00,99.70
2498.00,99.70
2497.00,99.70
2496.00,99.70
2495.00,99.71
2494.00,99.71
2493.00,99.71
2492.00,99.71
2491.00,99.71
2490.00,99.71
2489.00,99.70
2488.00,99.70
2487.00,99.71
2486.00,99.72
2485.00,99.72
2484.00,99.73
2483.00,99.73
2482.00,99.73
2481.00,99.74
2480.00,99.73
2479.00,99.73
2478.00,99.73
2477.00,99.73
2476.00,99.73
2475.00,99.73
2474.00,99.73
2473.00,99.73
2472.00,99.73
2471.00,99.74
2470.00,99.74
2469.00,99.75
2468.00,99.75
2467.00,99.75
2466.00,99.76
2465.00,99.76
2464.00,99.76
2463.00,99.76
2462.00,99.76
2461.00,99.76
2460.00,99.76
2459.00,99.76
2458.00,99.75
2457.00,99.75
2456.00,99.74
2455.00,99.74
2454.00,99.74
