Created as New Dataset,PVC powder GF
cm-1,%T
3367.00,97.00
3366.00,97.00
3365.00,97.00
3364.00,97.00
3363.00,97.00
3362.00,97.00
3361.00,97.00
3360.00,97.00
3359.00,96.99
3358.00,97.00
3357.00,97.00
3356.00,97.00
3355.00,97.00
3354.00,97.00
3353.00,97.00
3352.00,97.00
3351.00,97.00
3350.00,97.00
3349.00,96.99
3348.00,96.99
3347.00,96.99
3346.00,97.00
3345.00,97.00
3344.00,97.00
3343.00,96.99
3342.00,96.99
3341.00,96.99
3340.00,96.99
3339.00,96.99
3338.00,96.99
3337.00,96.99
3336.00,96.99
3335.00,96.99
3334.00,96.99
3333.00,96.99
3332.00,96.98
3331.00,96.98
3330.00,96.98
3329.00,96.99
3328.00,96.99
3327.00,97.00
3326.00,97.00
3325.00,97.00
3324.00,96.99
3323.00,96.99
3322.00,96.98
3321.00,96.98
3320.00,96.98
3319.00,96.98
3318.00,96.98
3317.00,96.98
3316.00,96.98
3315.00,96.98
3314.00,96.98
3313.00,96.98
3312.00,96.98
3311.00,96.98
3310.00,96.98
3309.00,96.98
3308.00,96.98
3307.00,96.98
3306.00,96.98
3305.00,96.98
3304.00,96.98
3303.00,96.98
3302.00,96.98
3301.00,96.98
3300.00,96.98
3299.00,96.99
3298.00,96.99
3297.00,96.99
3296.00,96.99
3295.00,96.98
3294.00,96.98
3293.00,96.98
3292.00,96.99
3291.00,96.99
3290.00,96.99
3289.00,96.99
3288.00,96.99
3287.00,96.99
3286.00,96.99
3285.00,96.99
3284.00,96.99
3283.00,96.99
3282.00,96.99
3281.00,97.00
3280.00,97.00
3279.00,96.99
3278.00,96.99
3277.00,96.99
3276.00,96.99
3275.00,96.99
3274.00,96.99
3273.00,96.99
3272.00,96.99
3271.00,96.99
3270.00,97.00
3269.00,97.00
3268.00,97.00
3267.00,97.00
3266.00,97.00
3265.00,96.99
3264.00,96.99
3263.00,96.99
3262.00,96.99
3261.00,96.99
3260.00,97.00
3259.00,97.00
3258.00,96.99
3257.00,96.99
3256.00,97.00
3255.00,97.00
3254.00,97.01
3253.00,97.01
3252.00,97.01
3251.00,97.01
3250.00,97.01
3249.00,97.01
3248.00,97.01
3247.00,97.01
3246.00,97.01
3245.00,97.01
3244.00,97.00
3243.00,97.00
3242.00,97.00
3241.00,97.00
3240.00,97.01
3239.00,97.01
3238.00,97.01
3237.00,97.02
3236.00,97.02
3235.00,97.02
3234.00,97.02
3233.00,97.02
3232.00,97.02
3231.00,97.02
3230.00,97.02
3229.00,97.02
3228.00,97.02
3227.00,97.02
3226.00,97.03
3225.00,97.03
3224.00,97.03
3223.00,97.03
3222.00,97.03
3221.00,97.03
3220.00,97.02
3219.00,97.02
3218.00,97.02
3217.00,97.02
3216.00,97.02
3215.00,97.03
3214.00,97.03
3213.00,97.03
3212.00,97.03
3211.00,97.02
3210.00,97.02
3209.00,97.02
3208.00,97.02
3207.00,97.03
3206.00,97.03
3205.00,97.03
3204.00,97.03
3203.00,97.03
3202.00,97.03
3201.00,97.03
3200.00,97.03
3199.00,97.03
3198.00,97.03
3197.00,97.03
3196.00,97.04
3195.00,97.04
3194.00,97.04
3193.00,97.04
3192.00,97.04
3191.00,97.04
3190.00,97.04
3189.00,97.04
3188.00,97.05
3187.00,97.05
3186.00,97.05
3185.00,97.05
3184.00,97.05
3183.00,97.05
3182.00,97.05
3181.00,97.05
3180.00,97.04
3179.00,97.04
3178.00,97.05
3177.00,97.05
3176.00,97.05
3175.00,97.05
3174.00,97.05
3173.00,97.06
3172.00,97.05
3171.00,97.05
3170.00,97.05
3169.00,97.05
3168.00,97.06
3167.00,97.06
3166.00,97.06
3165.00,97.06
3164.00,97.06
3163.00,97.06
3162.00,97.06
3161.00,97.05
3160.00,97.05
3159.00,97.05
3158.00,97.06
3157.00,97.06
3156.00,97.06
3155.00,97.06
3154.00,97.06
3153.00,97.06
3152.00,97.06
3151.00,97.06
3150.00,97.06
3149.00,97.06
3148.00,97.06
3147.00,97.06
3146.00,97.06
3145.00,97.06
3144.00,97.06
3143.00,97.06
3142.00,97.06
3141.00,97.06
3140.00,97.06
3139.00,97.06
3138.00,97.06
3137.00,97.06
3136.00,97.06
3135.00,97.06
3134.00,97.07
3133.00,97.07
3132.00,97.07
3131.00,97.07
3130.00,97.07
3129.00,97.06
3128.00,97.06
3127.00,97.06
3126.00,97.06
3125.00,97.06
3124.00,97.06
3123.00,97.06
3122.00,97.06
3121.00,97.06
3120.00,97.06
3119.00,97.07
3118.00,97.07
