Created as New Dataset,Acrylic Green
cm-1,%T
3523.00,98.81
3522.00,98.82
3521.00,98.82
3520.00,98.82
3519.00,98.83
3518.00,98.83
3517.00,98.83
3516.00,98.83
3515.00,98.83
3514.00,98.83
3513.00,98.83
3512.00,98.83
3511.00,98.83
3510.00,98.84
3509.00,98.84
3508.00,98.84
3507.00,98.84
3506.00,98.85
3505.00,98.85
3504.00,98.85
3503.00,98.85
3502.00,98.84
3501.00,98.84
3500.00,98.84
3499.00,98.85
3498.00,98.85
3497.00,98.85
3496.00,98.85
3495.00,98.85
3494.00,98.85
3493.00,98.85
3492.00,98.84
3491.00,98.84
3490.00,98.84
3489.00,98.84
3488.00,98.85
3487.00,98.85
3486.00,98.84
3485.00,98.84
3484.00,98.84
3483.00,98.83
3482.00,98.83
3481.00,98.84
3480.00,98.84
3479.00,98.83
3478.00,98.83
3477.00,98.83
3476.00,98.83
3475.00,98.82
3474.00,98.82
3473.00,98.82
3472.00,98.82
3471.00,98.82
3470.00,98.83
3469.00,98.83
3468.00,98.83
3467.00,98.82
3466.00,98.81
3465.00,98.80
3464.00,98.79
3463.00,98.78
3462.00,98.77
3461.00,98.77
3460.00,98.76
3459.00,98.76
3458.00,98.75
3457.00,98.74
3456.00,98.73
3455.00,98.73
3454.00,98.72
3453.00,98.72
3452.00,98.71
3451.00,98.71
3450.00,98.71
3449.00,98.70
3448.00,98.70
3447.00,98.69
3446.00,98.69
3445.00,98.68
3444.00,98.68
3443.00,98.68
3442.00,98.68
3441.00,98.69
3440.00,98.70
3439.00,98.70
3438.00,98.71
3437.00,98.72
3436.00,98.73
3435.00,98.73
3434.00,98.73
3433.00,98.73
3432.00,98.73
3431.00,98.74
3430.00,98.74
3429.00,98.74
3428.00,98.74
3427.00,98.74
3426.00,98.75
3425.00,98.75
3424.00,98.76
3423.00,98.78
3422.00,98.79
3421.00,98.80
3420.00,98.81
3419.00,98.81
3418.00,98.81
3417.00,98.81
3416.00,98.82
3415.00,98.83
3414.00,98.84
3413.00,98.84
3412.00,98.85
3411.00,98.86
3410.00,98.87
3409.00,98.87
3408.00,98.87
3407.00,98.88
3406.00,98.88
3405.00,98.89
3404.00,98.89
3403.00,98.90
3402.00,98.90
3401.00,98.90
3400.00,98.90
3399.00,98.90
3398.00,98.90
3397.00,98.90
3396.00,98.90
3395.00,98.91
3394.00,98.91
3393.00,98.91
3392.00,98.92
3391.00,98.92
3390.00,98.92
3389.00,98.92
3388.00,98.92
3387.00,98.92
3386.00,98.92
3385.00,98.92
3384.00,98.93
3383.00,98.93
3382.00,98.93
3381.00,98.93
3380.00,98.92
3379.00,98.92
3378.00,98.92
3377.00,98.92
3376.00,98.92
3375.00,98.92
3374.00,98.93
3373.00,98.93
3372.00,98.94
3371.00,98.94
3370.00,98.94
3369.00,98.94
3368.00,98.94
3367.00,98.93
3366.00,98.93
3365.00,98.93
3364.00,98.93
3363.00,98.93
