Created as New Dataset,PHB (biopolymer) GF
cm-1,%T
3440.00,98.37
3439.00,98.34
3438.00,98.31
3437.00,98.31
3436.00,98.32
3435.00,98.36
3434.00,98.43
3433.00,98.51
3432.00,98.60
3431.00,98.68
3430.00,98.76
3429.00,98.81
3428.00,98.85
3427.00,98.89
3426.00,98.92
3425.00,98.95
3424.00,98.97
3423.00,99.00
3422.00,99.02
3421.00,99.04
3420.00,99.06
3419.00,99.08
3418.00,99.09
3417.00,99.10
3416.00,99.12
3415.00,99.14
3414.00,99.15
3413.00,99.16
3412.00,99.17
3411.00,99.18
3410.00,99.18
3409.00,99.19
3408.00,99.19
3407.00,99.19
3406.00,99.19
3405.00,99.20
3404.00,99.21
3403.00,99.22
3402.00,99.23
3401.00,99.24
3400.00,99.24
3399.00,99.24
3398.00,99.23
3397.00,99.23
3396.00,99.24
3395.00,99.24
3394.00,99.24
3393.00,99.24
3392.00,99.24
3391.00,99.23
3390.00,99.23
3389.00,99.23
3388.00,99.23
3387.00,99.22
3386.00,99.22
3385.00,99.22
3384.00,99.22
3383.00,99.23
3382.00,99.23
3381.00,99.24
3380.00,99.24
3379.00,99.24
3378.00,99.23
3377.00,99.23
3376.00,99.22
3375.00,99.22
3374.00,99.23
3373.00,99.24
3372.00,99.25
3371.00,99.26
3370.00,99.26
3369.00,99.26
3368.00,99.26
3367.00,99.26
3366.00,99.25
3365.00,99.25
3364.00,99.25
3363.00,99.25
3362.00,99.24
3361.00,99.24
3360.00,99.24
3359.00,99.24
3358.00,99.24
3357.00,99.24
3356.00,99.24
3355.00,99.24
3354.00,99.25
3353.00,99.25
3352.00,99.25
3351.00,99.25
3350.00,99.25
3349.00,99.25
3348.00,99.25
3347.00,99.25
3346.00,99.25
3345.00,99.25
3344.00,99.26
3343.00,99.26
3342.00,99.26
3341.00,99.26
3340.00,99.26
3339.00,99.26
3338.00,99.26
3337.00,99.26
3336.00,99.25
3335.00,99.25
3334.00,99.25
3333.00,99.25
3332.00,99.25
3331.00,99.25
3330.00,99.25
3329.00,99.25
3328.00,99.25
3327.00,99.25
3326.00,99.25
3325.00,99.26
3324.00,99.26
3323.00,99.25
3322.00,99.25
3321.00,99.25
3320.00,99.24
3319.00,99.24
3318.00,99.24
3317.00,99.25
3316.00,99.24
3315.00,99.24
3314.00,99.24
3313.00,99.24
3312.00,99.24
3311.00,99.25
3310.00,99.25
3309.00,99.25
3308.00,99.25
3307.00,99.25
3306.00,99.25
3305.00,99.25
3304.00,99.25
3303.00,99.25
3302.00,99.24
3301.00,99.24
3300.00,99.24
3299.00,99.24
3298.00,99.24
3297.00,99.24
3296.00,99.24
3295.00,99.24
3294.00,99.24
3293.00,99.24
3292.00,99.24
3291.00,99.24
3290.00,99.24
3289.00,99.24
3288.00,99.24
3287.00,99.24
3286.00,99.24
3285.00,99.24
3284.00,99.24
3283.00,99.24
3282.00,99.24
3281.00,99.23
3280.00,99.23
3279.00,99.23
3278.00,99.23
3277.00,99.23
3276.00,99.24
3275.00,99.24
3274.00,99.24
3273.00,99.24
3272.00,99.24
3271.00,99.24
3270.00,99.23
3269.00,99.23
3268.00,99.23
3267.00,99.23
3266.00,99.23
3265.00,99.23
3264.00,99.23
3263.00,99.23
3262.00,99.23
3261.00,99.22
3260.00,99.23
3259.00,99.23
3258.00,99.23
3257.00,99.23
3256.00,99.23
3255.00,99.23
3254.00,99.23
3253.00,99.23
3252.00,99.23
3251.00,99.23
3250.00,99.23
3249.00,99.24
3248.00,99.24
3247.00,99.23
3246.00,99.23
3245.00,99.23
3244.00,99.23
3243.00,99.23
3242.00,99.23
3241.00,99.23
3240.00,99.22
3239.00,99.22
3238.00,99.22
3237.00,99.22
3236.00,99.22
3235.00,99.22
3234.00,99.22
3233.00,99.22
3232.00,99.22
3231.00,99.22
3230.00,99.22
3229.00,99.22
3228.00,99.22
3227.00,99.22
3226.00,99.21
3225.00,99.21
3224.00,99.20
3223.00,99.20
3222.00,99.20
3221.00,99.20
3220.00,99.21
3219.00,99.21
3218.00,99.21
3217.00,99.21
3216.00,99.21
3215.00,99.21
3214.00,99.21
3213.00,99.21
3212.00,99.20
3211.00,99.20
3210.00,99.20
3209.00,99.20
3208.00,99.20
3207.00,99.19
3206.00,99.19
3205.00,99.19
3204.00,99.19
3203.00,99.19
3202.00,99.19
3201.00,99.18
3200.00,99.18
3199.00,99.18
3198.00,99.18
3197.00,99.18
3196.00,99.18
3195.00,99.18
3194.00,99.18
3193.00,99.18
3192.00,99.18
3191.00,99.18
3190.00,99.18
3189.00,99.18
3188.00,99.18
3187.00,99.17
3186.00,99.17
3185.00,99.17
3184.00,99.18
3183.00,99.18
3182.00,99.18
3181.00,99.18
3180.00,99.17
3179.00,99.17
3178.00,99.17
3177.00,99.17
3176.00,99.17
3175.00,99.18
3174.00,99.18
3173.00,99.18
3172.00,99.18
3171.00,99.18
3170.00,99.18
3169.00,99.18
3168.00,99.18
3167.00,99.18
3166.00,99.18
3165.00,99.18
3164.00,99.18
3163.00,99.18
3162.00,99.18
3161.00,99.18
3160.00,99.18
3159.00,99.18
3158.00,99.18
3157.00,99.18
3156.00,99.18
3155.00,99.18
3154.00,99.18
3153.00,99.18
3152.00,99.18
3151.00,99.18
3150.00,99.18
3149.00,99.18
3148.00,99.17
3147.00,99.17
3146.00,99.17
3145.00,99.18
3144.00,99.18
3143.00,99.18
3142.00,99.19
3141.00,99.18
3140.00,99.18
3139.00,99.17
3138.00,99.17
3137.00,99.17
3136.00,99.17
3135.00,99.17
3134.00,99.17
3133.00,99.17
3132.00,99.17
3131.00,99.17
3130.00,99.16
3129.00,99.16
3128.00,99.16
3127.00,99.15
3126.00,99.15
3125.00,99.15
3124.00,99.15
3123.00,99.15
3122.00,99.15
3121.00,99.14
3120.00,99.14
3119.00,99.14
3118.00,99.14
3117.00,99.14
3116.00,99.13
3115.00,99.13
3114.00,99.13
3113.00,99.12
3112.00,99.11
3111.00,99.11
3110.00,99.10
3109.00,99.10
3108.00,99.10
3107.00,99.09
3106.00,99.09
3105.00,99.09
3104.00,99.08
3103.00,99.08
3102.00,99.07
3101.00,99.07
3100.00,99.07
3099.00,99.06
3098.00,99.06
3097.00,99.05
3096.00,99.05
3095.00,99.05
3094.00,99.04
3093.00,99.04
3092.00,99.04
3091.00,99.04
3090.00,99.04
3089.00,99.04
3088.00,99.04
3087.00,99.04
3086.00,99.04
3085.00,99.03
3084.00,99.03
3083.00,99.03
3082.00,99.03
3081.00,99.04
3080.00,99.04
3079.00,99.04
3078.00,99.03
3077.00,99.03
3076.00,99.03
3075.00,99.03
3074.00,99.03
3073.00,99.03
3072.00,99.02
3071.00,99.02
3070.00,99.02
3069.00,99.01
3068.00,99.01
3067.00,99.00
3066.00,99.00
3065.00,99.00
3064.00,98.99
3063.00,98.99
3062.00,98.99
3061.00,98.99
3060.00,98.98
3059.00,98.98
3058.00,98.97
3057.00,98.96
3056.00,98.96
3055.00,98.95
3054.00,98.95
3053.00,98.94
3052.00,98.94
3051.00,98.93
3050.00,98.92
3049.00,98.91
3048.00,98.91
3047.00,98.90
3046.00,98.89
3045.00,98.88
3044.00,98.88
3043.00,98.87
3042.00,98.86
3041.00,98.85
3040.00,98.84
3039.00,98.83
3038.00,98.81
3037.00,98.80
3036.00,98.78
3035.00,98.76
3034.00,98.74
3033.00,98.72
3032.00,98.70
3031.00,98.67
3030.00,98.65
3029.00,98.61
3028.00,98.58
3027.00,98.54
3026.00,98.49
3025.00,98.43
3024.00,98.37
3023.00,98.30
3022.00,98.22
3021.00,98.13
3020.00,98.02
3019.00,97.89
3018.00,97.74
3017.00,97.57
3016.00,97.38
3015.00,97.18
3014.00,96.97
3013.00,96.77
3012.00,96.60
3011.00,96.45
3010.00,96.34
3009.00,96.24
3008.00,96.15
3007.00,96.04
3006.00,95.89
3005.00,95.71
3004.00,95.46
3003.00,95.18
3002.00,94.87
3001.00,94.57
3000.00,94.30
2999.00,94.10
2998.00,93.97
2997.00,93.90
2996.00,93.88
2995.00,93.86
2994.00,93.84
2993.00,93.81
2992.00,93.76
2991.00,93.70
2990.00,93.62
2989.00,93.54
2988.00,93.45
2987.00,93.34
2986.00,93.22
2985.00,93.06
2984.00,92.87
2983.00,92.64
2982.00,92.36
2981.00,92.06
2980.00,91.75
2979.00,91.46
2978.00,91.23
2977.00,91.10
2976.00,91.06
2975.00,91.10
2974.00,91.19
2973.00,91.28
2972.00,91.36
2971.00,91.41
2970.00,91.47
2969.00,91.54
2968.00,91.63
2967.00,91.75
2966.00,91.88
2965.00,92.01
2964.00,92.12
2963.00,92.22
2962.00,92.30
2961.00,92.38
2960.00,92.46
2959.00,92.54
2958.00,92.63
2957.00,92.73
2956.00,92.82
2955.00,92.90
2954.00,92.97
2953.00,93.02
2952.00,93.05
2951.00,93.06
2950.00,93.03
2949.00,92.97
2948.00,92.88
2947.00,92.77
2946.00,92.62
2945.00,92.44
2944.00,92.23
2943.00,91.98
2942.00,91.69
2941.00,91.37
2940.00,91.02
2939.00,90.66
2938.00,90.32
2937.00,90.05
2936.00,89.87
2935.00,89.81
2934.00,89.89
2933.00,90.08
2932.00,90.35
2931.00,90.69
2930.00,91.08
2929.00,91.52
2928.00,92.00
2927.00,92.49
2926.00,92.95
2925.00,93.37
2924.00,93.72
2923.00,94.02
2922.00,94.27
2921.00,94.49
2920.00,94.68
2919.00,94.85
2918.00,95.01
2917.00,95.15
2916.00,95.28
2915.00,95.39
2914.00,95.48
2913.00,95.57
2912.00,95.65
2911.00,95.72
2910.00,95.78
2909.00,95.84
2908.00,95.89
2907.00,95.94
2906.00,95.99
2905.00,96.03
2904.00,96.07
2903.00,96.11
2902.00,96.15
2901.00,96.18
2900.00,96.21
2899.00,96.24
2898.00,96.28
2897.00,96.32
2896.00,96.36
2895.00,96.41
2894.00,96.46
2893.00,96.51
2892.00,96.55
2891.00,96.59
2890.00,96.62
2889.00,96.63
2888.00,96.63
2887.00,96.61
2886.00,96.57
2885.00,96.51
2884.00,96.42
2883.00,96.32
2882.00,96.20
2881.00,96.07
2880.00,95.92
2879.00,95.78
2878.00,95.64
2877.00,95.53
2876.00,95.44
2875.00,95.39
2874.00,95.39
2873.00,95.43
2872.00,95.51
2871.00,95.63
2870.00,95.77
2869.00,95.92
2868.00,96.07
2867.00,96.22
2866.00,96.37
2865.00,96.51
2864.00,96.65
2863.00,96.79
2862.00,96.92
2861.00,97.04
2860.00,97.15
2859.00,97.26
2858.00,97.35
2857.00,97.44
2856.00,97.51
2855.00,97.58
2854.00,97.65
2853.00,97.71
2852.00,97.76
2851.00,97.82
2850.00,97.89
2849.00,97.95
2848.00,98.02
2847.00,98.09
2846.00,98.15
2845.00,98.20
2844.00,98.25
2843.00,98.29
2842.00,98.33
2841.00,98.36
2840.00,98.40
2839.00,98.43
2838.00,98.45
2837.00,98.47
2836.00,98.48
2835.00,98.50
2834.00,98.51
2833.00,98.52
2832.00,98.54
2831.00,98.55
2830.00,98.56
2829.00,98.57
2828.00,98.59
2827.00,98.60
2826.00,98.62
2825.00,98.63
2824.00,98.64
2823.00,98.65
2822.00,98.67
2821.00,98.68
2820.00,98.69
2819.00,98.71
2818.00,98.72
2817.00,98.73
2816.00,98.74
2815.00,98.75
2814.00,98.76
2813.00,98.77
2812.00,98.78
2811.00,98.79
2810.00,98.80
2809.00,98.81
2808.00,98.83
2807.00,98.84
2806.00,98.85
2805.00,98.86
2804.00,98.87
2803.00,98.88
2802.00,98.89
2801.00,98.90
2800.00,98.90
2799.00,98.91
2798.00,98.91
2797.00,98.91
2796.00,98.91
2795.00,98.91
2794.00,98.91
2793.00,98.91
2792.00,98.92
2791.00,98.92
2790.00,98.93
2789.00,98.94
2788.00,98.95
2787.00,98.96
2786.00,98.97
2785.00,98.97
2784.00,98.98
2783.00,98.99
2782.00,98.99
2781.00,99.00
2780.00,99.00
2779.00,99.01
2778.00,99.01
2777.00,99.02
2776.00,99.02
2775.00,99.02
2774.00,99.02
2773.00,99.03
2772.00,99.03
2771.00,99.03
2770.00,99.03
2769.00,99.03
2768.00,99.03
2767.00,99.03
2766.00,99.03
2765.00,99.03
2764.00,99.03
2763.00,99.03
2762.00,99.03
2761.00,99.02
2760.00,99.01
2759.00,99.01
2758.00,99.01
2757.00,99.00
2756.00,98.99
2755.00,98.98
2754.00,98.97
2753.00,98.96
2752.00,98.96
2751.00,98.96
2750.00,98.96
2749.00,98.96
2748.00,98.96
2747.00,98.96
2746.00,98.96
2745.00,98.95
2744.00,98.95
2743.00,98.95
2742.00,98.95
2741.00,98.95
2740.00,98.95
2739.00,98.96
2738.00,98.96
2737.00,98.96
2736.00,98.96
2735.00,98.96
2734.00,98.96
2733.00,98.96
2732.00,98.96
2731.00,98.97
2730.00,98.97
2729.00,98.97
2728.00,98.97
2727.00,98.97
2726.00,98.97
2725.00,98.97
2724.00,98.97
2723.00,98.97
2722.00,98.98
2721.00,98.98
2720.00,98.98
2719.00,98.98
2718.00,98.99
2717.00,98.99
2716.00,99.00
2715.00,99.00
2714.00,99.00
2713.00,99.00
2712.00,99.01
2711.00,99.01
2710.00,99.02
2709.00,99.02
2708.00,99.02
2707.00,99.02
2706.00,99.02
2705.00,99.02
2704.00,99.02
2703.00,99.02
2702.00,99.02
2701.00,99.01
2700.00,99.01
2699.00,99.01
2698.00,99.02
2697.00,99.02
2696.00,99.02
2695.00,99.02
2694.00,99.02
2693.00,99.02
2692.00,99.02
2691.00,99.03
2690.00,99.03
2689.00,99.03
2688.00,99.02
2687.00,99.02
2686.00,99.03
2685.00,99.03
2684.00,99.03
2683.00,99.03
2682.00,99.04
2681.00,99.04
2680.00,99.05
2679.00,99.05
2678.00,99.05
2677.00,99.05
2676.00,99.05
2675.00,99.06
2674.00,99.06
2673.00,99.06
2672.00,99.06
2671.00,99.05
2670.00,99.05
2669.00,99.04
2668.00,99.04
2667.00,99.03
2666.00,99.02
2665.00,99.01
2664.00,99.00
2663.00,98.99
2662.00,98.97
2661.00,98.96
2660.00,98.95
2659.00,98.94
2658.00,98.93
2657.00,98.93
2656.00,98.92
2655.00,98.92
2654.00,98.92
2653.00,98.92
2652.00,98.92
2651.00,98.92
2650.00,98.92
2649.00,98.93
2648.00,98.93
2647.00,98.93
2646.00,98.93
2645.00,98.93
2644.00,98.93
2643.00,98.93
2642.00,98.93
2641.00,98.93
2640.00,98.93
2639.00,98.93
2638.00,98.93
2637.00,98.93
2636.00,98.92
2635.00,98.92
2634.00,98.93
2633.00,98.93
2632.00,98.94
2631.00,98.94
2630.00,98.94
2629.00,98.94
2628.00,98.95
2627.00,98.95
2626.00,98.95
2625.00,98.95
2624.00,98.96
2623.00,98.96
2622.00,98.97
2621.00,98.97
2620.00,98.97
2619.00,98.98
2618.00,98.98
2617.00,98.99
2616.00,98.99
2615.00,99.00
2614.00,99.00
2613.00,99.00
2612.00,99.00
2611.00,99.00
2610.00,99.00
2609.00,99.01
2608.00,99.02
2607.00,99.02
2606.00,99.02
2605.00,99.03
2604.00,99.03
2603.00,99.02
2602.00,99.02
2601.00,99.02
2600.00,99.03
2599.00,99.03
2598.00,99.04
2597.00,99.04
2596.00,99.04
2595.00,99.04
2594.00,99.04
2593.00,99.05
2592.00,99.05
2591.00,99.05
2590.00,99.05
2589.00,99.05
2588.00,99.04
2587.00,99.04
2586.00,99.04
2585.00,99.04
2584.00,99.04
2583.00,99.04
2582.00,99.04
2581.00,99.04
2580.00,99.04
2579.00,99.04
2578.00,99.04
2577.00,99.04
2576.00,99.04
2575.00,99.03
2574.00,99.03
2573.00,99.03
2572.00,99.02
2571.00,99.02
2570.00,99.02
2569.00,99.02
2568.00,99.01
2567.00,99.01
2566.00,99.00
2565.00,98.99
2564.00,98.99
2563.00,98.98
2562.00,98.98
2561.00,98.98
2560.00,98.98
2559.00,98.98
2558.00,98.97
2557.00,98.97
2556.00,98.97
2555.00,98.98
2554.00,98.98
2553.00,98.98
2552.00,98.99
2551.00,98.99
2550.00,99.00
2549.00,99.01
2548.00,99.02
2547.00,99.02
2546.00,99.02
2545.00,99.02
2544.00,99.02
2543.00,99.02
2542.00,99.02
2541.00,99.02
2540.00,99.01
2539.00,99.01
2538.00,99.01
2537.00,99.00
2536.00,99.00
2535.00,99.00
2534.00,99.00
2533.00,99.00
2532.00,99.00
2531.00,99.00
2530.00,98.99
2529.00,98.99
2528.00,98.99
2527.00,99.00
2526.00,99.00
2525.00,99.00
2524.00,99.00
2523.00,99.00
2522.00,99.00
2521.00,99.01
2520.00,99.01
2519.00,99.01
2518.00,99.01
2517.00,99.01
2516.00,99.01
2515.00,99.01
2514.00,99.01
2513.00,99.01
2512.00,99.02
2511.00,99.02
2510.00,99.02
2509.00,99.02
2508.00,99.02
2507.00,99.02
2506.00,99.03
2505.00,99.03
2504.00,99.03
2503.00,99.03
2502.00,99.04
2501.00,99.04
2500.00,99.04
2499.00,99.03
2498.00,99.03
