Created as New Dataset,PAN 230kDa GF
cm-1,%T
3657.00,98.81
3656.00,98.80
3655.00,98.78
3654.00,98.77
3653.00,98.76
3652.00,98.74
3651.00,98.73
3650.00,98.71
3649.00,98.69
3648.00,98.68
3647.00,98.66
3646.00,98.66
3645.00,98.65
3644.00,98.65
3643.00,98.65
3642.00,98.64
3641.00,98.64
3640.00,98.63
3639.00,98.62
3638.00,98.62
3637.00,98.61
3636.00,98.61
3635.00,98.61
3634.00,98.61
3633.00,98.61
3632.00,98.61
3631.00,98.61
3630.00,98.60
3629.00,98.60
3628.00,98.60
3627.00,98.60
3626.00,98.60
3625.00,98.60
3624.00,98.60
3623.00,98.61
3622.00,98.61
3621.00,98.62
3620.00,98.62
3619.00,98.62
3618.00,98.62
3617.00,98.62
3616.00,98.63
3615.00,98.63
3614.00,98.63
3613.00,98.64
3612.00,98.64
3611.00,98.65
3610.00,98.66
3609.00,98.67
3608.00,98.67
3607.00,98.68
3606.00,98.68
3605.00,98.68
3604.00,98.69
3603.00,98.69
3602.00,98.70
3601.00,98.70
3600.00,98.70
3599.00,98.71
3598.00,98.72
3597.00,98.73
3596.00,98.73
3595.00,98.74
3594.00,98.75
3593.00,98.75
3592.00,98.75
3591.00,98.75
3590.00,98.75
3589.00,98.75
3588.00,98.76
3587.00,98.77
3586.00,98.77
3585.00,98.77
3584.00,98.77
3583.00,98.77
3582.00,98.77
3581.00,98.78
3580.00,98.78
3579.00,98.78
3578.00,98.78
3577.00,98.77
3576.00,98.77
3575.00,98.76
3574.00,98.76
3573.00,98.76
3572.00,98.76
3571.00,98.76
3570.00,98.76
3569.00,98.75
3568.00,98.75
3567.00,98.74
3566.00,98.74
3565.00,98.74
3564.00,98.74
3563.00,98.74
3562.00,98.73
3561.00,98.73
3560.00,98.73
3559.00,98.72
3558.00,98.72
3557.00,98.72
3556.00,98.72
3555.00,98.72
3554.00,98.71
3553.00,98.71
3552.00,98.71
3551.00,98.71
3550.00,98.71
