Created as New Dataset,Acrylic Red
cm-1,%T
3733.00,98.81
3732.00,98.80
3731.00,98.80
3730.00,98.80
3729.00,98.81
3728.00,98.81
3727.00,98.81
3726.00,98.81
3725.00,98.81
3724.00,98.81
3723.00,98.81
3722.00,98.81
3721.00,98.82
3720.00,98.82
3719.00,98.82
3718.00,98.81
3717.00,98.81
3716.00,98.81
3715.00,98.81
3714.00,98.81
3713.00,98.81
3712.00,98.82
3711.00,98.82
3710.00,98.82
3709.00,98.81
3708.00,98.81
3707.00,98.81
3706.00,98.82
3705.00,98.82
3704.00,98.82
3703.00,98.82
3702.00,98.82
3701.00,98.82
3700.00,98.82
3699.00,98.82
3698.00,98.82
3697.00,98.81
3696.00,98.81
3695.00,98.80
3694.00,98.80
3693.00,98.79
3692.00,98.79
3691.00,98.79
3690.00,98.78
3689.00,98.78
3688.00,98.78
3687.00,98.78
3686.00,98.78
3685.00,98.78
3684.00,98.78
3683.00,98.78
3682.00,98.78
3681.00,98.77
3680.00,98.77
3679.00,98.77
3678.00,98.76
3677.00,98.75
3676.00,98.74
3675.00,98.74
3674.00,98.74
3673.00,98.74
3672.00,98.74
3671.00,98.73
3670.00,98.73
3669.00,98.73
3668.00,98.73
3667.00,98.73
3666.00,98.73
3665.00,98.73
3664.00,98.73
3663.00,98.73
3662.00,98.72
3661.00,98.72
3660.00,98.71
3659.00,98.71
3658.00,98.70
3657.00,98.69
3656.00,98.69
3655.00,98.68
3654.00,98.68
3653.00,98.67
3652.00,98.66
3651.00,98.66
3650.00,98.65
3649.00,98.65
3648.00,98.65
3647.00,98.65
3646.00,98.65
3645.00,98.65
3644.00,98.66
3643.00,98.66
3642.00,98.66
3641.00,98.65
3640.00,98.65
3639.00,98.65
3638.00,98.65
3637.00,98.64
3636.00,98.64
3635.00,98.63
3634.00,98.63
3633.00,98.63
3632.00,98.63
3631.00,98.62
3630.00,98.62
3629.00,98.62
3628.00,98.63
3627.00,98.63
3626.00,98.63
3625.00,98.63
3624.00,98.63
3623.00,98.63
3622.00,98.63
3621.00,98.63
3620.00,98.63
3619.00,98.63
3618.00,98.63
3617.00,98.63
3616.00,98.62
3615.00,98.62
3614.00,98.62
3613.00,98.63
3612.00,98.63
3611.00,98.64
3610.00,98.65
3609.00,98.65
3608.00,98.65
3607.00,98.66
3606.00,98.66
3605.00,98.67
3604.00,98.68
3603.00,98.68
3602.00,98.68
3601.00,98.68
3600.00,98.68
3599.00,98.68
3598.00,98.69
3597.00,98.69
3596.00,98.69
3595.00,98.70
3594.00,98.70
3593.00,98.70
3592.00,98.70
3591.00,98.70
3590.00,98.71
3589.00,98.71
3588.00,98.71
3587.00,98.72
3586.00,98.72
3585.00,98.72
3584.00,98.72
3583.00,98.72
3582.00,98.73
3581.00,98.73
3580.00,98.73
3579.00,98.73
3578.00,98.73
3577.00,98.73
3576.00,98.73
3575.00,98.72
3574.00,98.72
3573.00,98.72
3572.00,98.73
3571.00,98.72
3570.00,98.72
3569.00,98.71
3568.00,98.70
3567.00,98.70
3566.00,98.70
3565.00,98.69
3564.00,98.69
3563.00,98.69
3562.00,98.69
3561.00,98.69
3560.00,98.69
3559.00,98.70
3558.00,98.70
3557.00,98.69
3556.00,98.69
3555.00,98.69
3554.00,98.69
3553.00,98.69
3552.00,98.68
3551.00,98.68
3550.00,98.67
3549.00,98.67
3548.00,98.67
3547.00,98.67
3546.00,98.68
3545.00,98.68
3544.00,98.68
3543.00,98.68
3542.00,98.68
3541.00,98.69
3540.00,98.69
3539.00,98.69
3538.00,98.70
3537.00,98.71
3536.00,98.71
3535.00,98.70
3534.00,98.70
