Created as New Dataset,PE powder (low density) GF 300um
cm-1,%T
3843.00,99.76
3842.00,99.76
3841.00,99.75
3840.00,99.75
3839.00,99.74
3838.00,99.74
3837.00,99.74
3836.00,99.74
3835.00,99.74
3834.00,99.74
3833.00,99.74
3832.00,99.75
3831.00,99.75
3830.00,99.75
3829.00,99.76
3828.00,99.76
3827.00,99.76
3826.00,99.75
3825.00,99.75
3824.00,99.74
3823.00,99.73
3822.00,99.73
3821.00,99.73
3820.00,99.73
3819.00,99.73
3818.00,99.73
3817.00,99.74
3816.00,99.75
3815.00,99.75
3814.00,99.75
3813.00,99.75
3812.00,99.75
3811.00,99.75
3810.00,99.75
3809.00,99.76
3808.00,99.76
3807.00,99.75
3806.00,99.75
3805.00,99.74
3804.00,99.74
3803.00,99.75
3802.00,99.75
3801.00,99.76
3800.00,99.75
3799.00,99.75
3798.00,99.75
3797.00,99.75
3796.00,99.76
3795.00,99.76
3794.00,99.76
3793.00,99.76
3792.00,99.77
3791.00,99.77
3790.00,99.76
3789.00,99.76
3788.00,99.76
3787.00,99.76
3786.00,99.76
3785.00,99.76
3784.00,99.76
3783.00,99.76
3782.00,99.76
3781.00,99.76
3780.00,99.76
3779.00,99.76
3778.00,99.76
3777.00,99.76
3776.00,99.76
3775.00,99.76
3774.00,99.76
3773.00,99.76
3772.00,99.76
3771.00,99.76
3770.00,99.76
3769.00,99.75
3768.00,99.75
3767.00,99.75
3766.00,99.75
3765.00,99.75
3764.00,99.75
3763.00,99.75
3762.00,99.75
3761.00,99.75
3760.00,99.75
3759.00,99.75
3758.00,99.75
3757.00,99.74
3756.00,99.74
3755.00,99.73
3754.00,99.73
3753.00,99.73
3752.00,99.73
3751.00,99.73
3750.00,99.73
3749.00,99.72
3748.00,99.72
3747.00,99.72
3746.00,99.72
3745.00,99.73
3744.00,99.74
3743.00,99.73
3742.00,99.73
3741.00,99.73
3740.00,99.73
3739.00,99.74
3738.00,99.74
3737.00,99.74
3736.00,99.75
3735.00,99.75
3734.00,99.76
3733.00,99.76
3732.00,99.76
3731.00,99.76
3730.00,99.76
3729.00,99.76
3728.00,99.76
3727.00,99.75
3726.00,99.75
3725.00,99.75
3724.00,99.75
3723.00,99.75
3722.00,99.75
3721.00,99.75
3720.00,99.75
3719.00,99.75
3718.00,99.75
3717.00,99.75
3716.00,99.75
3715.00,99.75
3714.00,99.75
3713.00,99.74
3712.00,99.74
3711.00,99.74
3710.00,99.74
3709.00,99.75
3708.00,99.75
3707.00,99.76
3706.00,99.76
3705.00,99.76
3704.00,99.75
3703.00,99.75
3702.00,99.75
3701.00,99.76
3700.00,99.76
3699.00,99.77
3698.00,99.77
3697.00,99.77
3696.00,99.77
3695.00,99.77
3694.00,99.77
3693.00,99.76
3692.00,99.75
3691.00,99.75
3690.00,99.75
3689.00,99.74
3688.00,99.74
3687.00,99.75
3686.00,99.75
3685.00,99.75
3684.00,99.76
3683.00,99.76
3682.00,99.75
3681.00,99.74
3680.00,99.74
3679.00,99.73
3678.00,99.72
3677.00,99.72
3676.00,99.72
3675.00,99.73
3674.00,99.73
3673.00,99.73
3672.00,99.73
3671.00,99.73
3670.00,99.73
3669.00,99.73
3668.00,99.73
3667.00,99.74
3666.00,99.74
3665.00,99.74
3664.00,99.74
3663.00,99.74
3662.00,99.74
3661.00,99.74
3660.00,99.73
3659.00,99.73
3658.00,99.73
3657.00,99.73
3656.00,99.73
3655.00,99.73
3654.00,99.72
3653.00,99.72
3652.00,99.71
3651.00,99.71
3650.00,99.71
3649.00,99.70
3648.00,99.70
3647.00,99.70
3646.00,99.71
3645.00,99.71
3644.00,99.71
3643.00,99.72
3642.00,99.73
3641.00,99.73
3640.00,99.74
3639.00,99.74
3638.00,99.75
3637.00,99.74
3636.00,99.74
3635.00,99.74
3634.00,99.74
3633.00,99.73
3632.00,99.73
3631.00,99.73
3630.00,99.73
3629.00,99.74
3628.00,99.74
3627.00,99.74
3626.00,99.74
3625.00,99.74
3624.00,99.73
3623.00,99.73
3622.00,99.73
3621.00,99.72
3620.00,99.72
3619.00,99.72
3618.00,99.71
3617.00,99.71
3616.00,99.70
3615.00,99.70
3614.00,99.69
3613.00,99.69
3612.00,99.69
3611.00,99.68
3610.00,99.68
3609.00,99.67
3608.00,99.66
3607.00,99.66
3606.00,99.66
3605.00,99.67
3604.00,99.67
3603.00,99.68
3602.00,99.69
3601.00,99.70
3600.00,99.70
3599.00,99.71
3598.00,99.72
3597.00,99.72
3596.00,99.73
3595.00,99.73
3594.00,99.74
3593.00,99.74
3592.00,99.75
3591.00,99.75
3590.00,99.75
3589.00,99.76
3588.00,99.76
3587.00,99.77
3586.00,99.77
3585.00,99.78
3584.00,99.78
3583.00,99.79
3582.00,99.80
3581.00,99.80
3580.00,99.80
3579.00,99.80
3578.00,99.80
3577.00,99.80
3576.00,99.80
3575.00,99.79
3574.00,99.79
3573.00,99.79
3572.00,99.79
3571.00,99.79
3570.00,99.79
3569.00,99.79
3568.00,99.79
3567.00,99.79
3566.00,99.79
3565.00,99.80
3564.00,99.80
3563.00,99.80
3562.00,99.80
3561.00,99.80
3560.00,99.80
3559.00,99.80
3558.00,99.80
3557.00,99.80
3556.00,99.80
3555.00,99.80
3554.00,99.80
3553.00,99.80
3552.00,99.79
3551.00,99.79
3550.00,99.79
3549.00,99.79
3548.00,99.79
3547.00,99.79
3546.00,99.79
3545.00,99.79
3544.00,99.79
3543.00,99.79
3542.00,99.80
3541.00,99.80
3540.00,99.80
3539.00,99.80
3538.00,99.80
3537.00,99.80
3536.00,99.80
3535.00,99.80
3534.00,99.80
3533.00,99.80
3532.00,99.79
3531.00,99.79
3530.00,99.79
3529.00,99.80
3528.00,99.80
3527.00,99.79
3526.00,99.79
3525.00,99.79
3524.00,99.79
3523.00,99.78
3522.00,99.79
3521.00,99.79
3520.00,99.79
3519.00,99.79
3518.00,99.79
3517.00,99.79
