Created as New Dataset,PP granule 3mm GF
cm-1,%T
3366.00,99.60
3365.00,99.60
3364.00,99.60
3363.00,99.60
3362.00,99.60
3361.00,99.60
3360.00,99.60
3359.00,99.60
3358.00,99.60
3357.00,99.60
3356.00,99.60
3355.00,99.59
3354.00,99.59
3353.00,99.59
3352.00,99.59
3351.00,99.59
3350.00,99.59
3349.00,99.59
3348.00,99.59
3347.00,99.59
3346.00,99.59
3345.00,99.59
3344.00,99.60
3343.00,99.60
3342.00,99.59
3341.00,99.59
3340.00,99.59
3339.00,99.59
3338.00,99.60
3337.00,99.60
3336.00,99.60
3335.00,99.61
3334.00,99.61
3333.00,99.61
3332.00,99.61
3331.00,99.61
3330.00,99.61
3329.00,99.61
3328.00,99.61
3327.00,99.61
3326.00,99.61
3325.00,99.61
3324.00,99.61
3323.00,99.62
3322.00,99.62
3321.00,99.62
3320.00,99.62
3319.00,99.62
3318.00,99.62
3317.00,99.62
3316.00,99.62
3315.00,99.62
3314.00,99.62
3313.00,99.62
3312.00,99.62
3311.00,99.61
3310.00,99.61
3309.00,99.61
3308.00,99.61
3307.00,99.61
3306.00,99.61
3305.00,99.61
3304.00,99.60
3303.00,99.60
3302.00,99.60
3301.00,99.60
3300.00,99.60
3299.00,99.60
3298.00,99.60
3297.00,99.59
3296.00,99.59
3295.00,99.59
3294.00,99.60
3293.00,99.60
3292.00,99.60
3291.00,99.61
3290.00,99.61
3289.00,99.61
3288.00,99.60
3287.00,99.60
3286.00,99.60
3285.00,99.60
3284.00,99.60
3283.00,99.61
3282.00,99.61
3281.00,99.61
3280.00,99.61
3279.00,99.60
3278.00,99.60
3277.00,99.60
3276.00,99.60
3275.00,99.60
3274.00,99.60
3273.00,99.60
3272.00,99.60
3271.00,99.60
3270.00,99.60
3269.00,99.60
3268.00,99.60
3267.00,99.60
3266.00,99.60
3265.00,99.60
3264.00,99.60
3263.00,99.60
3262.00,99.60
3261.00,99.60
3260.00,99.60
3259.00,99.60
3258.00,99.60
3257.00,99.60
3256.00,99.60
3255.00,99.61
3254.00,99.61
3253.00,99.61
3252.00,99.61
3251.00,99.61
3250.00,99.61
3249.00,99.61
3248.00,99.61
3247.00,99.62
3246.00,99.61
3245.00,99.61
3244.00,99.60
3243.00,99.60
3242.00,99.60
3241.00,99.60
3240.00,99.60
3239.00,99.59
3238.00,99.59
3237.00,99.59
3236.00,99.59
3235.00,99.59
3234.00,99.58
3233.00,99.58
3232.00,99.57
3231.00,99.57
3230.00,99.56
3229.00,99.56
3228.00,99.56
3227.00,99.56
3226.00,99.56
3225.00,99.55
3224.00,99.55
3223.00,99.55
3222.00,99.55
3221.00,99.55
3220.00,99.54
3219.00,99.54
3218.00,99.53
3217.00,99.52
3216.00,99.51
3215.00,99.51
3214.00,99.51
3213.00,99.51
3212.00,99.50
3211.00,99.50
3210.00,99.49
3209.00,99.49
3208.00,99.49
3207.00,99.49
3206.00,99.49
3205.00,99.49
3204.00,99.48
3203.00,99.48
3202.00,99.48
3201.00,99.47
3200.00,99.47
3199.00,99.47
3198.00,99.47
3197.00,99.47
3196.00,99.47
3195.00,99.47
3194.00,99.47
3193.00,99.47
3192.00,99.47
3191.00,99.47
3190.00,99.47
3189.00,99.47
3188.00,99.47
3187.00,99.47
3186.00,99.47
3185.00,99.47
3184.00,99.47
3183.00,99.47
3182.00,99.47
3181.00,99.47
3180.00,99.48
3179.00,99.48
3178.00,99.48
3177.00,99.48
3176.00,99.49
3175.00,99.49
3174.00,99.49
3173.00,99.49
3172.00,99.49
3171.00,99.49
3170.00,99.49
3169.00,99.49
3168.00,99.48
3167.00,99.48
3166.00,99.48
3165.00,99.48
3164.00,99.49
3163.00,99.49
3162.00,99.49
3161.00,99.49
3160.00,99.49
3159.00,99.48
3158.00,99.48
3157.00,99.48
3156.00,99.48
3155.00,99.48
3154.00,99.49
3153.00,99.49
3152.00,99.48
3151.00,99.48
3150.00,99.48
3149.00,99.47
3148.00,99.47
3147.00,99.46
3146.00,99.46
3145.00,99.46
3144.00,99.47
3143.00,99.47
3142.00,99.47
3141.00,99.47
3140.00,99.47
3139.00,99.48
3138.00,99.48
3137.00,99.48
3136.00,99.49
3135.00,99.49
3134.00,99.49
3133.00,99.49
3132.00,99.49
3131.00,99.49
3130.00,99.49
3129.00,99.50
3128.00,99.50
3127.00,99.50
3126.00,99.50
3125.00,99.51
3124.00,99.51
3123.00,99.51
3122.00,99.51
3121.00,99.51
3120.00,99.51
3119.00,99.51
