Created as New Dataset,EVA (ethylene vinyl acetate) GF
cm-1,%T
3536.00,97.73
3535.00,97.73
3534.00,97.73
3533.00,97.73
3532.00,97.73
3531.00,97.73
3530.00,97.74
3529.00,97.74
3528.00,97.74
3527.00,97.73
3526.00,97.73
3525.00,97.73
3524.00,97.73
3523.00,97.73
3522.00,97.73
3521.00,97.73
3520.00,97.72
3519.00,97.72
3518.00,97.72
3517.00,97.72
3516.00,97.72
3515.00,97.72
3514.00,97.73
3513.00,97.73
3512.00,97.73
3511.00,97.73
3510.00,97.73
3509.00,97.73
3508.00,97.73
3507.00,97.73
3506.00,97.73
3505.00,97.72
3504.00,97.72
3503.00,97.71
3502.00,97.71
3501.00,97.71
3500.00,97.70
3499.00,97.70
3498.00,97.70
3497.00,97.69
3496.00,97.69
3495.00,97.69
3494.00,97.69
3493.00,97.69
3492.00,97.69
3491.00,97.69
3490.00,97.69
3489.00,97.69
3488.00,97.68
3487.00,97.68
3486.00,97.68
3485.00,97.68
3484.00,97.68
3483.00,97.69
3482.00,97.69
3481.00,97.69
3480.00,97.69
3479.00,97.69
3478.00,97.69
3477.00,97.69
3476.00,97.69
3475.00,97.69
3474.00,97.69
3473.00,97.70
3472.00,97.71
3471.00,97.72
3470.00,97.73
3469.00,97.73
3468.00,97.73
3467.00,97.73
3466.00,97.73
3465.00,97.73
3464.00,97.73
3463.00,97.74
3462.00,97.74
3461.00,97.74
3460.00,97.74
3459.00,97.74
3458.00,97.74
3457.00,97.74
3456.00,97.74
3455.00,97.74
3454.00,97.75
3453.00,97.75
3452.00,97.76
3451.00,97.76
3450.00,97.77
3449.00,97.77
3448.00,97.77
3447.00,97.78
3446.00,97.78
3445.00,97.78
3444.00,97.78
3443.00,97.78
3442.00,97.78
3441.00,97.79
3440.00,97.79
3439.00,97.80
3438.00,97.80
3437.00,97.80
3436.00,97.80
3435.00,97.80
3434.00,97.81
3433.00,97.81
3432.00,97.81
3431.00,97.82
3430.00,97.82
3429.00,97.82
3428.00,97.82
3427.00,97.82
3426.00,97.82
3425.00,97.83
3424.00,97.83
3423.00,97.83
3422.00,97.83
3421.00,97.84
3420.00,97.84
3419.00,97.84
3418.00,97.85
3417.00,97.85
3416.00,97.85
3415.00,97.84
3414.00,97.84
3413.00,97.84
3412.00,97.84
3411.00,97.85
3410.00,97.85
3409.00,97.85
3408.00,97.85
3407.00,97.85
3406.00,97.85
3405.00,97.85
3404.00,97.85
3403.00,97.85
3402.00,97.86
3401.00,97.86
3400.00,97.86
3399.00,97.87
3398.00,97.87
3397.00,97.87
3396.00,97.87
3395.00,97.87
3394.00,97.87
3393.00,97.87
3392.00,97.87
3391.00,97.87
3390.00,97.87
3389.00,97.87
3388.00,97.87
3387.00,97.86
3386.00,97.86
3385.00,97.86
3384.00,97.86
3383.00,97.87
3382.00,97.87
3381.00,97.87
3380.00,97.87
3379.00,97.87
3378.00,97.87
3377.00,97.87
3376.00,97.87
3375.00,97.87
3374.00,97.87
3373.00,97.87
3372.00,97.87
3371.00,97.87
3370.00,97.87
3369.00,97.87
3368.00,97.87
3367.00,97.87
3366.00,97.88
3365.00,97.88
3364.00,97.88
3363.00,97.88
3362.00,97.88
3361.00,97.88
3360.00,97.88
3359.00,97.88
3358.00,97.88
3357.00,97.88
3356.00,97.88
3355.00,97.88
3354.00,97.88
3353.00,97.88
3352.00,97.88
3351.00,97.88
3350.00,97.88
3349.00,97.88
3348.00,97.88
3347.00,97.88
3346.00,97.88
3345.00,97.89
3344.00,97.89
3343.00,97.89
3342.00,97.89
3341.00,97.89
3340.00,97.89
3339.00,97.88
3338.00,97.88
3337.00,97.89
3336.00,97.89
3335.00,97.89
3334.00,97.89
3333.00,97.89
3332.00,97.89
3331.00,97.89
3330.00,97.89
3329.00,97.89
3328.00,97.89
3327.00,97.89
3326.00,97.90
3325.00,97.89
3324.00,97.89
3323.00,97.89
3322.00,97.89
3321.00,97.89
3320.00,97.89
3319.00,97.89
3318.00,97.89
3317.00,97.89
3316.00,97.89
3315.00,97.89
3314.00,97.89
3313.00,97.89
3312.00,97.89
3311.00,97.89
3310.00,97.89
3309.00,97.89
3308.00,97.90
3307.00,97.90
3306.00,97.90
3305.00,97.90
3304.00,97.90
3303.00,97.90
3302.00,97.90
3301.00,97.90
3300.00,97.90
3299.00,97.90
