Created as New Dataset,PS Granule GF
cm-1,%T
3458.00,99.86
3457.00,99.86
3456.00,99.86
3455.00,99.87
3454.00,99.87
3453.00,99.87
3452.00,99.87
3451.00,99.87
3450.00,99.87
3449.00,99.87
3448.00,99.87
3447.00,99.87
3446.00,99.87
3445.00,99.87
3444.00,99.87
3443.00,99.87
3442.00,99.87
3441.00,99.88
3440.00,99.88
3439.00,99.87
3438.00,99.87
3437.00,99.87
3436.00,99.87
3435.00,99.87
3434.00,99.88
3433.00,99.88
3432.00,99.88
3431.00,99.88
3430.00,99.87
3429.00,99.87
3428.00,99.87
3427.00,99.87
3426.00,99.87
3425.00,99.87
3424.00,99.87
3423.00,99.87
3422.00,99.87
3421.00,99.87
3420.00,99.87
3419.00,99.87
3418.00,99.87
3417.00,99.87
3416.00,99.87
3415.00,99.87
3414.00,99.87
3413.00,99.87
3412.00,99.87
3411.00,99.87
3410.00,99.87
3409.00,99.87
3408.00,99.87
3407.00,99.86
3406.00,99.86
3405.00,99.87
3404.00,99.87
3403.00,99.87
3402.00,99.87
3401.00,99.87
3400.00,99.87
3399.00,99.87
3398.00,99.87
3397.00,99.87
3396.00,99.88
3395.00,99.88
3394.00,99.88
3393.00,99.88
3392.00,99.88
3391.00,99.88
3390.00,99.88
3389.00,99.87
3388.00,99.87
3387.00,99.87
3386.00,99.87
3385.00,99.87
3384.00,99.87
3383.00,99.87
3382.00,99.88
3381.00,99.88
3380.00,99.88
3379.00,99.88
3378.00,99.87
3377.00,99.87
3376.00,99.88
3375.00,99.88
3374.00,99.88
3373.00,99.88
3372.00,99.88
3371.00,99.88
3370.00,99.87
3369.00,99.87
3368.00,99.86
3367.00,99.86
3366.00,99.86
3365.00,99.87
3364.00,99.87
3363.00,99.87
3362.00,99.88
3361.00,99.87
3360.00,99.87
3359.00,99.87
3358.00,99.87
3357.00,99.88
3356.00,99.88
3355.00,99.88
3354.00,99.88
3353.00,99.88
3352.00,99.88
3351.00,99.88
3350.00,99.87
3349.00,99.87
3348.00,99.87
3347.00,99.87
3346.00,99.87
3345.00,99.87
3344.00,99.87
3343.00,99.88
3342.00,99.88
3341.00,99.88
3340.00,99.87
3339.00,99.87
3338.00,99.86
3337.00,99.86
3336.00,99.87
3335.00,99.87
3334.00,99.87
3333.00,99.87
3332.00,99.87
3331.00,99.87
3330.00,99.87
3329.00,99.87
3328.00,99.87
3327.00,99.87
3326.00,99.87
3325.00,99.87
3324.00,99.87
3323.00,99.87
3322.00,99.87
3321.00,99.87
3320.00,99.87
3319.00,99.87
3318.00,99.87
3317.00,99.87
3316.00,99.87
3315.00,99.87
3314.00,99.87
3313.00,99.87
3312.00,99.87
3311.00,99.87
3310.00,99.87
3309.00,99.87
3308.00,99.87
3307.00,99.87
3306.00,99.87
3305.00,99.87
