Created as New Dataset,PS Biaxial Film GF
cm-1,%T
3143.00,99.48
3142.00,99.49
3141.00,99.49
3140.00,99.49
3139.00,99.48
3138.00,99.48
3137.00,99.48
3136.00,99.47
3135.00,99.47
3134.00,99.47
3133.00,99.47
3132.00,99.47
3131.00,99.47
3130.00,99.46
3129.00,99.46
3128.00,99.46
3127.00,99.45
3126.00,99.45
3125.00,99.44
3124.00,99.43
3123.00,99.42
3122.00,99.41
3121.00,99.39
3120.00,99.37
3119.00,99.35
3118.00,99.33
3117.00,99.30
3116.00,99.26
3115.00,99.22
3114.00,99.16
3113.00,99.10
3112.00,99.03
3111.00,98.95
3110.00,98.86
3109.00,98.76
3108.00,98.67
3107.00,98.58
3106.00,98.51
3105.00,98.46
3104.00,98.43
3103.00,98.42
3102.00,98.44
3101.00,98.46
3100.00,98.49
3099.00,98.52
3098.00,98.54
3097.00,98.54
3096.00,98.52
3095.00,98.47
3094.00,98.40
3093.00,98.29
3092.00,98.13
3091.00,97.94
3090.00,97.70
3089.00,97.43
3088.00,97.13
3087.00,96.82
3086.00,96.53
3085.00,96.28
3084.00,96.10
3083.00,96.01
3082.00,96.03
3081.00,96.13
3080.00,96.30
3079.00,96.50
3078.00,96.70
3077.00,96.88
3076.00,97.00
3075.00,97.08
3074.00,97.11
3073.00,97.10
3072.00,97.04
3071.00,96.94
3070.00,96.80
3069.00,96.61
3068.00,96.37
3067.00,96.08
3066.00,95.77
3065.00,95.44
3064.00,95.12
3063.00,94.83
3062.00,94.60
3061.00,94.46
3060.00,94.43
3059.00,94.51
3058.00,94.69
3057.00,94.95
3056.00,95.25
3055.00,95.57
3054.00,95.87
3053.00,96.15
3052.00,96.40
3051.00,96.62
3050.00,96.80
3049.00,96.95
3048.00,97.07
3047.00,97.15
3046.00,97.19
3045.00,97.19
3044.00,97.15
3043.00,97.08
3042.00,96.97
3041.00,96.82
3040.00,96.63
3039.00,96.39
3038.00,96.11
3037.00,95.76
3036.00,95.34
3035.00,94.85
3034.00,94.28
3033.00,93.63
3032.00,92.92
3031.00,92.16
3030.00,91.41
3029.00,90.71
3028.00,90.11
3027.00,89.69
3026.00,89.50
3025.00,89.57
3024.00,89.90
3023.00,90.47
3022.00,91.21
3021.00,92.05
3020.00,92.90
3019.00,93.72
3018.00,94.46
3017.00,95.10
3016.00,95.64
3015.00,96.09
3014.00,96.45
3013.00,96.73
3012.00,96.94
3011.00,97.09
3010.00,97.18
3009.00,97.22
3008.00,97.22
3007.00,97.17
3006.00,97.09
3005.00,97.00
3004.00,96.91
3003.00,96.85
3002.00,96.83
3001.00,96.87
3000.00,96.97
2999.00,97.14
2998.00,97.34
2997.00,97.55
2996.00,97.76
2995.00,97.95
2994.00,98.10
2993.00,98.23
2992.00,98.33
2991.00,98.41
2990.00,98.47
2989.00,98.52
2988.00,98.56
2987.00,98.58
2986.00,98.60
2985.00,98.62
2984.00,98.63
2983.00,98.64
2982.00,98.63
2981.00,98.63
2980.00,98.62
2979.00,98.60
2978.00,98.59
2977.00,98.58
2976.00,98.57
2975.00,98.56
2974.00,98.55
2973.00,98.54
2972.00,98.52
2971.00,98.50
2970.00,98.47
2969.00,98.43
2968.00,98.39
2967.00,98.34
2966.00,98.29
2965.00,98.23
2964.00,98.16
2963.00,98.09
2962.00,98.01
2961.00,97.92
2960.00,97.83
2959.00,97.73
2958.00,97.62
2957.00,97.51
2956.00,97.39
2955.00,97.26
2954.00,97.12
2953.00,96.96
2952.00,96.80
2951.00,96.62
2950.00,96.42
2949.00,96.21
2948.00,95.98
2947.00,95.73
