Created as New Dataset,PS pellet 35kDa Sigma
cm-1,%T
3282.00,94.97
3281.00,94.97
3280.00,94.98
3279.00,94.98
3278.00,94.98
3277.00,94.98
3276.00,94.97
3275.00,94.97
3274.00,94.97
3273.00,94.97
3272.00,94.98
3271.00,94.98
3270.00,94.98
3269.00,94.98
3268.00,94.98
3267.00,94.97
3266.00,94.97
3265.00,94.97
3264.00,94.97
3263.00,94.97
3262.00,94.97
3261.00,94.97
3260.00,94.97
3259.00,94.97
3258.00,94.97
3257.00,94.97
3256.00,94.97
3255.00,94.97
3254.00,94.96
3253.00,94.96
3252.00,94.96
3251.00,94.96
3250.00,94.97
3249.00,94.97
3248.00,94.98
3247.00,94.97
3246.00,94.97
3245.00,94.97
3244.00,94.97
3243.00,94.97
3242.00,94.97
3241.00,94.97
3240.00,94.97
3239.00,94.97
3238.00,94.97
3237.00,94.96
3236.00,94.96
3235.00,94.96
3234.00,94.96
3233.00,94.96
3232.00,94.96
3231.00,94.96
3230.00,94.96
3229.00,94.96
3228.00,94.96
3227.00,94.96
3226.00,94.97
3225.00,94.97
3224.00,94.96
3223.00,94.96
3222.00,94.96
3221.00,94.96
3220.00,94.96
3219.00,94.96
3218.00,94.96
3217.00,94.96
3216.00,94.96
3215.00,94.96
3214.00,94.96
3213.00,94.96
3212.00,94.96
3211.00,94.96
3210.00,94.95
3209.00,94.95
3208.00,94.95
3207.00,94.94
3206.00,94.94
3205.00,94.94
3204.00,94.94
3203.00,94.94
3202.00,94.94
3201.00,94.95
3200.00,94.95
3199.00,94.95
3198.00,94.95
3197.00,94.94
3196.00,94.94
3195.00,94.95
3194.00,94.95
3193.00,94.95
3192.00,94.96
3191.00,94.96
3190.00,94.96
3189.00,94.96
3188.00,94.96
3187.00,94.96
3186.00,94.96
3185.00,94.95
3184.00,94.95
3183.00,94.96
3182.00,94.96
3181.00,94.96
3180.00,94.96
3179.00,94.96
3178.00,94.96
3177.00,94.96
3176.00,94.96
3175.00,94.96
3174.00,94.96
3173.00,94.96
3172.00,94.96
3171.00,94.96
3170.00,94.95
3169.00,94.94
3168.00,94.94
3167.00,94.94
3166.00,94.93
3165.00,94.93
3164.00,94.93
3163.00,94.92
3162.00,94.92
3161.00,94.92
