Created as New Dataset,EVOH (32mol% ethylene) Soarnol
cm-1,%T
2813.00,91.45
2812.00,91.55
2811.00,91.65
2810.00,91.74
2809.00,91.83
2808.00,91.92
2807.00,92.01
2806.00,92.10
2805.00,92.18
2804.00,92.26
2803.00,92.34
2802.00,92.42
2801.00,92.49
2800.00,92.56
2799.00,92.63
2798.00,92.69
2797.00,92.75
2796.00,92.81
2795.00,92.86
2794.00,92.92
2793.00,92.97
2792.00,93.02
2791.00,93.07
2790.00,93.12
2789.00,93.16
2788.00,93.21
2787.00,93.25
2786.00,93.28
2785.00,93.32
2784.00,93.35
2783.00,93.39
2782.00,93.42
2781.00,93.45
2780.00,93.48
2779.00,93.51
2778.00,93.54
2777.00,93.57
2776.00,93.59
2775.00,93.62
2774.00,93.64
2773.00,93.66
2772.00,93.68
2771.00,93.70
2770.00,93.72
2769.00,93.74
2768.00,93.76
2767.00,93.77
2766.00,93.79
2765.00,93.80
2764.00,93.82
2763.00,93.83
2762.00,93.84
2761.00,93.85
2760.00,93.86
2759.00,93.88
2758.00,93.89
2757.00,93.90
2756.00,93.91
2755.00,93.92
2754.00,93.93
2753.00,93.94
2752.00,93.95
2751.00,93.96
2750.00,93.97
2749.00,93.98
2748.00,93.99
2747.00,94.00
2746.00,94.01
2745.00,94.02
2744.00,94.03
2743.00,94.04
2742.00,94.05
2741.00,94.06
2740.00,94.08
2739.00,94.09
2738.00,94.10
2737.00,94.11
2736.00,94.12
2735.00,94.13
2734.00,94.15
2733.00,94.16
2732.00,94.17
2731.00,94.18
2730.00,94.20
2729.00,94.21
2728.00,94.22
2727.00,94.24
2726.00,94.25
2725.00,94.26
2724.00,94.27
2723.00,94.29
2722.00,94.30
2721.00,94.31
2720.00,94.32
2719.00,94.33
2718.00,94.34
2717.00,94.35
2716.00,94.36
2715.00,94.37
2714.00,94.38
2713.00,94.38
2712.00,94.39
2711.00,94.40
2710.00,94.41
2709.00,94.41
2708.00,94.42
2707.00,94.42
2706.00,94.43
2705.00,94.43
2704.00,94.43
2703.00,94.43
2702.00,94.44
2701.00,94.44
2700.00,94.44
2699.00,94.44
2698.00,94.45
2697.00,94.45
2696.00,94.45
2695.00,94.45
2694.00,94.46
2693.00,94.46
2692.00,94.47
2691.00,94.47
2690.00,94.47
2689.00,94.48
2688.00,94.48
2687.00,94.49
2686.00,94.49
2685.00,94.49
2684.00,94.50
2683.00,94.50
2682.00,94.51
2681.00,94.51
2680.00,94.52
2679.00,94.52
2678.00,94.53
2677.00,94.53
2676.00,94.54
2675.00,94.55
2674.00,94.56
2673.00,94.56
2672.00,94.57
2671.00,94.58
2670.00,94.59
2669.00,94.60
2668.00,94.60
2667.00,94.61
2666.00,94.62
2665.00,94.62
2664.00,94.63
2663.00,94.63
2662.00,94.62
2661.00,94.62
2660.00,94.62
2659.00,94.63
2658.00,94.63
2657.00,94.63
2656.00,94.64
2655.00,94.64
2654.00,94.65
2653.00,94.65
2652.00,94.66
2651.00,94.67
2650.00,94.67
2649.00,94.68
2648.00,94.69
2647.00,94.70
2646.00,94.71
2645.00,94.72
2644.00,94.72
2643.00,94.73
2642.00,94.74
2641.00,94.75
2640.00,94.76
2639.00,94.77
2638.00,94.79
2637.00,94.79
2636.00,94.80
2635.00,94.81
2634.00,94.82
2633.00,94.82
2632.00,94.84
2631.00,94.85
2630.00,94.86
2629.00,94.87
2628.00,94.88
2627.00,94.88
2626.00,94.89
2625.00,94.90
2624.00,94.92
2623.00,94.93
2622.00,94.94
2621.00,94.95
2620.00,94.96
2619.00,94.97
2618.00,94.98
2617.00,95.00
2616.00,95.01
2615.00,95.02
2614.00,95.03
2613.00,95.04
2612.00,95.05
2611.00,95.06
2610.00,95.07
2609.00,95.08
2608.00,95.09
2607.00,95.10
2606.00,95.11
2605.00,95.12
2604.00,95.13
