Created as New Dataset,PVOH MW 31K
cm-1,%T
3422.00,95.94
3421.00,95.92
3420.00,95.90
3419.00,95.88
3418.00,95.87
3417.00,95.85
3416.00,95.84
3415.00,95.82
3414.00,95.80
3413.00,95.78
3412.00,95.76
3411.00,95.74
3410.00,95.72
3409.00,95.70
3408.00,95.68
3407.00,95.67
3406.00,95.65
3405.00,95.64
3404.00,95.62
3403.00,95.61
3402.00,95.59
3401.00,95.58
3400.00,95.56
3399.00,95.54
3398.00,95.53
3397.00,95.51
3396.00,95.50
3395.00,95.48
3394.00,95.46
3393.00,95.44
3392.00,95.43
3391.00,95.41
3390.00,95.40
3389.00,95.39
3388.00,95.38
3387.00,95.37
3386.00,95.35
3385.00,95.33
3384.00,95.32
3383.00,95.30
3382.00,95.29
3381.00,95.28
3380.00,95.27
3379.00,95.26
3378.00,95.24
3377.00,95.23
3376.00,95.22
3375.00,95.21
3374.00,95.20
3373.00,95.18
3372.00,95.17
3371.00,95.16
3370.00,95.15
3369.00,95.13
3368.00,95.12
3367.00,95.11
3366.00,95.10
3365.00,95.10
3364.00,95.09
3363.00,95.08
3362.00,95.07
3361.00,95.06
3360.00,95.05
3359.00,95.04
3358.00,95.03
3357.00,95.02
3356.00,95.01
3355.00,95.00
3354.00,94.99
3353.00,94.99
3352.00,94.98
3351.00,94.98
3350.00,94.97
3349.00,94.96
3348.00,94.96
3347.00,94.95
3346.00,94.94
3345.00,94.94
3344.00,94.93
3343.00,94.92
3342.00,94.92
3341.00,94.91
3340.00,94.90
3339.00,94.90
3338.00,94.89
3337.00,94.88
3336.00,94.88
3335.00,94.87
3334.00,94.87
3333.00,94.87
3332.00,94.86
3331.00,94.86
3330.00,94.86
3329.00,94.85
3328.00,94.85
3327.00,94.84
3326.00,94.84
3325.00,94.83
3324.00,94.83
3323.00,94.83
3322.00,94.82
3321.00,94.82
3320.00,94.82
3319.00,94.81
3318.00,94.81
3317.00,94.81
3316.00,94.81
3315.00,94.81
3314.00,94.81
3313.00,94.81
3312.00,94.80
3311.00,94.80
3310.00,94.80
3309.00,94.80
3308.00,94.79
3307.00,94.79
3306.00,94.79
3305.00,94.80
3304.00,94.80
3303.00,94.80
3302.00,94.80
3301.00,94.80
3300.00,94.80
3299.00,94.80
3298.00,94.80
3297.00,94.80
3296.00,94.80
3295.00,94.80
3294.00,94.80
3293.00,94.80
3292.00,94.80
3291.00,94.81
3290.00,94.81
3289.00,94.81
3288.00,94.82
3287.00,94.82
3286.00,94.82
3285.00,94.82
3284.00,94.83
3283.00,94.83
3282.00,94.84
3281.00,94.84
3280.00,94.84
3279.00,94.84
3278.00,94.84
3277.00,94.85
3276.00,94.85
3275.00,94.85
3274.00,94.86
3273.00,94.86
3272.00,94.87
3271.00,94.87
3270.00,94.88
3269.00,94.89
3268.00,94.89
3267.00,94.90
3266.00,94.90
3265.00,94.90
3264.00,94.91
3263.00,94.92
3262.00,94.93
3261.00,94.93
3260.00,94.94
3259.00,94.95
3258.00,94.96
3257.00,94.97
3256.00,94.98
3255.00,94.99
3254.00,94.99
3253.00,95.00
3252.00,95.00
3251.00,95.01
3250.00,95.02
3249.00,95.03
3248.00,95.04
3247.00,95.06
3246.00,95.07
3245.00,95.08
3244.00,95.09
3243.00,95.10
3242.00,95.11
3241.00,95.12
3240.00,95.13
3239.00,95.14
3238.00,95.15
3237.00,95.16
3236.00,95.18
3235.00,95.19
3234.00,95.20
3233.00,95.21
3232.00,95.22
3231.00,95.23
3230.00,95.25
3229.00,95.26
3228.00,95.27
3227.00,95.29
3226.00,95.30
3225.00,95.31
3224.00,95.33
3223.00,95.34
3222.00,95.36
3221.00,95.37
3220.00,95.39
3219.00,95.41
3218.00,95.43
3217.00,95.44
3216.00,95.46
3215.00,95.47
3214.00,95.49
3213.00,95.50
3212.00,95.51
3211.00,95.53
3210.00,95.54
3209.00,95.56
3208.00,95.57
3207.00,95.59
3206.00,95.60
3205.00,95.62
3204.00,95.63
3203.00,95.65
3202.00,95.67
3201.00,95.68
3200.00,95.70
3199.00,95.71
3198.00,95.73
3197.00,95.75
3196.00,95.77
3195.00,95.79
