Created as New Dataset,PE (low density) granule 2mm GF
cm-1,%T
3286.00,99.74
3285.00,99.74
3284.00,99.74
3283.00,99.74
3282.00,99.74
3281.00,99.74
3280.00,99.74
3279.00,99.74
3278.00,99.74
3277.00,99.74
3276.00,99.74
3275.00,99.74
3274.00,99.75
3273.00,99.75
3272.00,99.75
3271.00,99.75
3270.00,99.74
3269.00,99.74
3268.00,99.74
3267.00,99.74
3266.00,99.75
3265.00,99.75
3264.00,99.75
3263.00,99.75
3262.00,99.75
3261.00,99.75
3260.00,99.75
3259.00,99.75
3258.00,99.75
3257.00,99.75
3256.00,99.75
3255.00,99.75
3254.00,99.75
3253.00,99.76
3252.00,99.75
3251.00,99.75
3250.00,99.75
3249.00,99.74
3248.00,99.74
3247.00,99.74
3246.00,99.74
3245.00,99.74
3244.00,99.74
3243.00,99.75
3242.00,99.75
3241.00,99.75
3240.00,99.75
3239.00,99.75
3238.00,99.75
3237.00,99.75
3236.00,99.75
3235.00,99.75
3234.00,99.75
3233.00,99.75
3232.00,99.75
3231.00,99.75
3230.00,99.75
3229.00,99.75
3228.00,99.75
3227.00,99.75
3226.00,99.75
3225.00,99.75
3224.00,99.75
3223.00,99.75
3222.00,99.75
3221.00,99.74
3220.00,99.74
3219.00,99.74
3218.00,99.74
3217.00,99.74
3216.00,99.74
3215.00,99.73
3214.00,99.73
3213.00,99.73
3212.00,99.73
3211.00,99.73
3210.00,99.74
3209.00,99.74
3208.00,99.74
3207.00,99.74
3206.00,99.74
3205.00,99.74
3204.00,99.73
3203.00,99.73
3202.00,99.73
3201.00,99.73
3200.00,99.73
3199.00,99.73
3198.00,99.73
3197.00,99.73
3196.00,99.73
3195.00,99.73
3194.00,99.73
3193.00,99.73
3192.00,99.73
3191.00,99.73
3190.00,99.73
3189.00,99.73
3188.00,99.73
3187.00,99.73
3186.00,99.73
3185.00,99.73
3184.00,99.73
3183.00,99.73
3182.00,99.73
3181.00,99.73
3180.00,99.73
3179.00,99.72
3178.00,99.72
3177.00,99.72
3176.00,99.72
3175.00,99.72
3174.00,99.72
3173.00,99.73
3172.00,99.73
3171.00,99.73
3170.00,99.73
3169.00,99.73
3168.00,99.73
3167.00,99.73
3166.00,99.73
3165.00,99.72
3164.00,99.72
3163.00,99.72
3162.00,99.72
3161.00,99.72
3160.00,99.72
3159.00,99.72
3158.00,99.72
3157.00,99.72
3156.00,99.72
3155.00,99.73
3154.00,99.73
3153.00,99.72
3152.00,99.72
3151.00,99.72
3150.00,99.72
3149.00,99.72
3148.00,99.72
3147.00,99.72
3146.00,99.72
3145.00,99.71
3144.00,99.71
3143.00,99.70
3142.00,99.70
3141.00,99.70
3140.00,99.70
3139.00,99.70
3138.00,99.70
3137.00,99.70
3136.00,99.70
3135.00,99.70
3134.00,99.70
3133.00,99.70
3132.00,99.70
3131.00,99.69
3130.00,99.69
3129.00,99.69
3128.00,99.68
3127.00,99.68
3126.00,99.68
3125.00,99.67
3124.00,99.67
3123.00,99.67
3122.00,99.67
3121.00,99.67
3120.00,99.67
3119.00,99.66
3118.00,99.66
3117.00,99.66
3116.00,99.65
3115.00,99.65
3114.00,99.64
3113.00,99.64
3112.00,99.63
3111.00,99.63
3110.00,99.63
3109.00,99.62
3108.00,99.62
3107.00,99.61
3106.00,99.61
3105.00,99.60
3104.00,99.59
3103.00,99.58
3102.00,99.58
3101.00,99.57
3100.00,99.56
3099.00,99.55
3098.00,99.55
3097.00,99.54
3096.00,99.53
3095.00,99.53
3094.00,99.52
3093.00,99.52
3092.00,99.51
3091.00,99.50
3090.00,99.49
3089.00,99.48
3088.00,99.47
3087.00,99.46
3086.00,99.46
3085.00,99.45
3084.00,99.45
3083.00,99.44
3082.00,99.44
3081.00,99.43
3080.00,99.43
3079.00,99.42
3078.00,99.42
3077.00,99.41
3076.00,99.40
3075.00,99.40
3074.00,99.39
3073.00,99.39
3072.00,99.39
3071.00,99.38
3070.00,99.38
3069.00,99.37
3068.00,99.36
3067.00,99.35
3066.00,99.34
3065.00,99.33
3064.00,99.33
3063.00,99.32
3062.00,99.32
3061.00,99.31
3060.00,99.31
3059.00,99.30
3058.00,99.30
3057.00,99.29
3056.00,99.28
3055.00,99.27
3054.00,99.26
3053.00,99.25
3052.00,99.24
3051.00,99.23
3050.00,99.22
3049.00,99.21
3048.00,99.20
3047.00,99.20
3046.00,99.19
3045.00,99.18
3044.00,99.18
3043.00,99.17
3042.00,99.16
3041.00,99.15
3040.00,99.14
3039.00,99.13
3038.00,99.11
3037.00,99.10
3036.00,99.09
3035.00,99.08
3034.00,99.07
3033.00,99.06
3032.00,99.05
3031.00,99.04
3030.00,99.03
3029.00,99.01
3028.00,99.01
3027.00,99.00
3026.00,98.99
3025.00,98.98
3024.00,98.97
3023.00,98.96
3022.00,98.95
3021.00,98.94
3020.00,98.93
3019.00,98.91
3018.00,98.90
3017.00,98.89
3016.00,98.88
3015.00,98.87
3014.00,98.85
3013.00,98.84
3012.00,98.82
3011.00,98.80
3010.00,98.79
3009.00,98.77
3008.00,98.76
3007.00,98.74
3006.00,98.72
3005.00,98.70
3004.00,98.68
3003.00,98.66
3002.00,98.64
3001.00,98.61
3000.00,98.59
2999.00,98.57
2998.00,98.55
2997.00,98.52
2996.00,98.49
2995.00,98.46
2994.00,98.43
2993.00,98.39
2992.00,98.35
2991.00,98.31
2990.00,98.27
2989.00,98.22
2988.00,98.17
2987.00,98.12
2986.00,98.06
2985.00,98.00
2984.00,97.93
2983.00,97.86
2982.00,97.78
2981.00,97.69
2980.00,97.60
2979.00,97.50
2978.00,97.39
2977.00,97.27
2976.00,97.13
2975.00,96.99
2974.00,96.83
2973.00,96.65
2972.00,96.47
2971.00,96.27
2970.00,96.07
2969.00,95.85
2968.00,95.62
2967.00,95.38
2966.00,95.14
2965.00,94.90
2964.00,94.65
2963.00,94.41
2962.00,94.18
2961.00,93.95
2960.00,93.73
2959.00,93.52
2958.00,93.32
2957.00,93.14
2956.00,92.96
2955.00,92.80
2954.00,92.64
2953.00,92.47
2952.00,92.30
2951.00,92.09
2950.00,91.84
2949.00,91.53
2948.00,91.15
2947.00,90.68
2946.00,90.13
2945.00,89.47
2944.00,88.73
2943.00,87.89
2942.00,86.96
2941.00,85.94
2940.00,84.83
2939.00,83.64
2938.00,82.35
2937.00,80.98
2936.00,79.51
2935.00,77.95
2934.00,76.28
2933.00,74.51
2932.00,72.62
2931.00,70.62
2930.00,68.48
2929.00,66.19
2928.00,63.77
2927.00,61.18
2926.00,58.44
2925.00,55.56
2924.00,52.53
2923.00,49.41
2922.00,46.25
2921.00,43.14
2920.00,40.19
2919.00,37.59
2918.00,35.52
2917.00,34.20
2916.00,33.79
2915.00,34.33
2914.00,35.73
2913.00,37.83
2912.00,40.36
2911.00,43.09
2910.00,45.83
2909.00,48.45
2908.00,50.88
2907.00,53.07
2906.00,55.04
2905.00,56.79
2904.00,58.36
2903.00,59.76
2902.00,61.02
2901.00,62.19
2900.00,63.27
2899.00,64.29
2898.00,65.27
2897.00,66.23
2896.00,67.19
2895.00,68.15
2894.00,69.12
2893.00,70.11
2892.00,71.11
2891.00,72.13
2890.00,73.15
2889.00,74.18
2888.00,75.19
2887.00,76.19
2886.00,77.16
2885.00,78.10
2884.00,79.01
2883.00,79.88
2882.00,80.72
2881.00,81.53
2880.00,82.30
2879.00,83.03
2878.00,83.70
2877.00,84.30
2876.00,84.80
2875.00,85.21
2874.00,85.51
2873.00,85.73
2872.00,85.86
2871.00,85.93
2870.00,85.93
2869.00,85.84
2868.00,85.65
2867.00,85.33
2866.00,84.84
2865.00,84.16
2864.00,83.27
2863.00,82.13
2862.00,80.72
2861.00,79.00
2860.00,76.94
2859.00,74.49
2858.00,71.61
2857.00,68.25
2856.00,64.42
2855.00,60.15
2854.00,55.57
2853.00,50.94
2852.00,46.62
2851.00,43.06
2850.00,40.72
2849.00,39.94
2848.00,40.82
2847.00,43.19
2846.00,46.69
2845.00,50.90
2844.00,55.41
2843.00,59.91
2842.00,64.18
2841.00,68.09
2840.00,71.55
2839.00,74.57
2838.00,77.17
2837.00,79.40
2836.00,81.31
2835.00,82.95
2834.00,84.36
2833.00,85.59
2832.00,86.66
2831.00,87.60
2830.00,88.43
2829.00,89.17
2828.00,89.83
2827.00,90.43
2826.00,90.96
2825.00,91.45
2824.00,91.89
2823.00,92.30
2822.00,92.67
2821.00,93.01
2820.00,93.32
2819.00,93.61
2818.00,93.88
2817.00,94.13
2816.00,94.36
2815.00,94.58
2814.00,94.78
2813.00,94.97
2812.00,95.15
2811.00,95.32
