Created as New Dataset,PE High Density GF
cm-1,%T
3011.00,98.35
3010.00,98.34
3009.00,98.32
3008.00,98.31
3007.00,98.29
3006.00,98.27
3005.00,98.25
3004.00,98.23
3003.00,98.20
3002.00,98.18
3001.00,98.15
3000.00,98.12
2999.00,98.09
2998.00,98.06
2997.00,98.03
2996.00,98.00
2995.00,97.97
2994.00,97.93
2993.00,97.89
2992.00,97.85
2991.00,97.81
2990.00,97.77
2989.00,97.73
2988.00,97.68
2987.00,97.63
2986.00,97.57
2985.00,97.51
2984.00,97.44
2983.00,97.37
2982.00,97.29
2981.00,97.22
2980.00,97.14
2979.00,97.07
2978.00,96.99
2977.00,96.90
2976.00,96.81
2975.00,96.70
2974.00,96.59
2973.00,96.48
2972.00,96.36
2971.00,96.23
2970.00,96.10
2969.00,95.97
2968.00,95.82
2967.00,95.67
2966.00,95.51
2965.00,95.33
2964.00,95.16
2963.00,94.97
2962.00,94.78
2961.00,94.59
2960.00,94.39
2959.00,94.19
2958.00,93.99
2957.00,93.79
2956.00,93.59
2955.00,93.39
2954.00,93.19
2953.00,92.97
2952.00,92.73
2951.00,92.48
2950.00,92.19
2949.00,91.85
2948.00,91.46
2947.00,90.99
2946.00,90.46
2945.00,89.84
2944.00,89.15
2943.00,88.37
2942.00,87.51
2941.00,86.56
2940.00,85.53
2939.00,84.41
2938.00,83.19
2937.00,81.88
2936.00,80.46
2935.00,78.94
2934.00,77.32
2933.00,75.58
2932.00,73.73
2931.00,71.76
2930.00,69.67
2929.00,67.43
2928.00,65.04
2927.00,62.45
2926.00,59.63
2925.00,56.55
2924.00,53.19
2923.00,49.56
2922.00,45.71
2921.00,41.73
2920.00,37.78
2919.00,34.11
2918.00,31.01
2917.00,28.80
2916.00,27.74
2915.00,27.90
2914.00,29.20
2913.00,31.38
2912.00,34.14
2911.00,37.17
2910.00,40.22
2909.00,43.15
2908.00,45.84
2907.00,48.26
2906.00,50.39
2905.00,52.27
2904.00,53.90
2903.00,55.34
2902.00,56.62
2901.00,57.78
2900.00,58.84
2899.00,59.85
2898.00,60.82
2897.00,61.78
2896.00,62.74
2895.00,63.71
2894.00,64.69
2893.00,65.69
2892.00,66.70
2891.00,67.74
2890.00,68.80
2889.00,69.88
2888.00,70.99
2887.00,72.11
2886.00,73.24
2885.00,74.39
2884.00,75.55
2883.00,76.72
2882.00,77.89
2881.00,79.05
2880.00,80.18
2879.00,81.26
2878.00,82.26
2877.00,83.17
2876.00,83.97
2875.00,84.66
2874.00,85.22
2873.00,85.67
2872.00,85.99
2871.00,86.21
2870.00,86.30
2869.00,86.28
2868.00,86.13
2867.00,85.85
2866.00,85.40
2865.00,84.78
2864.00,83.96
2863.00,82.93
2862.00,81.64
2861.00,80.09
2860.00,78.23
2859.00,76.05
2858.00,73.49
2857.00,70.52
2856.00,67.03
2855.00,62.91
2854.00,57.99
2853.00,52.22
2852.00,45.77
2851.00,39.23
2850.00,33.54
2849.00,29.78
2848.00,28.68
2847.00,30.38
2846.00,34.40
2845.00,39.88
2844.00,45.94
2843.00,51.91
2842.00,57.38
2841.00,62.17
2840.00,66.28
2839.00,69.75
2838.00,72.69
2837.00,75.19
2836.00,77.32
2835.00,79.14
2834.00,80.72
2833.00,82.08
2832.00,83.28
2831.00,84.33
2830.00,85.27
2829.00,86.11
2828.00,86.86
2827.00,87.55
2826.00,88.17
2825.00,88.74
2824.00,89.26
2823.00,89.74
2822.00,90.18
2821.00,90.58
2820.00,90.96
2819.00,91.31
2818.00,91.64
2817.00,91.95
2816.00,92.23
2815.00,92.50
2814.00,92.76
2813.00,93.00
2812.00,93.23
2811.00,93.45
2810.00,93.65
2809.00,93.85
2808.00,94.03
2807.00,94.21
2806.00,94.37
2805.00,94.53
2804.00,94.68
2803.00,94.83
2802.00,94.97
2801.00,95.10
2800.00,95.24
2799.00,95.37
2798.00,95.49
2797.00,95.61
2796.00,95.73
2795.00,95.84
2794.00,95.96
2793.00,96.07
2792.00,96.18
2791.00,96.29
2790.00,96.39
2789.00,96.50
2788.00,96.60
2787.00,96.69
2786.00,96.79
2785.00,96.87
2784.00,96.96
2783.00,97.04
2782.00,97.12
2781.00,97.19
2780.00,97.26
2779.00,97.32
2778.00,97.38
2777.00,97.44
2776.00,97.49
2775.00,97.54
2774.00,97.58
2773.00,97.63
2772.00,97.67
2771.00,97.71
2770.00,97.75
2769.00,97.79
2768.00,97.82
2767.00,97.85
2766.00,97.88
2765.00,97.91
2764.00,97.93
2763.00,97.96
2762.00,97.98
2761.00,98.01
2760.00,98.03
2759.00,98.06
2758.00,98.08
2757.00,98.10
2756.00,98.12
2755.00,98.14
2754.00,98.15
2753.00,98.17
2752.00,98.18
2751.00,98.19
2750.00,98.20
2749.00,98.20
2748.00,98.20
2747.00,98.20
2746.00,98.20
2745.00,98.20
2744.00,98.20
2743.00,98.20
2742.00,98.21
2741.00,98.21
2740.00,98.21
2739.00,98.22
2738.00,98.23
2737.00,98.24
2736.00,98.25
2735.00,98.26
2734.00,98.28
2733.00,98.29
2732.00,98.31
2731.00,98.32
2730.00,98.34
2729.00,98.35
2728.00,98.36
2727.00,98.38
2726.00,98.39
2725.00,98.41
2724.00,98.42
2723.00,98.43
2722.00,98.44
2721.00,98.45
2720.00,98.46
2719.00,98.47
2718.00,98.48
2717.00,98.49
2716.00,98.50
2715.00,98.51
2714.00,98.52
2713.00,98.52
2712.00,98.53
2711.00,98.53
2710.00,98.54
2709.00,98.55
2708.00,98.55
2707.00,98.56
2706.00,98.57
2705.00,98.58
2704.00,98.59
2703.00,98.61
2702.00,98.62
2701.00,98.63
2700.00,98.64
2699.00,98.66
2698.00,98.67
2697.00,98.67
2696.00,98.68
2695.00,98.68
2694.00,98.69
2693.00,98.69
2692.00,98.69
2691.00,98.69
2690.00,98.69
2689.00,98.68
2688.00,98.68
2687.00,98.67
2686.00,98.67
2685.00,98.67
2684.00,98.67
2683.00,98.66
2682.00,98.66
2681.00,98.65
2680.00,98.64
2679.00,98.63
2678.00,98.62
2677.00,98.61
2676.00,98.60
2675.00,98.59
2674.00,98.57
2673.00,98.56
2672.00,98.54
2671.00,98.53
2670.00,98.52
2669.00,98.51
2668.00,98.49
2667.00,98.48
2666.00,98.46
2665.00,98.45
2664.00,98.43
2663.00,98.42
2662.00,98.41
2661.00,98.40
2660.00,98.40
2659.00,98.39
2658.00,98.40
2657.00,98.40
2656.00,98.40
2655.00,98.41
2654.00,98.41
2653.00,98.42
2652.00,98.42
2651.00,98.42
2650.00,98.43
2649.00,98.43
2648.00,98.43
2647.00,98.43
2646.00,98.42
2645.00,98.41
2644.00,98.40
2643.00,98.39
2642.00,98.39
2641.00,98.38
2640.00,98.37
2639.00,98.36
2638.00,98.35
2637.00,98.34
2636.00,98.34
2635.00,98.35
2634.00,98.36
2633.00,98.37
2632.00,98.39
2631.00,98.41
2630.00,98.43
2629.00,98.45
2628.00,98.47
2627.00,98.49
2626.00,98.51
2625.00,98.53
2624.00,98.55
2623.00,98.57
2622.00,98.59
2621.00,98.61
2620.00,98.63
2619.00,98.65
2618.00,98.67
2617.00,98.69
2616.00,98.71
2615.00,98.72
2614.00,98.74
2613.00,98.75
2612.00,98.77
2611.00,98.78
2610.00,98.80
2609.00,98.81
2608.00,98.83
2607.00,98.84
2606.00,98.85
2605.00,98.87
2604.00,98.88
2603.00,98.88
2602.00,98.89
2601.00,98.90
2600.00,98.90
2599.00,98.91
2598.00,98.92
2597.00,98.94
2596.00,98.95
2595.00,98.96
2594.00,98.97
2593.00,98.98
2592.00,98.99
2591.00,99.00
2590.00,99.01
2589.00,99.03
2588.00,99.04
2587.00,99.05
2586.00,99.06
2585.00,99.06
2584.00,99.07
2583.00,99.08
2582.00,99.09
