Created as New Dataset,PE (high density) granule GF
cm-1,%T
2938.00,86.10
2937.00,84.89
2936.00,83.58
2935.00,82.15
2934.00,80.60
2933.00,78.93
2932.00,77.13
2931.00,75.19
2930.00,73.09
2929.00,70.81
2928.00,68.32
2927.00,65.57
2926.00,62.52
2925.00,59.17
2924.00,55.50
2923.00,51.54
2922.00,47.33
2921.00,42.93
2920.00,38.42
2919.00,33.95
2918.00,29.78
2917.00,26.24
2916.00,23.69
2915.00,22.43
2914.00,22.58
2913.00,24.03
2912.00,26.50
2911.00,29.61
2910.00,33.00
2909.00,36.39
2908.00,39.58
2907.00,42.47
2906.00,45.04
2905.00,47.28
2904.00,49.23
2903.00,50.93
2902.00,52.43
2901.00,53.76
2900.00,54.98
2899.00,56.11
2898.00,57.19
2897.00,58.24
2896.00,59.28
2895.00,60.33
2894.00,61.38
2893.00,62.45
2892.00,63.55
2891.00,64.66
2890.00,65.80
2889.00,66.97
2888.00,68.15
2887.00,69.36
2886.00,70.60
2885.00,71.85
2884.00,73.14
2883.00,74.45
2882.00,75.78
2881.00,77.13
2880.00,78.48
2879.00,79.81
2878.00,81.10
2877.00,82.31
2876.00,83.41
2875.00,84.38
2874.00,85.21
2873.00,85.89
2872.00,86.42
2871.00,86.80
2870.00,87.03
2869.00,87.12
2868.00,87.06
2867.00,86.85
2866.00,86.48
2865.00,85.92
2864.00,85.17
2863.00,84.20
2862.00,82.97
2861.00,81.45
2860.00,79.59
2859.00,77.35
2858.00,74.65
2857.00,71.41
2856.00,67.54
2855.00,62.98
2854.00,57.68
2853.00,51.68
2852.00,45.20
2851.00,38.64
2850.00,32.66
2849.00,28.09
2848.00,25.65
2847.00,25.73
2846.00,28.24
2845.00,32.64
2844.00,38.19
2843.00,44.15
2842.00,49.97
2841.00,55.30
2840.00,60.00
2839.00,64.07
2838.00,67.57
2837.00,70.57
2836.00,73.16
2835.00,75.40
2834.00,77.34
2833.00,79.03
2832.00,80.51
2831.00,81.82
2830.00,82.98
2829.00,84.02
2828.00,84.95
2827.00,85.80
2826.00,86.56
2825.00,87.26
2824.00,87.89
2823.00,88.46
2822.00,88.99
2821.00,89.48
2820.00,89.93
2819.00,90.35
2818.00,90.74
2817.00,91.10
2816.00,91.45
2815.00,91.77
2814.00,92.07
2813.00,92.36
2812.00,92.62
2811.00,92.88
2810.00,93.12
2809.00,93.35
2808.00,93.56
2807.00,93.77
2806.00,93.96
2805.00,94.15
2804.00,94.32
2803.00,94.49
2802.00,94.65
2801.00,94.81
2800.00,94.96
2799.00,95.10
2798.00,95.24
2797.00,95.38
2796.00,95.51
2795.00,95.64
2794.00,95.77
2793.00,95.90
2792.00,96.02
2791.00,96.15
2790.00,96.27
2789.00,96.39
2788.00,96.51
2787.00,96.62
2786.00,96.73
2785.00,96.83
2784.00,96.93
2783.00,97.03
2782.00,97.12
2781.00,97.20
2780.00,97.28
2779.00,97.36
2778.00,97.43
2777.00,97.50
2776.00,97.56
2775.00,97.62
2774.00,97.67
2773.00,97.72
2772.00,97.77
2771.00,97.82
2770.00,97.86
2769.00,97.90
2768.00,97.94
2767.00,97.97
2766.00,98.01
2765.00,98.04
2764.00,98.07
2763.00,98.10
2762.00,98.14
2761.00,98.17
2760.00,98.20
2759.00,98.22
2758.00,98.25
2757.00,98.27
2756.00,98.29
2755.00,98.31
2754.00,98.33
2753.00,98.35
2752.00,98.36
2751.00,98.37
2750.00,98.38
