Created as New Dataset,PET amorphous
cm-1,%T
3481.00,96.82
3480.00,96.81
3479.00,96.81
3478.00,96.80
3477.00,96.79
3476.00,96.79
3475.00,96.79
3474.00,96.78
3473.00,96.78
3472.00,96.78
3471.00,96.78
3470.00,96.78
3469.00,96.77
3468.00,96.76
3467.00,96.75
3466.00,96.74
3465.00,96.73
3464.00,96.72
3463.00,96.71
3462.00,96.71
3461.00,96.70
3460.00,96.68
3459.00,96.66
3458.00,96.65
3457.00,96.63
3456.00,96.62
3455.00,96.60
3454.00,96.59
3453.00,96.57
3452.00,96.56
3451.00,96.55
3450.00,96.54
3449.00,96.52
3448.00,96.50
3447.00,96.48
3446.00,96.46
3445.00,96.43
3444.00,96.41
3443.00,96.39
3442.00,96.37
3441.00,96.36
3440.00,96.35
3439.00,96.34
3438.00,96.34
3437.00,96.33
3436.00,96.31
3435.00,96.29
3434.00,96.26
3433.00,96.25
3432.00,96.24
3431.00,96.24
3430.00,96.24
3429.00,96.25
3428.00,96.25
3427.00,96.25
3426.00,96.26
3425.00,96.28
3424.00,96.30
3423.00,96.33
3422.00,96.36
3421.00,96.39
3420.00,96.41
3419.00,96.43
3418.00,96.45
3417.00,96.48
3416.00,96.51
3415.00,96.54
3414.00,96.57
3413.00,96.59
3412.00,96.61
3411.00,96.63
3410.00,96.64
3409.00,96.65
3408.00,96.65
3407.00,96.66
3406.00,96.68
3405.00,96.70
3404.00,96.72
3403.00,96.75
3402.00,96.77
3401.00,96.78
3400.00,96.78
3399.00,96.78
3398.00,96.78
3397.00,96.78
3396.00,96.79
3395.00,96.80
3394.00,96.81
3393.00,96.82
3392.00,96.82
3391.00,96.81
3390.00,96.80
3389.00,96.80
3388.00,96.79
3387.00,96.79
3386.00,96.80
3385.00,96.80
3384.00,96.81
3383.00,96.82
3382.00,96.82
3381.00,96.82
3380.00,96.82
3379.00,96.82
3378.00,96.82
3377.00,96.82
3376.00,96.82
3375.00,96.82
3374.00,96.83
3373.00,96.83
3372.00,96.84
3371.00,96.85
3370.00,96.86
3369.00,96.86
3368.00,96.86
3367.00,96.85
3366.00,96.84
3365.00,96.83
3364.00,96.83
3363.00,96.82
3362.00,96.82
3361.00,96.82
3360.00,96.82
3359.00,96.81
3358.00,96.81
3357.00,96.81
3356.00,96.81
3355.00,96.81
3354.00,96.81
3353.00,96.81
3352.00,96.81
3351.00,96.81
3350.00,96.80
3349.00,96.79
3348.00,96.78
3347.00,96.77
3346.00,96.77
3345.00,96.77
3344.00,96.77
3343.00,96.77
3342.00,96.77
3341.00,96.77
3340.00,96.77
3339.00,96.77
3338.00,96.76
3337.00,96.76
3336.00,96.75
3335.00,96.75
3334.00,96.75
3333.00,96.75
3332.00,96.75
3331.00,96.75
3330.00,96.75
3329.00,96.76
3328.00,96.76
3327.00,96.77
3326.00,96.78
3325.00,96.79
3324.00,96.79
3323.00,96.79
3322.00,96.79
3321.00,96.79
3320.00,96.79
3319.00,96.79
3318.00,96.79
3317.00,96.79
3316.00,96.79
3315.00,96.79
3314.00,96.79
3313.00,96.79
3312.00,96.79
3311.00,96.79
3310.00,96.79
3309.00,96.79
3308.00,96.79
3307.00,96.79
3306.00,96.79
3305.00,96.79
3304.00,96.79
3303.00,96.79
3302.00,96.78
3301.00,96.78
3300.00,96.78
3299.00,96.78
3298.00,96.78
3297.00,96.79
3296.00,96.79
3295.00,96.79
3294.00,96.79
3293.00,96.79
3292.00,96.79
3291.00,96.79
3290.00,96.79
3289.00,96.79
3288.00,96.79
3287.00,96.78
3286.00,96.79
3285.00,96.79
3284.00,96.79
3283.00,96.80
3282.00,96.80
3281.00,96.80
3280.00,96.80
3279.00,96.80
3278.00,96.81
